Date,Close,XEL
22/07/2013,30.06,-0.000997506
19/07/2013,30.09,0.003328898
18/07/2013,29.99,0.008707356
17/07/2013,29.73,-0.00201613
16/07/2013,29.79,-0.002347025
15/07/2013,29.86,0.018591037
12/07/2013,29.31,0.001365654
11/07/2013,29.27,0.01133838
10/07/2013,28.94,0.003114728
09/07/2013,28.85,0.010102855
08/07/2013,28.56,0.016237561
05/07/2013,28.1,-0.005677801
03/07/2013,28.26,0.004610755
02/07/2013,28.13,0.002491548
01/07/2013,28.06,-0.00992916
28/06/2013,28.34,-0.012622889
27/06/2013,28.7,0.0013947
26/06/2013,28.66,0.009817751
25/06/2013,28.38,0.012766131
24/06/2013,28.02,0.000356952
21/06/2013,28.01,0.01076823
20/06/2013,27.71,-0.029863577
19/06/2013,28.55,-0.027976268
18/06/2013,29.36,-0.004078864
17/06/2013,29.48,0.002037352
14/06/2013,29.42,0.004770026
13/06/2013,29.28,0.017571512
12/06/2013,28.77,-0.007272759
11/06/2013,28.98,-0.005505864
10/06/2013,29.14,-0.000343112
07/06/2013,29.15,0.008267357
06/06/2013,28.91,0.014985469
05/06/2013,28.48,-0.013254467
04/06/2013,28.86,-0.00034644
03/06/2013,28.87,0.005209249
31/05/2013,28.72,-0.00555557
30/05/2013,28.88,0.007995871
29/05/2013,28.65,-0.024820302
28/05/2013,29.37,-0.006786589
24/05/2013,29.57,-0.008083574
23/05/2013,29.81,-0.004685417
22/05/2013,29.95,-0.010627798
21/05/2013,30.27,0.000660939
20/05/2013,30.25,-0.005604102
17/05/2013,30.42,0.009247094
16/05/2013,30.14,-0.006284129
15/05/2013,30.33,0.00994044
14/05/2013,30.03,0
13/05/2013,30.03,-0.007299302
10/05/2013,30.25,0.000661376
09/05/2013,30.23,-0.020301942
08/05/2013,30.85,-0.010319343
07/05/2013,31.17,0.015845117
06/05/2013,30.68,-0.016486554
03/05/2013,31.19,-0.005116736
02/05/2013,31.35,-0.0028667
01/05/2013,31.44,-0.011070807
30/04/2013,31.79,0.006627766
29/04/2013,31.58,0.011465094
26/04/2013,31.22,-0.003197956
25/04/2013,31.32,0.004159341
24/04/2013,31.19,0.008370944
23/04/2013,30.93,-0.001615248
22/04/2013,30.98,-0.003222691
19/04/2013,31.08,0.019493795
18/04/2013,30.48,0.004933409
17/04/2013,30.33,-0.005589362
16/04/2013,30.5,0.008230499
15/04/2013,30.25,-0.021907039
12/04/2013,30.92,0.009749833
11/04/2013,30.62,0.001961426
10/04/2013,30.56,0.009204536
09/04/2013,30.28,-0.00395518
08/04/2013,30.4,0.007263155
05/04/2013,30.18,0.00132626
04/04/2013,30.14,0.010338595
03/04/2013,29.83,0.006052473
02/04/2013,29.65,0.002363668
01/04/2013,29.58,-0.004048589
28/03/2013,29.7,0.014242357
27/03/2013,29.28,0.010298752
26/03/2013,28.98,0.011801595
25/03/2013,28.64,-0.001046938
22/03/2013,28.67,0.002444562
21/03/2013,28.6,-0.005231049
20/03/2013,28.75,0.006980831
19/03/2013,28.55,-0.012184659
18/03/2013,28.9,-0.008270206
15/03/2013,29.14,0.004126553
14/03/2013,29.02,-0.000688943
13/03/2013,29.04,0.002758622
12/03/2013,28.96,-0.001380262
11/03/2013,29,0.001035018
08/03/2013,28.97,0.000345244
07/03/2013,28.96,-0.004822607
06/03/2013,29.1,-0.004457405
05/03/2013,29.23,0.004457405
04/03/2013,29.1,0.01349268
01/03/2013,28.71,0.000348371
28/02/2013,28.7,0.005240187
27/02/2013,28.55,0.006677234
26/02/2013,28.36,0.011347639
25/02/2013,28.04,-0.00675318
22/02/2013,28.23,0.00639661
21/02/2013,28.05,-0.005333346
20/02/2013,28.2,-0.003539827
19/02/2013,28.3,0.00673642
15/02/2013,28.11,0.007857183
14/02/2013,27.89,-0.001075076
13/02/2013,27.92,-0.002861232
12/02/2013,28,0.002145156
11/02/2013,27.94,0.003585518
08/02/2013,27.84,0.0028777
07/02/2013,27.76,-0.00251844
06/02/2013,27.83,0.001798238
05/02/2013,27.78,0.001440922
04/02/2013,27.74,-0.009686174
01/02/2013,28.01,0.008245252
31/01/2013,27.78,0.011221837
30/01/2013,27.47,-0.004358888
29/01/2013,27.59,0.006910375
28/01/2013,27.4,-0.005459522
25/01/2013,27.55,0.004729861
24/01/2013,27.42,0.004019739
23/01/2013,27.31,-0.003654975
22/01/2013,27.41,0.014700743
18/01/2013,27.01,0.001482031
17/01/2013,26.97,0.002227172
16/01/2013,26.91,-0.005189041
15/01/2013,27.05,-0.001108443
14/01/2013,27.08,-0.003317975
11/01/2013,27.17,-0.00110355
10/01/2013,27.2,0
09/01/2013,27.2,0.001471671
08/01/2013,27.16,0.001842639
07/01/2013,27.11,-0.01064035
04/01/2013,27.4,0.003656311
03/01/2013,27.3,-0.002926118
02/01/2013,27.38,0.024774793
31/12/2012,26.71,0.017372038
28/12/2012,26.25,-0.011740336
27/12/2012,26.56,-0.000376435
26/12/2012,26.57,-0.012715205
24/12/2012,26.91,-0.011086588
21/12/2012,27.21,-0.008781615
20/12/2012,27.45,0.002918645
19/12/2012,27.37,-0.009092625
18/12/2012,27.62,0.010189317
17/12/2012,27.34,0.01473866
14/12/2012,26.94,-0.008501252
13/12/2012,27.17,-0.001471129
12/12/2012,27.21,-0.00256928
11/12/2012,27.28,0.001834526
10/12/2012,27.23,0.004047844
07/12/2012,27.12,-0.00147384
06/12/2012,27.16,-0.002941179
05/12/2012,27.24,0.01852591
04/12/2012,26.74,-0.007451599
03/12/2012,26.94,-0.004074834
30/11/2012,27.05,0.012274657
29/11/2012,26.72,0.007136181
28/11/2012,26.53,0.00302001
27/11/2012,26.45,0.005307063
26/11/2012,26.31,0.011083622
23/11/2012,26.02,-0.004218606
21/11/2012,26.13,0.000765697
20/11/2012,26.11,-0.001148325
19/11/2012,26.14,-0.004960896
16/11/2012,26.27,0.009177885
15/11/2012,26.03,-0.012597991
14/11/2012,26.36,0.004181721
13/11/2012,26.25,0.005347606
12/11/2012,26.11,-0.01482635
09/11/2012,26.5,-0.010510607
08/11/2012,26.78,-0.006698946
07/11/2012,26.96,-0.019468016
06/11/2012,27.49,-0.000363702
05/11/2012,27.5,-0.014440684
02/11/2012,27.9,-0.008209934
01/11/2012,28.13,-0.004256835
31/10/2012,28.25,0.009246154
26/10/2012,27.99,-0.001428062
25/10/2012,28.03,0.013649637
24/10/2012,27.65,-0.008642474
23/10/2012,27.89,-0.003936309
22/10/2012,28,-0.001427552
19/10/2012,28.04,-0.00816911
18/10/2012,28.27,0.002124647
17/10/2012,28.21,0.013561949
16/10/2012,27.83,0.003239161
15/10/2012,27.74,0.004335267
12/10/2012,27.62,-0.003614026
11/10/2012,27.72,0.000360815
10/10/2012,27.71,-0.004680477
09/10/2012,27.84,-0.003943364
08/10/2012,27.95,0.000357846
05/10/2012,27.94,-0.001073153
04/10/2012,27.97,0.005017932
03/10/2012,27.83,0.006488848
02/10/2012,27.65,0.006531228
01/10/2012,27.47,-0.008698859
28/09/2012,27.71,0.009427191
27/09/2012,27.45,-0.010869672
26/09/2012,27.75,0.003610112
25/09/2012,27.65,0.00217234
24/09/2012,27.59,0.009834354
21/09/2012,27.32,-0.00401827
