Date,Close,TRV
23/08/2012,64.8,-0.009980889
22/08/2012,65.45,0.003367007
21/08/2012,65.23,-0.00626578
20/08/2012,65.64,0.007799994
17/08/2012,65.13,0.017033549
16/08/2012,64.03,0.004382539
15/08/2012,63.75,0.003299555
14/08/2012,63.54,-0.00298578
13/08/2012,63.73,-0.003915125
10/08/2012,63.98,0.00140768
09/08/2012,63.89,0.001252937
08/08/2012,63.81,0.006919355
07/08/2012,63.37,-0.002364254
06/08/2012,63.52,-0.002986719
03/08/2012,63.71,0.013272434
02/08/2012,62.87,-0.007605804
01/08/2012,63.35,0.011111225
31/07/2012,62.65,-0.008898835
30/07/2012,63.21,0.00778214
27/07/2012,62.72,0.017856181
26/07/2012,61.61,0.010278253
25/07/2012,60.98,0.001476984
24/07/2012,60.89,-0.013863061
23/07/2012,61.74,-0.015588905
20/07/2012,62.71,-0.01550664
19/07/2012,63.69,-0.004855519
18/07/2012,64,0.010839789
17/07/2012,63.31,0.012077058
16/07/2012,62.55,-0.009229855
13/07/2012,63.13,0.014198213
12/07/2012,62.24,-0.004648562
11/07/2012,62.53,-0.010816075
10/07/2012,63.21,0.002217296
09/07/2012,63.07,-0.003007997
06/07/2012,63.26,-0.01100467
05/07/2012,63.96,-0.002654385
03/07/2012,64.13,0.003279972
02/07/2012,63.92,0.001252348
29/06/2012,63.84,0.015629018
28/06/2012,62.85,0.000318269
27/06/2012,62.83,0.010881848
26/06/2012,62.15,0
25/06/2012,62.15,-0.019124089
22/06/2012,63.35,0.012229169
21/06/2012,62.58,-0.020090844
20/06/2012,63.85,0.006284388
19/06/2012,63.45,0.006006973
18/06/2012,63.07,-0.005376357
15/06/2012,63.41,0.004583901
14/06/2012,63.12,0.023564447
13/06/2012,61.65,-0.004692945
12/06/2012,61.94,0.006153866
11/06/2012,61.56,-0.009377595
08/06/2012,62.14,0.003708186
07/06/2012,61.91,0.004370707
06/06/2012,61.64,0.013721221
05/06/2012,60.8,0.006931865
04/06/2012,60.38,-0.003306881
01/06/2012,60.58,-0.031041738
31/05/2012,62.49,0.009647928
30/05/2012,61.89,-0.015869532
29/05/2012,62.88,0.00446287
25/05/2012,62.6,-0.009380783
24/05/2012,63.19,0.001108384
23/05/2012,63.12,0.004764182
22/05/2012,62.82,0.001912046
21/05/2012,62.7,0.008328043
18/05/2012,62.18,-0.008328043
17/05/2012,62.7,-0.014409243
16/05/2012,63.61,-0.0084534
15/05/2012,64.15,-0.005131007
14/05/2012,64.48,-0.002168862
11/05/2012,64.62,-0.000309454
10/05/2012,64.64,0.011201113
09/05/2012,63.92,-0.00732604
08/05/2012,64.39,-0.003101258
07/05/2012,64.59,0.001394376
04/05/2012,64.5,-0.003868477
03/05/2012,64.75,0.000154452
02/05/2012,64.74,0.002164838
01/05/2012,64.6,0.004343786
30/04/2012,64.32,0.004831304
27/04/2012,64.01,-0.011803212
26/04/2012,64.77,0.015402872
25/04/2012,63.78,0.006449098
24/04/2012,63.37,0.00728543
23/04/2012,62.91,0.002546556
20/04/2012,62.75,0.016874647
19/04/2012,61.7,0.036811947
18/04/2012,59.47,-0.008705898
17/04/2012,59.99,0.013932244
16/04/2012,59.16,0.017735799
13/04/2012,58.12,-0.016721086
12/04/2012,59.1,0.015861166
11/04/2012,58.17,0.007246409
10/04/2012,57.75,-0.005181359
09/04/2012,58.05,-0.014196766
05/04/2012,58.88,-0.005757848
04/04/2012,59.22,-0.001012658
03/04/2012,59.28,-0.000843099
02/04/2012,59.33,0.002193538
30/03/2012,59.2,0.009333967
29/03/2012,58.65,-0.002043946
28/03/2012,58.77,0.004946705
27/03/2012,58.48,-0.006307018
26/03/2012,58.85,0.011106479
23/03/2012,58.2,0.003959719
22/03/2012,57.97,-0.009272044
21/03/2012,58.51,-0.011047958
20/03/2012,59.16,0.000676361
19/03/2012,59.12,-0.001352265
16/03/2012,59.2,0.002029084
15/03/2012,59.08,0.002202831
14/03/2012,58.95,0.009202519
13/03/2012,58.41,0.013790944
12/03/2012,57.61,0
09/03/2012,57.61,0.008892047
08/03/2012,57.1,0.004036155
07/03/2012,56.87,-0.002107853
06/03/2012,56.99,-0.02615094
05/03/2012,58.5,0.008411345
02/03/2012,58.01,-0.007042887
01/03/2012,58.42,0.007732662
29/02/2012,57.97,-0.007390254
28/02/2012,58.4,-0.003418807
27/02/2012,58.6,0
24/02/2012,58.6,-0.006124551
23/02/2012,58.96,0.000339271
22/02/2012,58.94,-0.005583298
21/02/2012,59.27,-0.009738156
17/02/2012,59.85,0.006874032
16/02/2012,59.44,0.002526743
15/02/2012,59.29,0.00219502
14/02/2012,59.16,0.0028777
13/02/2012,58.99,-0.006589531
10/02/2012,59.38,-0.008552077
09/02/2012,59.89,0.000668114
08/02/2012,59.85,0.001839619
07/02/2012,59.74,0.006886733
06/02/2012,59.33,-0.013227485
03/02/2012,60.12,0.012216703
02/02/2012,59.39,0.002022586
01/02/2012,59.27,0.016501182
31/01/2012,58.3,0.003264327
30/01/2012,58.11,0.001033058
27/01/2012,58.05,-0.011135019
26/01/2012,58.7,-0.007636864
25/01/2012,59.15,0.01963358
24/01/2012,58,-0.038723242
23/01/2012,60.29,-0.021333267
20/01/2012,61.59,0.021167416
19/01/2012,60.3,0.006822557
18/01/2012,59.89,0.003345044
17/01/2012,59.69,0.005375454
13/01/2012,59.37,-0.007216613
12/01/2012,59.8,-0.001670844
11/01/2012,59.9,-0.003333336
10/01/2012,60.1,0.006845339
09/01/2012,59.69,0.005712381
06/01/2012,59.35,0.000337041
05/01/2012,59.33,0.009823927
04/01/2012,58.75,-0.004076785
03/01/2012,58.99,-0.003046719
30/12/2011,59.17,-0.008582299
29/12/2011,59.68,0.013835213
28/12/2011,58.86,-0.011318644
27/12/2011,59.53,0.003028266
23/12/2011,59.35,0.002699512
22/12/2011,59.19,0.001690903
21/12/2011,59.09,0.016035826
20/12/2011,58.15,0.025075317
19/12/2011,56.71,-0.010000961
16/12/2011,57.28,0.008239156
15/12/2011,56.81,0.014896534
14/12/2011,55.97,0.000714924
13/12/2011,55.93,0.00178955
12/12/2011,55.83,-0.003397411
09/12/2011,56.02,0.008785355
08/12/2011,55.53,-0.006640965
07/12/2011,55.9,0.009887721
06/12/2011,55.35,0.012361546
05/12/2011,54.67,0.007896469
02/12/2011,54.24,-0.01464155
01/12/2011,55.04,-0.021745847
30/11/2011,56.25,0.039526538
29/11/2011,54.07,-0.002770341
28/11/2011,54.22,0.01505185
25/11/2011,53.41,0.012244667
23/11/2011,52.76,-0.02211899
22/11/2011,53.94,-0.015087683
21/11/2011,54.76,-0.026312565
18/11/2011,56.22,0.008753964
17/11/2011,55.73,-0.010886161
16/11/2011,56.34,-0.016721326
15/11/2011,57.29,-0.004180462
14/11/2011,57.53,-0.015522906
11/11/2011,58.43,0.017610952
10/11/2011,57.41,0.008571731
09/11/2011,56.92,-0.036399016
08/11/2011,59.03,0.006969854
07/11/2011,58.62,0.00822204
04/11/2011,58.14,-0.007539446
03/11/2011,58.58,0.014962873
02/11/2011,57.71,0.022429537
01/11/2011,56.43,-0.033458427
31/10/2011,58.35,-0.019180763
28/10/2011,59.48,0.001345895
27/10/2011,59.4,0.032509279
26/10/2011,57.5,0.020380185
25/10/2011,56.34,-0.022464967
24/10/2011,57.62,0.004696886
21/10/2011,57.35,0.050421835
20/10/2011,54.53,0.002570696
19/10/2011,54.39,0.055375507
18/10/2011,51.46,0.03721728
17/10/2011,49.58,-0.033518259
14/10/2011,51.27,0.016123039
13/10/2011,50.45,-0.019433333
12/10/2011,51.44,0.020028158
11/10/2011,50.42,-0.013396575
10/10/2011,51.1,0.041964199
07/10/2011,49,-0.023995506
06/10/2011,50.19,0.012429992
05/10/2011,49.57,0.030519522
04/10/2011,48.08,0.026983087
03/10/2011,46.8,-0.040411654
30/09/2011,48.73,-0.019508849
29/09/2011,49.69,0.031067285
28/09/2011,48.17,-0.021969881
27/09/2011,49.24,0.018446926
26/09/2011,48.34,0.025561836
23/09/2011,47.12,-0.005502659
22/09/2011,47.38,-0.016951332
21/09/2011,48.19,-0.045236391
20/09/2011,50.42,0.010366919
19/09/2011,49.9,-0.014128182
