Date,Close,PLL
30/01/2012,59.42,0.006076994
27/01/2012,59.06,-0.003043113
26/01/2012,59.24,-0.0213769
25/01/2012,60.52,0.022052347
24/01/2012,59.2,-0.005222824
23/01/2012,59.51,-0.008533474
20/01/2012,60.02,-0.003326683
19/01/2012,60.22,0.007835332
18/01/2012,59.75,-0.003341691
17/01/2012,59.95,0.001502379
13/01/2012,59.86,-0.001001837
12/01/2012,59.92,0.034292955
11/01/2012,57.9,-0.002070394
10/01/2012,58.02,0.023895791
09/01/2012,56.65,0.008331166
06/01/2012,56.18,-0.015892971
05/01/2012,57.08,-0.003846831
04/01/2012,57.3,-0.009725676
03/01/2012,57.86,0.012346909
30/12/2011,57.15,-0.004887425
29/12/2011,57.43,0.01349832
28/12/2011,56.66,-0.015585641
27/12/2011,57.55,-0.000173747
23/12/2011,57.56,0.005924394
22/12/2011,57.22,0.000699301
21/12/2011,57.18,0.002802103
20/12/2011,57.02,0.027559749
19/12/2011,55.47,-0.020166651
16/12/2011,56.6,0.012444605
15/12/2011,55.9,-0.007307759
14/12/2011,56.31,-0.007959713
13/12/2011,56.76,-0.020921265
12/12/2011,57.96,0.022684623
09/12/2011,56.66,0.076255325
08/12/2011,52.5,-0.025946182
07/12/2011,53.88,-0.018389632
06/12/2011,54.88,0.006948282
05/12/2011,54.5,0.017771664
02/12/2011,53.54,-0.012805223
01/12/2011,54.23,-0.004782938
30/11/2011,54.49,0.047735481
29/11/2011,51.95,0.004437164
28/11/2011,51.72,0.03542283
25/11/2011,49.92,-0.00459679
23/11/2011,50.15,-0.028696938
22/11/2011,51.61,-0.007143577
21/11/2011,51.98,-0.006710791
18/11/2011,52.33,-0.000191077
17/11/2011,52.34,-0.016673368
16/11/2011,53.22,-0.007860793
15/11/2011,53.64,0.017489868
14/11/2011,52.71,0.002849817
11/11/2011,52.56,0.037608619
10/11/2011,50.62,0.009926625
09/11/2011,50.12,-0.042958577
08/11/2011,52.32,0.009216655
07/11/2011,51.84,-0.006537228
04/11/2011,52.18,-0.001149205
03/11/2011,52.24,0.035262249
02/11/2011,50.43,0.015789276
01/11/2011,49.64,-0.030356462
31/10/2011,51.17,-0.026992192
28/10/2011,52.57,-0.015103176
27/10/2011,53.37,0.04189996
26/10/2011,51.18,0.010607053
25/10/2011,50.64,-0.012948974
24/10/2011,51.3,0.029876592
21/10/2011,49.79,0.042463563
20/10/2011,47.72,-0.008555086
19/10/2011,48.13,-0.017097955
18/10/2011,48.96,0.023768816
17/10/2011,47.81,-0.024585475
14/10/2011,49,0.022078685
13/10/2011,47.93,0.004391016
12/10/2011,47.72,0.021178259
11/10/2011,46.72,-0.006188007
10/10/2011,47.01,0.020849761
07/10/2011,46.04,0.022403748
06/10/2011,45.02,0.040803484
05/10/2011,43.22,0.017505407
04/10/2011,42.47,0.035225878
03/10/2011,41,-0.033576296
30/09/2011,42.4,-0.035449096
29/09/2011,43.93,0.020932334
28/09/2011,43.02,-0.027512052
27/09/2011,44.22,0.016876113
26/09/2011,43.48,0.029880841
23/09/2011,42.2,0.019622549
22/09/2011,41.38,-0.018199736
21/09/2011,42.14,-0.040916912
20/09/2011,43.9,-0.015595299
19/09/2011,44.59,-0.00581397
16/09/2011,44.85,0.013468217
15/09/2011,44.25,0.016864575
14/09/2011,43.51,0.012721347
13/09/2011,42.96,0.018086224
12/09/2011,42.19,-0.006614718
09/09/2011,42.47,-0.036073275
08/09/2011,44.03,-0.103268845
07/09/2011,48.82,0.021951596
06/09/2011,47.76,-0.007301587
02/09/2011,48.11,-0.03231365
01/09/2011,49.69,-0.028567703
31/08/2011,51.13,-0.006433398
30/08/2011,51.46,0.008587094
29/08/2011,51.02,0.040193354
26/08/2011,49.01,0.03340213
25/08/2011,47.4,-0.011536573
24/08/2011,47.95,0.028343691
23/08/2011,46.61,0.044081251
22/08/2011,44.6,0.011727694
19/08/2011,44.08,-0.001813237
18/08/2011,44.16,-0.069536202
17/08/2011,47.34,0.000633914
16/08/2011,47.31,-0.031418375
15/08/2011,48.82,0.012988534
12/08/2011,48.19,0.043904835
11/08/2011,46.12,0.061939992
10/08/2011,43.35,-0.044441733
09/08/2011,45.32,0.090950764
08/08/2011,41.38,-0.07358999
05/08/2011,44.54,-0.010052581
04/08/2011,44.99,-0.060585397
03/08/2011,47.8,0.013055566
02/08/2011,47.18,-0.036420631
01/08/2011,48.93,-0.013196821
29/07/2011,49.58,-0.033518259
28/07/2011,51.27,-0.012213004
27/07/2011,51.9,-0.040960713
26/07/2011,54.07,-0.013957986
25/07/2011,54.83,-0.004004374
22/07/2011,55.05,0.000726876
21/07/2011,55.01,0.010415809
20/07/2011,54.44,0.005895374
19/07/2011,54.12,0.022422464
18/07/2011,52.92,-0.029235859
15/07/2011,54.49,0.000367107
14/07/2011,54.47,-0.021791311
13/07/2011,55.67,0.001258201
12/07/2011,55.6,-0.006453949
11/07/2011,55.96,-0.021392135
08/07/2011,57.17,-0.007840444
07/07/2011,57.62,0.005220127
06/07/2011,57.32,-0.000697593
05/07/2011,57.36,-0.007468554
01/07/2011,57.79,0.027365328
30/06/2011,56.23,0.013247598
29/06/2011,55.49,0.001442741
28/06/2011,55.41,0.01802835
27/06/2011,54.42,0.004604484
24/06/2011,54.17,-0.008455933
23/06/2011,54.63,-0.006931804
22/06/2011,55.01,-0.000908513
21/06/2011,55.06,0.019069151
20/06/2011,54.02,0.007991865
17/06/2011,53.59,0.011636768
16/06/2011,52.97,-0.007897747
15/06/2011,53.39,-0.020944144
14/06/2011,54.52,0.022443676
13/06/2011,53.31,0.008666219
10/06/2011,52.85,-0.008853783
09/06/2011,53.32,0.007530156
08/06/2011,52.92,-0.007530156
07/06/2011,53.32,0.002629109
06/06/2011,53.18,-0.007120135
03/06/2011,53.56,-0.011693869
02/06/2011,54.19,-0.000553454
01/06/2011,54.22,-0.034085968
31/05/2011,56.1,0.018712313
27/05/2011,55.06,0.00655979
26/05/2011,54.7,0.008445066
25/05/2011,54.24,0.00926104
24/05/2011,53.74,-0.000558088
23/05/2011,53.77,-0.020068795
20/05/2011,54.86,-0.011598535
