Date,Close,SLB
26/03/2012,72.4,-0.01071586
23/03/2012,73.18,0.016533857
22/03/2012,71.98,-0.027811917
21/03/2012,74.01,-0.022710033
20/03/2012,75.71,-0.018193028
19/03/2012,77.1,0.004419609
16/03/2012,76.76,0.024262794
15/03/2012,74.92,0.012085551
14/03/2012,74.02,-0.010081408
13/03/2012,74.77,0.010081408
12/03/2012,74.02,-0.024290531
09/03/2012,75.84,0.000263748
08/03/2012,75.82,0.014882018
07/03/2012,74.7,0.012256871
06/03/2012,73.79,-0.02542283
05/03/2012,75.69,-0.019623864
02/03/2012,77.19,-0.015171286
01/03/2012,78.37,0.009744916
29/02/2012,77.61,-0.014962873
28/02/2012,78.78,-0.004180131
27/02/2012,79.11,-0.009310586
24/02/2012,79.85,0.003261418
23/02/2012,79.59,-0.005138178
22/02/2012,80,0.017909421
21/02/2012,78.58,0.010747289
17/02/2012,77.74,-0.004107836
16/02/2012,78.06,0.009007911
15/02/2012,77.36,-0.00567158
14/02/2012,77.8,-0.002951937
13/02/2012,78.03,0.011082588
10/02/2012,77.17,-0.018869695
09/02/2012,78.64,0.002929006
08/02/2012,78.41,-0.013805551
07/02/2012,79.5,-0.001759458
06/02/2012,79.64,0.012381712
03/02/2012,78.66,0.017311454
02/02/2012,77.31,0.015512271
01/02/2012,76.12,0.012558827
31/01/2012,75.17,-0.014527461
30/01/2012,76.27,-0.005100384
27/01/2012,76.66,0.008909912
26/01/2012,75.98,-0.002760073
25/01/2012,76.19,0.021223771
24/01/2012,74.59,0.005781529
23/01/2012,74.16,0.00486619
20/01/2012,73.8,0.01281894
19/01/2012,72.86,0.031084808
18/01/2012,70.63,0.043255459
17/01/2012,67.64,-0.005161112
13/01/2012,67.99,-0.024839682
12/01/2012,69.7,-0.00657803
11/01/2012,70.16,-0.008374188
10/01/2012,70.75,0.027658136
09/01/2012,68.82,0.015227234
06/01/2012,67.78,-0.004269421
05/01/2012,68.07,-0.021653102
04/01/2012,69.56,-0.007590441
03/01/2012,70.09,0.025723962
30/12/2011,68.31,0.013262794
29/12/2011,67.41,0.005503919
28/12/2011,67.04,-0.023003079
27/12/2011,68.6,-0.0078409
23/12/2011,69.14,0.017655671
22/12/2011,67.93,0.003243884
21/12/2011,67.71,-0.006770706
20/12/2011,68.17,0.046540972
19/12/2011,65.07,-0.027884819
16/12/2011,66.91,0.008706149
15/12/2011,66.33,-0.010050336
14/12/2011,67,-0.049642679
13/12/2011,70.41,-0.021219092
12/12/2011,71.92,-0.030535678
09/12/2011,74.15,0.030118635
08/12/2011,71.95,-0.042715961
07/12/2011,75.09,-0.020562211
06/12/2011,76.65,-0.006501973
05/12/2011,77.15,0.028130141
02/12/2011,75.01,0.001868162
01/12/2011,74.87,-0.006125186
30/11/2011,75.33,0.067259153
29/11/2011,70.43,0.017329471
28/11/2011,69.22,0.042044691
25/11/2011,66.37,-0.001956801
23/11/2011,66.5,-0.036179657
22/11/2011,68.95,-0.017681766
21/11/2011,70.18,-0.016113423
18/11/2011,71.32,-0.005453415
17/11/2011,71.71,-0.041786527
16/11/2011,74.77,-0.015921791
15/11/2011,75.97,0.004617727
14/11/2011,75.62,-0.012092682
11/11/2011,76.54,0.033072939
10/11/2011,74.05,0.013048982
09/11/2011,73.09,-0.04990363
08/11/2011,76.83,0.019716727
07/11/2011,75.33,0.004790428
04/11/2011,74.97,-0.01272383
03/11/2011,75.93,0.042920424
02/11/2011,72.74,0.022382251
01/11/2011,71.13,-0.032367971
31/10/2011,73.47,-0.033329726
28/10/2011,75.96,0.00250445
27/10/2011,75.77,0.081495524
26/10/2011,69.84,0.026258127
25/10/2011,68.03,-0.026830701
24/10/2011,69.88,0.036431247
21/10/2011,67.38,-0.009012398
20/10/2011,67.99,0.001324601
19/10/2011,67.9,-0.029172666
18/10/2011,69.91,0.03478485
17/10/2011,67.52,-0.049410599
14/10/2011,70.94,0.054161202
13/10/2011,67.2,-0.001635566
12/10/2011,67.31,0.007306377
11/10/2011,66.82,0.015534586
10/10/2011,65.79,0.049063799
07/10/2011,62.64,-0.019758803
06/10/2011,63.89,0.036825712
05/10/2011,61.58,0.040937028
04/10/2011,59.11,0.023796381
03/10/2011,57.72,-0.034230673
30/09/2011,59.73,-0.026434713
29/09/2011,61.33,0.016439627
28/09/2011,60.33,-0.049949777
27/09/2011,63.42,0.002367986
26/09/2011,63.27,0.033264094
23/09/2011,61.2,-0.000326744
22/09/2011,61.22,-0.06221837
21/09/2011,65.15,-0.061608292
20/09/2011,69.29,-0.020993274
19/09/2011,70.76,-0.028971386
16/09/2011,72.84,-0.018768401
15/09/2011,74.22,0.017533579
14/09/2011,72.93,0.01103003
13/09/2011,72.13,-0.003459972
12/09/2011,72.38,0.008045542
09/09/2011,71.8,-0.04985075
08/09/2011,75.47,-0.017339197
07/09/2011,76.79,0.032694329
06/09/2011,74.32,-0.001344628
02/09/2011,74.42,-0.027566018
01/09/2011,76.5,-0.020955365
31/08/2011,78.12,0.010164127
30/08/2011,77.33,0.001035063
29/08/2011,77.25,0.031694414
26/08/2011,74.84,0.023387345
25/08/2011,73.11,-0.04178993
24/08/2011,76.23,0.001312681
23/08/2011,76.13,0.048993784
22/08/2011,72.49,-0.008653306
19/08/2011,73.12,-0.017488414
18/08/2011,74.41,-0.066418221
17/08/2011,79.52,0.011255256
16/08/2011,78.63,-0.018147946
15/08/2011,80.07,0.026320639
12/08/2011,77.99,0.005915655
11/08/2011,77.53,0.049170734
10/08/2011,73.81,-0.050459727
09/08/2011,77.63,0.05235829
08/08/2011,73.67,-0.093370914
05/08/2011,80.88,0.001113379
04/08/2011,80.79,-0.07623645
03/08/2011,87.19,-0.004919637
02/08/2011,87.62,-0.029131003
01/08/2011,90.21,-0.001772068
29/07/2011,90.37,-0.011333125
28/07/2011,91.4,-0.003058775
27/07/2011,91.68,-0.024245571
26/07/2011,93.93,-0.008164176
25/07/2011,94.7,0.00944254
22/07/2011,93.81,0.030851611
21/07/2011,90.96,0.028434764
20/07/2011,88.41,-0.003274804
19/07/2011,88.7,0.016940886
18/07/2011,87.21,-0.008904168
15/07/2011,87.99,0.023806541
14/07/2011,85.92,-0.012491488
13/07/2011,87,0.001840774
12/07/2011,86.84,-0.014064608
11/07/2011,88.07,-0.021233174
08/07/2011,89.96,-0.00487914
07/07/2011,90.4,0.014372706
06/07/2011,89.11,0.008565363
05/07/2011,88.35,0.008525201
01/07/2011,87.6,0.013793322
30/06/2011,86.4,0.013868878
29/06/2011,85.21,0.010143989
28/06/2011,84.35,0.044980005
27/06/2011,80.64,-0.003466208
24/06/2011,80.92,-0.026222614
