Date,Close,EMC
14/06/2013,24.76,0.002021428
13/06/2013,24.71,0.015497863
12/06/2013,24.33,-0.013877774
11/06/2013,24.67,-0.008476337
10/06/2013,24.88,0.005642901
07/06/2013,24.74,-0.000808081
06/06/2013,24.76,0.018753097
05/06/2013,24.3,-0.004926118
04/06/2013,24.42,-0.013018898
03/06/2013,24.74,-0.000808081
31/05/2013,24.76,-0.00684245
30/05/2013,24.93,0.052286039
29/05/2013,23.66,-0.008836582
28/05/2013,23.87,0.009259325
24/05/2013,23.65,-0.000422744
23/05/2013,23.66,-0.000844951
22/05/2013,23.68,-0.01758103
21/05/2013,24.1,-0.002486533
20/05/2013,24.16,-0.003305788
17/05/2013,24.24,0.007453451
16/05/2013,24.06,0.044187307
15/05/2013,23.02,0.000869187
14/05/2013,23,-0.00173762
13/05/2013,23.04,-0.012936791
10/05/2013,23.34,0.019031716
09/05/2013,22.9,-0.023733584
08/05/2013,23.45,0.014172451
07/05/2013,23.12,-0.00732604
06/05/2013,23.29,-0.003856872
03/05/2013,23.38,0.02161779
02/05/2013,22.88,0.018527217
01/05/2013,22.46,0.001336601
30/04/2013,22.43,-0.002671417
29/04/2013,22.49,0.004456335
26/04/2013,22.39,-0.010662029
25/04/2013,22.63,0.004872656
24/04/2013,22.52,0.007130155
23/04/2013,22.36,0.023072727
22/04/2013,21.85,0.016147986
19/04/2013,21.5,-0.038325859
18/04/2013,22.34,-0.016426562
17/04/2013,22.71,-0.016161086
16/04/2013,23.08,0.013083484
15/04/2013,22.78,-0.014382466
12/04/2013,23.11,0.00956529
11/04/2013,22.89,-0.014744413
10/04/2013,23.23,0.003881825
09/04/2013,23.14,0.000432246
08/04/2013,23.13,0.002164035
05/04/2013,23.08,-0.015904053
04/04/2013,23.45,-0.005952399
03/04/2013,23.59,-0.010541949
02/04/2013,23.84,0.011390125
01/04/2013,23.57,-0.013485244
28/03/2013,23.89,0.00251467
27/03/2013,23.83,0.003362761
26/03/2013,23.75,0.000421141
25/03/2013,23.74,-0.017122991
22/03/2013,24.15,-0.014388737
21/03/2013,24.5,-0.014184635
20/03/2013,24.85,0.006054509
19/03/2013,24.7,-0.014070584
18/03/2013,25.05,-0.011904903
15/03/2013,25.35,-0.010594566
14/03/2013,25.62,0.028505493
13/03/2013,24.9,0.017419926
12/03/2013,24.47,-0.003671226
11/03/2013,24.56,0.010642753
08/03/2013,24.3,0.014508026
07/03/2013,23.95,-0.014508026
06/03/2013,24.3,0.023314961
05/03/2013,23.74,0.022147413
04/03/2013,23.22,-0.001291156
01/03/2013,23.25,0.010376228
28/02/2013,23.01,-0.011665719
27/02/2013,23.28,0.014712511
26/02/2013,22.94,0.004806651
25/02/2013,22.83,-0.026368504
22/02/2013,23.44,0.001280683
21/02/2013,23.41,-0.00383714
20/02/2013,23.5,-0.017714508
19/02/2013,23.92,-0.003338901
15/02/2013,24,-0.001665279
14/02/2013,24.04,-0.007459628
13/02/2013,24.22,-0.013125701
12/02/2013,24.54,-0.003660773
11/02/2013,24.63,-0.010099056
08/02/2013,24.88,0.005238779
07/02/2013,24.75,-0.001614857
06/02/2013,24.79,-0.003623922
05/02/2013,24.88,0.011724412
04/02/2013,24.59,-0.010517896
01/02/2013,24.85,0.009704888
31/01/2013,24.61,0.000406421
30/01/2013,24.6,0.017220598
29/01/2013,24.18,-0.041318149
28/01/2013,25.2,-0.002378122
25/01/2013,25.26,0.008747571
24/01/2013,25.04,0.020577688
23/01/2013,24.53,0.010243892
22/01/2013,24.28,-0.002057191
18/01/2013,24.33,0.012407107
17/01/2013,24.03,-0.002078571
16/01/2013,24.08,-0.009917437
15/01/2013,24.32,0.004533286
14/01/2013,24.21,0.002481391
11/01/2013,24.15,0.012500163
10/01/2013,23.85,-0.007102599
09/01/2013,24.02,0.006264376
08/01/2013,23.87,-0.010833439
07/01/2013,24.13,-0.008254277
04/01/2013,24.33,-0.001642711
03/01/2013,24.37,-0.019102389
02/01/2013,24.84,-0.018349139
31/12/2012,25.3,0.018751796
28/12/2012,24.83,-0.018356461
27/12/2012,25.29,-0.001580403
26/12/2012,25.33,-0.011383832
24/12/2012,25.62,0
21/12/2012,25.62,-0.011255698
20/12/2012,25.91,0
19/12/2012,25.91,0.001931621
18/12/2012,25.86,0.023079452
17/12/2012,25.27,0.022005289
14/12/2012,24.72,0
13/12/2012,24.72,0.002024702
12/12/2012,24.67,-0.026006667
11/12/2012,25.32,0.011919092
10/12/2012,25.02,0.004406176
07/12/2012,24.91,-0.010780699
06/12/2012,25.18,0.001192132
05/12/2012,25.15,0.009187203
04/12/2012,24.92,0.006441246
03/12/2012,24.76,-0.002420332
30/11/2012,24.82,-0.008425326
29/11/2012,25.03,0.006815019
28/11/2012,24.86,0.0117339
27/11/2012,24.57,-0.004061744
26/11/2012,24.67,-0.005658867
23/11/2012,24.81,0.018714948
21/11/2012,24.35,0.005353111
20/11/2012,24.22,-0.004942349
19/11/2012,24.34,0.032570729
16/11/2012,23.56,0
15/11/2012,23.56,0.006814336
14/11/2012,23.4,-0.021560759
13/11/2012,23.91,-0.007915059
12/11/2012,24.1,-0.004966898
09/11/2012,24.22,0.002066543
08/11/2012,24.17,-0.015192245
07/11/2012,24.54,-0.031685025
06/11/2012,25.33,0.017925196
05/11/2012,24.88,-0.004011237
02/11/2012,24.98,-0.009165237
01/11/2012,25.21,0.031838273
31/10/2012,24.42,0.021105687
26/10/2012,23.91,-0.009573434
25/10/2012,24.14,-0.013168915
24/10/2012,24.46,-0.008954069
23/10/2012,24.68,-0.014481347
22/10/2012,25.04,0.018541442
19/10/2012,24.58,-0.016942721
18/10/2012,25,-0.023716527
17/10/2012,25.6,-0.027356744
16/10/2012,26.31,0.022291469
15/10/2012,25.73,0.003503994
12/10/2012,25.64,-0.001558847
11/10/2012,25.68,-0.0062112
10/10/2012,25.84,-0.011543029
09/10/2012,26.14,-0.037173418
08/10/2012,27.13,-0.005880208
05/10/2012,27.29,0.003671076
04/10/2012,27.19,0.005532007
03/10/2012,27.04,-0.00736923
02/10/2012,27.24,-0.000733945
01/10/2012,27.26,-0.000366771
28/09/2012,27.27,-0.009125816
27/09/2012,27.52,0.02837854
26/09/2012,26.75,-0.01557895
