Date,Close,INTU
29/09/2011,48.44,0.002273433
28/09/2011,48.33,-0.009062884
27/09/2011,48.77,0.015289554
26/09/2011,48.03,0.015949971
23/09/2011,47.27,0.01213168
22/09/2011,46.7,-0.020977568
21/09/2011,47.69,-0.025873326
20/09/2011,48.94,-0.008545322
19/09/2011,49.36,0.001013479
16/09/2011,49.31,0.018007444
15/09/2011,48.43,0.019600294
14/09/2011,47.49,0.021281927
13/09/2011,46.49,-0.006645967
12/09/2011,46.8,0.012037979
09/09/2011,46.24,-0.015237981
08/09/2011,46.95,-0.016476925
07/09/2011,47.73,0.01328713
06/09/2011,47.1,-0.005293819
02/09/2011,47.35,-0.025645104
01/09/2011,48.58,-0.015320492
31/08/2011,49.33,0.012237558
30/08/2011,48.73,0.006795043
29/08/2011,48.4,0.03875801
26/08/2011,46.56,0.042559614
25/08/2011,44.62,-0.02719301
24/08/2011,45.85,0.009422662
23/08/2011,45.42,0.034038217
22/08/2011,43.9,0.005711038
19/08/2011,43.65,0.079851813
18/08/2011,40.3,-0.050325084
17/08/2011,42.38,-0.011728964
16/08/2011,42.88,-0.005813294
15/08/2011,43.13,0.017306325
12/08/2011,42.39,0.008053099
11/08/2011,42.05,0.051481058
10/08/2011,39.94,-0.068692376
09/08/2011,42.78,0.043963123
08/08/2011,40.94,-0.06294957
05/08/2011,43.6,-0.017957068
04/08/2011,44.39,-0.033668739
03/08/2011,45.91,0.011170853
02/08/2011,45.4,-0.015300845
01/08/2011,46.1,-0.012931215
29/07/2011,46.7,-0.009801911
28/07/2011,47.16,-0.001906578
27/07/2011,47.25,-0.028376617
26/07/2011,48.61,-0.001438997
25/07/2011,48.68,0.014900938
22/07/2011,47.96,0.010690805
21/07/2011,47.45,-0.007139888
20/07/2011,47.79,-0.024187226
19/07/2011,48.96,0.011503824
18/07/2011,48.4,-0.019437952
15/07/2011,49.35,0.003247415
14/07/2011,49.19,-0.013528727
13/07/2011,49.86,-0.007990454
12/07/2011,50.26,-0.012456908
11/07/2011,50.89,-0.015597899
08/07/2011,51.69,-0.010775552
07/07/2011,52.25,-0.001721006
06/07/2011,52.34,-0.000382044
05/07/2011,52.36,0.002294456
01/07/2011,52.24,0.007300705
30/06/2011,51.86,0.002123348
29/06/2011,51.75,0.005036818
28/06/2011,51.49,0.013097636
27/06/2011,50.82,0.006316642
24/06/2011,50.5,-0.004346974
23/06/2011,50.72,0.00692455
22/06/2011,50.37,-0.000396983
21/06/2011,50.39,0.019842318
20/06/2011,49.4,0.004870139
17/06/2011,49.16,-0.000813339
16/06/2011,49.2,-0.009306157
15/06/2011,49.66,-0.021514774
14/06/2011,50.74,0.007120283
13/06/2011,50.38,0.000397062
10/06/2011,50.36,-0.008699145
09/06/2011,50.8,-0.003929278
08/06/2011,51,-0.010920545
