Date,Close,PEG
15/07/2011,31.84,-0.005012542
14/07/2011,32,-0.000937061
13/07/2011,32.03,-0.00311721
12/07/2011,32.13,0.002181026
11/07/2011,32.06,-0.014860955
08/07/2011,32.54,-0.00887263
07/07/2011,32.83,0.007030443
06/07/2011,32.6,-0.001532567
05/07/2011,32.65,-0.008539241
01/07/2011,32.93,0.008845566
30/06/2011,32.64,0.012330612
29/06/2011,32.24,0.004663463
28/06/2011,32.09,0.005625015
27/06/2011,31.91,0.026354915
24/06/2011,31.08,-0.015959483
23/06/2011,31.58,-0.006627766
22/06/2011,31.79,0.000944139
21/06/2011,31.76,0.003153582
20/06/2011,31.66,0.003163558
17/06/2011,31.56,0.004764182
16/06/2011,31.41,0.008633147
15/06/2011,31.14,-0.023485688
14/06/2011,31.88,0.008821733
13/06/2011,31.6,-0.004735605
10/06/2011,31.75,-0.009092397
09/06/2011,32.04,0.004065682
08/06/2011,31.91,-0.002503914
07/06/2011,31.99,-0.012117594
06/06/2011,32.38,-0.003083567
03/06/2011,32.48,-0.012240055
02/06/2011,32.88,-0.000608088
01/06/2011,32.9,-0.018072781
31/05/2011,33.5,0.004787562
27/05/2011,33.34,0.003605773
26/05/2011,33.22,-0.006600684
25/05/2011,33.44,0.001196888
24/05/2011,33.4,-0.012200717
23/05/2011,33.81,-0.00883398
20/05/2011,34.11,-0.002050081
19/05/2011,34.18,0.007341099
18/05/2011,33.93,0.003247235
17/05/2011,33.82,0.008611783
16/05/2011,33.53,0.002388774
13/05/2011,33.45,-0.007446051
12/05/2011,33.7,0.01344307
11/05/2011,33.25,0.007850282
10/05/2011,32.99,0.019899631
09/05/2011,32.34,0.001237624
06/05/2011,32.3,0.007770047
05/05/2011,32.05,-0.009007671
04/05/2011,32.34,0.003717476
03/05/2011,32.22,0.001242236
02/05/2011,32.18,0.0003108
29/04/2011,32.17,0.002489886
28/04/2011,32.09,0.009078165
27/04/2011,31.8,0.017766965
26/04/2011,31.24,0.013860012
25/04/2011,30.81,-0.003887274
21/04/2011,30.93,0.005511442
20/04/2011,30.76,0.007832938
19/04/2011,30.52,-0.012373977
18/04/2011,30.9,-0.009661911
15/04/2011,31.2,0.010633256
14/04/2011,30.87,-0.00291121
13/04/2011,30.96,0.012349848
12/04/2011,30.58,0.000654236
11/04/2011,30.56,-0.021366951
08/04/2011,31.22,-0.00447428
07/04/2011,31.36,-0.0063573
06/04/2011,31.56,0.024051183
05/04/2011,30.81,-0.002593194
04/04/2011,30.89,-0.019555039
01/04/2011,31.5,-0.00031741
31/03/2011,31.51,-0.005696218
30/03/2011,31.69,0.012063638
29/03/2011,31.31,0.0105957
28/03/2011,30.98,-0.003544389
25/03/2011,31.09,-0.00256987
24/03/2011,31.17,0.000641849
23/03/2011,31.15,0.004827041
22/03/2011,31,0.00777206
21/03/2011,30.76,0.010786181
18/03/2011,30.43,-0.001313629
17/03/2011,30.47,0.004935032
16/03/2011,30.32,-0.025400258
15/03/2011,31.1,-0.013097137
14/03/2011,31.51,-0.027235992
11/03/2011,32.38,0.010243765
10/03/2011,32.05,-0.014250551
09/03/2011,32.51,0.025862167
08/03/2011,31.68,0.006650856
07/03/2011,31.47,-0.004438815
04/03/2011,31.61,-0.010698655
03/03/2011,31.95,0.0018797
02/03/2011,31.89,-0.000626959
