Date,Close,PNC
22/12/2011,58,0.019499225
21/12/2011,56.88,0.012917104
20/12/2011,56.15,0.032030242
19/12/2011,54.38,-0.012971772
16/12/2011,55.09,0.021837734
15/12/2011,53.9,-0.002779066
14/12/2011,54.05,0.00370714
13/12/2011,53.85,-0.014197712
12/12/2011,54.62,-0.023343139
09/12/2011,55.91,0.027379101
08/12/2011,54.4,-0.028272996
07/12/2011,55.96,0.017849568
06/12/2011,54.97,-0.003812987
05/12/2011,55.18,0.022172232
02/12/2011,53.97,0.009307588
01/12/2011,53.47,-0.013744644
30/11/2011,54.21,0.064378662
29/11/2011,50.83,0.011476185
28/11/2011,50.25,0.023762697
25/11/2011,49.07,0.003879535
23/11/2011,48.88,-0.026845895
22/11/2011,50.21,-0.015023014
21/11/2011,50.97,-0.03318846
18/11/2011,52.69,0.012797424
17/11/2011,52.02,-0.015261647
16/11/2011,52.82,-0.014845711
15/11/2011,53.61,0.015035051
14/11/2011,52.81,-0.01987317
11/11/2011,53.87,0.022907498
10/11/2011,52.65,0.016083058
09/11/2011,51.81,-0.051717833
08/11/2011,54.56,0.014771317
07/11/2011,53.76,0.020483663
04/11/2011,52.67,-0.013951961
03/11/2011,53.41,0.015281875
02/11/2011,52.6,0.023467128
01/11/2011,51.38,-0.044350212
31/10/2011,53.71,-0.025005899
28/10/2011,55.07,-0.01621073
27/10/2011,55.97,0.037870901
26/10/2011,53.89,0.016275731
25/10/2011,53.02,-0.036300282
24/10/2011,54.98,0.016874942
21/10/2011,54.06,0.017917613
20/10/2011,53.1,0.033901552
19/10/2011,51.33,0.002145296
18/10/2011,51.22,0.044105722
17/10/2011,49.01,-0.042933618
14/10/2011,51.16,-0.002342836
13/10/2011,51.28,-0.013365816
12/10/2011,51.97,0.040645626
11/10/2011,49.9,-0.007984074
10/10/2011,50.3,0.05202601
07/10/2011,47.75,-0.03133631
06/10/2011,49.27,0.042709642
05/10/2011,47.21,0.013219809
04/10/2011,46.59,0.007540701
03/10/2011,46.24,-0.041306306
30/09/2011,48.19,-0.03266263
29/09/2011,49.79,0.038698656
28/09/2011,47.9,-0.026778119
27/09/2011,49.2,-0.004461577
26/09/2011,49.42,0.044056344
23/09/2011,47.29,0.011698528
22/09/2011,46.74,-0.020121403
21/09/2011,47.69,-0.051094071
20/09/2011,50.19,0.004993519
19/09/2011,49.94,-0.027647891
16/09/2011,51.34,0.00136439
15/09/2011,51.27,0.029894337
14/09/2011,49.76,0.022765211
13/09/2011,48.64,0.009709817
12/09/2011,48.17,0.037868089
09/09/2011,46.38,-0.030157308
08/09/2011,47.8,-0.02642598
07/09/2011,49.08,0.064810223
06/09/2011,46,-0.004987542
02/09/2011,46.23,-0.048759262
01/09/2011,48.54,-0.032430892
31/08/2011,50.14,0.0177067
30/08/2011,49.26,-0.001014508
29/08/2011,49.31,0.051389362
26/08/2011,46.84,0.005566274
25/08/2011,46.58,-0.006206547
24/08/2011,46.87,0.040715322
23/08/2011,45,0.045927599
22/08/2011,42.98,-0.003252035
19/08/2011,43.12,-0.042675563
18/08/2011,45,-0.0500592
17/08/2011,47.31,0.005723386
16/08/2011,47.04,-0.015608838
15/08/2011,47.78,0.019015997
12/08/2011,46.88,-0.016291485
11/08/2011,47.65,0.051017196
10/08/2011,45.28,-0.085464244
09/08/2011,49.32,0.048394865
08/08/2011,46.99,-0.085414018
05/08/2011,51.18,-0.002926546
04/08/2011,51.33,-0.0468122
03/08/2011,53.79,0.010653311
02/08/2011,53.22,-0.031079083
01/08/2011,54.9,0.011173301
29/07/2011,54.29,-0.005510668
28/07/2011,54.59,0.001650014
27/07/2011,54.5,-0.023931526
26/07/2011,55.82,-0.012285386
25/07/2011,56.51,-0.001414678
22/07/2011,56.59,-0.003175726
21/07/2011,56.77,0.021004688
20/07/2011,55.59,-0.00430803
19/07/2011,55.83,-0.00178955
18/07/2011,55.93,-0.015787468
15/07/2011,56.82,-0.007713923
14/07/2011,57.26,-0.01301311
13/07/2011,58.01,-0.000689299
12/07/2011,58.05,-0.007380107
11/07/2011,58.48,-0.022822392
08/07/2011,59.83,-0.012622656
07/07/2011,60.59,0.013458706
06/07/2011,59.78,-0.008163311
