Date,Close,CI
18/03/2013,62.11,-0.00833739
15/03/2013,62.63,0.005925232
14/03/2013,62.26,0.003378653
13/03/2013,62.05,0.008090659
12/03/2013,61.55,0.016050132
11/03/2013,60.57,0.015137942
08/03/2013,59.66,0.012141802
07/03/2013,58.94,-0.009456335
06/03/2013,59.5,0.001850451
05/03/2013,59.39,0.020756104
04/03/2013,58.17,-0.001545994
01/03/2013,58.26,-0.003427008
28/02/2013,58.46,-0.008855644
27/02/2013,58.98,0.018826502
26/02/2013,57.88,0.004155131
25/02/2013,57.64,-0.018393299
22/02/2013,58.71,-0.007804587
21/02/2013,59.17,-0.001688619
20/02/2013,59.27,-0.019382395
19/02/2013,60.43,-0.01069881
15/02/2013,61.08,-0.006039356
14/02/2013,61.45,-0.00713478
13/02/2013,61.89,-0.001453137
12/02/2013,61.98,0.002423069
11/02/2013,61.83,-0.001616031
08/02/2013,61.93,0.009409544
07/02/2013,61.35,0.02776579
06/02/2013,59.67,-0.011828543
05/02/2013,60.38,0.034198566
04/02/2013,58.35,-0.009042116
01/02/2013,58.88,0.00921351
31/01/2013,58.34,-0.00785389
30/01/2013,58.8,0.000510334
29/01/2013,58.77,0.005288761
28/01/2013,58.46,-0.000342056
25/01/2013,58.48,0.005658936
24/01/2013,58.15,0.013330068
23/01/2013,57.38,0.004191414
22/01/2013,57.14,0.014277144
18/01/2013,56.33,-0.004074769
17/01/2013,56.56,0.018378606
16/01/2013,55.53,-0.006104148
15/01/2013,55.87,0.003406547
14/01/2013,55.68,0.001437815
11/01/2013,55.6,-0.000359648
10/01/2013,55.62,0.017959666
09/01/2013,54.63,0.003851449
08/01/2013,54.42,-0.009509947
07/01/2013,54.94,0.003464312
04/01/2013,54.75,0.007332755
03/01/2013,54.35,-0.014793439
02/01/2013,55.16,0.031304342
31/12/2012,53.46,0.011475998
28/12/2012,52.85,-0.015210133
27/12/2012,53.66,0.001118777
26/12/2012,53.6,-0.003538508
24/12/2012,53.79,0
21/12/2012,53.79,-0.007039673
20/12/2012,54.17,0.009273063
19/12/2012,53.67,-0.015163012
18/12/2012,54.49,0.013487502
17/12/2012,53.76,0.013860495
14/12/2012,53.02,-0.012743801
13/12/2012,53.7,-0.00483003
