Date,Close,ED
03/01/2012,60.65,-0.022498504
30/12/2011,62.03,-0.008987382
29/12/2011,62.59,0.006411306
28/12/2011,62.19,-0.004972342
27/12/2011,62.5,0.008354804
23/12/2011,61.98,0.005825259
22/12/2011,61.62,-0.001945526
21/12/2011,61.74,0.01534223
20/12/2011,60.8,0.019934215
19/12/2011,59.6,-0.003015583
16/12/2011,59.78,0.000167294
15/12/2011,59.77,0.016362008
14/12/2011,58.8,-0.00576566
13/12/2011,59.14,0.005425581
12/12/2011,58.82,-0.007115056
09/12/2011,59.24,0.01479493
08/12/2011,58.37,-0.005808011
07/12/2011,58.71,-0.005096851
06/12/2011,59.01,0.00186583
05/12/2011,58.9,0.00493576
02/12/2011,58.61,-0.015239035
01/12/2011,59.51,0.001513496
30/11/2011,59.42,0.024705235
29/11/2011,57.97,0.012847399
28/11/2011,57.23,0.001223883
25/11/2011,57.16,0.012499062
23/11/2011,56.45,-0.007940051
22/11/2011,56.9,-0.010315679
21/11/2011,57.49,-0.011242875
18/11/2011,58.14,0.005865119
17/11/2011,57.8,-0.00293686
16/11/2011,57.97,-0.013365518
15/11/2011,58.75,0.006489094
14/11/2011,58.37,-0.021524431
11/11/2011,59.64,0.012825015
10/11/2011,58.88,0.011272536
09/11/2011,58.22,-0.019223183
08/11/2011,59.35,0.00472894
07/11/2011,59.07,0.008671312
04/11/2011,58.56,-0.003239283
03/11/2011,58.75,0.012503374
02/11/2011,58.02,0.016859702
01/11/2011,57.05,-0.014271039
31/10/2011,57.87,-0.002933312
28/10/2011,58.04,-0.025347959
27/10/2011,59.53,0.011998454
26/10/2011,58.82,0.01094028
25/10/2011,58.18,-0.018224127
24/10/2011,59.25,-0.008570761
21/10/2011,59.76,0.021480741
20/10/2011,58.49,0.009793051
19/10/2011,57.92,-0.001725031
18/10/2011,58.02,0.000862143
17/10/2011,57.97,0.0072715
14/10/2011,57.55,0.015585641
13/10/2011,56.66,0.001059509
12/10/2011,56.6,-0.002822867
11/10/2011,56.76,-0.008071635
10/10/2011,57.22,0.019589438
07/10/2011,56.11,-0.00089071
06/10/2011,56.16,0.018148014
05/10/2011,55.15,-0.023121381
04/10/2011,56.44,-0.000708466
03/10/2011,56.48,-0.00951549
30/09/2011,57.02,-0.005073045
29/09/2011,57.31,0.021161079
28/09/2011,56.11,-0.008694935
27/09/2011,56.6,-0.003351269
26/09/2011,56.79,0.000880825
23/09/2011,56.74,-0.002815912
22/09/2011,56.9,-0.006306959
21/09/2011,57.26,-0.014563364
20/09/2011,58.1,0.014738021
19/09/2011,57.25,-0.002965032
16/09/2011,57.42,0.005938882
15/09/2011,57.08,0.00932859
14/09/2011,56.55,0.00478597
13/09/2011,56.28,0.00892385
12/09/2011,55.78,0.011902755
09/09/2011,55.12,-0.016731523
08/09/2011,56.05,-0.000356761
07/09/2011,56.07,0.005185528
06/09/2011,55.78,-0.005185528
02/09/2011,56.07,0.002142475
01/09/2011,55.95,-0.004636242
31/08/2011,56.21,-0.001955035
30/08/2011,56.32,-0.000177541
29/08/2011,56.33,0.013223924
26/08/2011,55.59,-0.010557493
25/08/2011,56.18,-0.012734519
24/08/2011,56.9,0.027076823
23/08/2011,55.38,0.014917504
22/08/2011,54.56,0.003672424
19/08/2011,54.36,-0.000183942
18/08/2011,54.37,-0.002388171
17/08/2011,54.5,0.000183503
