Date,Close,KMI
04/06/2013,37.93,-0.011272894
03/06/2013,38.36,0.009955545
31/05/2013,37.98,-0.026501941
30/05/2013,39,-0.014762294
29/05/2013,39.58,-0.021000772
28/05/2013,40.42,-0.003950622
24/05/2013,40.58,0.003208691
23/05/2013,40.45,-0.013261491
22/05/2013,40.99,-0.002436648
21/05/2013,41.09,0.000973947
20/05/2013,41.05,0.013982811
17/05/2013,40.48,0.013930574
16/05/2013,39.92,-0.006989544
15/05/2013,40.2,0.005487667
14/05/2013,39.98,0.012331854
13/05/2013,39.49,0.001013428
10/05/2013,39.45,-0.000253453
09/05/2013,39.46,0.001014199
08/05/2013,39.42,0.004067113
07/05/2013,39.26,0.00485128
06/05/2013,39.07,0.005646832
03/05/2013,38.85,0.003351814
02/05/2013,38.72,0.004919104
01/05/2013,38.53,-0.014685308
30/04/2013,39.1,0.005128216
29/04/2013,38.9,0.003089601
26/04/2013,38.78,-0.008473539
25/04/2013,39.11,-0.02200114
24/04/2013,39.98,0.011319452
23/04/2013,39.53,0.013498231
22/04/2013,39,0.003338901
19/04/2013,38.87,0.024744067
18/04/2013,37.92,0.003169575
17/04/2013,37.8,-0.014966802
16/04/2013,38.37,0.0110064
15/04/2013,37.95,-0.021635146
12/04/2013,38.78,0.000257898
11/04/2013,38.77,-0.004375248
10/04/2013,38.94,0.007733991
09/04/2013,38.64,0.013548931
08/04/2013,38.12,0.015864955
05/04/2013,37.52,-0.009021022
04/04/2013,37.86,0.000528402
03/04/2013,37.84,-0.026083899
02/04/2013,38.84,-0.006927545
01/04/2013,39.11,0.011055518
28/03/2013,38.68,0.008046766
27/03/2013,38.37,0.009952937
26/03/2013,37.99,0.010318917
25/03/2013,37.6,-0.000531773
22/03/2013,37.62,0.011227063
21/03/2013,37.2,0.006201988
20/03/2013,36.97,0.011425587
19/03/2013,36.55,0.008517705
18/03/2013,36.24,-0.004405293
15/03/2013,36.4,-0.014996873
14/03/2013,36.95,0.000541419
13/03/2013,36.93,-0.009164485
12/03/2013,37.27,-0.001340662
11/03/2013,37.32,-0.001338868
08/03/2013,37.37,0.002947878
07/03/2013,37.26,0.007813592
06/03/2013,36.97,-0.013166924
05/03/2013,37.46,-0.002133334
04/03/2013,37.54,0.007486666
01/03/2013,37.26,0.005112348
28/02/2013,37.07,0.000269796
27/02/2013,37.06,0.023202897
26/02/2013,36.21,0.002765488
25/02/2013,36.11,-0.024348077
22/02/2013,37,0.007324053
21/02/2013,36.73,-0.010831408
20/02/2013,37.13,-0.007780053
19/02/2013,37.42,-0.002668803
15/02/2013,37.52,-0.001331735
14/02/2013,37.57,-0.006103243
13/02/2013,37.8,0.001588563
12/02/2013,37.74,0.002387586
11/02/2013,37.65,0.001328904
08/02/2013,37.6,-0.004511086
07/02/2013,37.77,0.013326423
06/02/2013,37.27,-0.002947089
05/02/2013,37.38,0.021634159
04/02/2013,36.58,-0.024572588
01/02/2013,37.49,0.000800534
31/01/2013,37.46,-0.007181837
30/01/2013,37.73,0.011462207
29/01/2013,37.3,-0.006147286
28/01/2013,37.53,0.007488668
25/01/2013,37.25,0.000537057
24/01/2013,37.23,-0.009357106
23/01/2013,37.58,-0.005572523
22/01/2013,37.79,0.010106469
18/01/2013,37.41,0.004554596
17/01/2013,37.24,0.017335212
16/01/2013,36.6,-0.006535971
15/01/2013,36.84,-0.002710763
14/01/2013,36.94,-0.003243246
11/01/2013,37.06,-0.001078749
10/01/2013,37.1,-0.000538938
09/01/2013,37.12,-0.00590923
08/01/2013,37.34,0.000535762
07/01/2013,37.32,0.016480178
04/01/2013,36.71,-0.007328028
03/01/2013,36.98,0.012243385
02/01/2013,36.53,0.033401379
31/12/2012,35.33,0.020300912
28/12/2012,34.62,-0.004323396
27/12/2012,34.77,0.000575374
26/12/2012,34.75,-0.008025265
24/12/2012,35.03,-0.00881063
21/12/2012,35.34,-0.003671802
20/12/2012,35.47,0.006505468
19/12/2012,35.24,-0.001417837
18/12/2012,35.29,0.023800407
17/12/2012,34.46,0.021708098
14/12/2012,33.72,-0.002369669
13/12/2012,33.8,0.002369669
12/12/2012,33.72,0.002672607
11/12/2012,33.63,-0.00059453
10/12/2012,33.65,0.002082404
07/12/2012,33.58,-0.001487874
06/12/2012,33.63,-0.005929457
05/12/2012,33.83,-0.002656828
04/12/2012,33.92,0.000589797
03/12/2012,33.9,0.002658398
30/11/2012,33.81,-0.012053652
29/11/2012,34.22,0.002926546
28/11/2012,34.12,0.010607053
27/11/2012,33.76,0.00237248
26/11/2012,33.68,-0.001186944
23/11/2012,33.72,0.007740438
21/11/2012,33.46,0
20/11/2012,33.46,-0.00059755
19/11/2012,33.48,0.035881015
16/11/2012,32.3,0.008394267
15/11/2012,32.03,-0.002805925
14/11/2012,32.12,-0.003729029
13/11/2012,32.24,-0.008954823
12/11/2012,32.53,-0.001535863
09/11/2012,32.58,-0.010989122
08/11/2012,32.94,-0.012070153
07/11/2012,33.34,-0.024297492
06/11/2012,34.16,0.007935383
05/11/2012,33.89,-0.006470611
02/11/2012,34.11,-0.013684884
01/11/2012,34.58,-0.00375235
31/10/2012,34.71,0.000288143
26/10/2012,34.7,-0.010321193
25/10/2012,35.06,0.014363936
24/10/2012,34.56,0.005221944
23/10/2012,34.38,-0.010704572
22/10/2012,34.75,-0.006310979
19/10/2012,34.97,-0.02541074
18/10/2012,35.87,0.002791738
17/10/2012,35.77,0.007013635
16/10/2012,35.52,0.017895663
15/10/2012,34.89,0.011240931
12/10/2012,34.5,-0.016956866
11/10/2012,35.09,-0.001992883
10/10/2012,35.16,0.002277905
09/10/2012,35.08,-0.013590243
08/10/2012,35.56,-0.013408022
05/10/2012,36.04,-0.005809949
04/10/2012,36.25,0.005809949
03/10/2012,36.04,0.015096736
02/10/2012,35.5,0.001409444
01/10/2012,35.45,-0.001972665
28/09/2012,35.52,-0.003933694
27/09/2012,35.66,0.014404994
26/09/2012,35.15,-0.010752792
25/09/2012,35.53,-0.007570483
24/09/2012,35.8,0.002797205
21/09/2012,35.7,0.001121076
20/09/2012,35.66,-0.008099472
19/09/2012,35.95,-0.00277778
18/09/2012,36.05,-0.005256617
17/09/2012,36.24,0.000275976
14/09/2012,36.23,0.007202247
13/09/2012,35.97,0.008375258
12/09/2012,35.67,-0.00224027
