Date,Close,HP
14/08/2012,47.98,-0.006647303
13/08/2012,48.3,-0.032990163
10/08/2012,49.92,0.022076846
09/08/2012,48.83,0.018186077
08/08/2012,47.95,-0.00520022
07/08/2012,48.2,0.015893266
06/08/2012,47.44,0.009530942
03/08/2012,46.99,0.019555797
02/08/2012,46.08,-0.019768585
01/08/2012,47,0.010695289
31/07/2012,46.5,-0.032789823
30/07/2012,48.05,-0.011175613
27/07/2012,48.59,0.059788894
26/07/2012,45.77,0.056631621
25/07/2012,43.25,-0.022632124
24/07/2012,44.24,-0.022352294
23/07/2012,45.24,-0.007706743
20/07/2012,45.59,-0.003503397
19/07/2012,45.75,0.001969151
18/07/2012,45.66,0.027757972
17/07/2012,44.41,0.032497139
16/07/2012,42.99,-0.004641456
13/07/2012,43.19,0.012347274
12/07/2012,42.66,-0.016506245
11/07/2012,43.37,0.025453797
10/07/2012,42.28,-0.027756884
09/07/2012,43.47,-0.012118589
06/07/2012,44,-0.016901811
05/07/2012,44.75,-0.022100347
03/07/2012,45.75,0.056657093
02/07/2012,43.23,-0.005766364
29/06/2012,43.48,0.045885005
28/06/2012,41.53,0.018224292
27/06/2012,40.78,0.040025353
26/06/2012,39.18,-0.0040754
25/06/2012,39.34,-0.061371972
22/06/2012,41.83,-0.010936866
21/06/2012,42.29,-0.075357065
20/06/2012,45.6,-0.012855608
19/06/2012,46.19,0.033685078
18/06/2012,44.66,0.00313972
15/06/2012,44.52,0.019964365
14/06/2012,43.64,-0.00045819
13/06/2012,43.66,-0.042597787
12/06/2012,45.56,0.019951892
11/06/2012,44.66,-0.03151776
08/06/2012,46.09,-0.020402297
07/06/2012,47.04,-0.005300553
06/06/2012,47.29,0.02570285
05/06/2012,46.09,0.0212704
04/06/2012,45.12,0.017889565
01/06/2012,44.32,-0.02187099
31/05/2012,45.3,-0.014899487
30/05/2012,45.98,-0.024066482
29/05/2012,47.1,0.018211537
25/05/2012,46.25,0.009122565
24/05/2012,45.83,-0.016017658
23/05/2012,46.57,0.021926418
22/05/2012,45.56,0.008154315
21/05/2012,45.19,0.038804778
18/05/2012,43.47,-0.001838658
17/05/2012,43.55,0.002759257
16/05/2012,43.43,-0.009852296
15/05/2012,43.86,-0.026326191
14/05/2012,45.03,-0.020007263
11/05/2012,45.94,-0.009532135
10/05/2012,46.38,-0.013066481
09/05/2012,46.99,-0.01310801
08/05/2012,47.61,-0.000419992
07/05/2012,47.63,0.003364882
04/05/2012,47.47,-0.037420387
03/05/2012,49.28,-0.030574866
02/05/2012,50.81,-0.019875947
01/05/2012,51.83,0.008525531
30/04/2012,51.39,0.007814066
27/04/2012,50.99,-0.036206535
26/04/2012,52.87,-0.031831445
25/04/2012,54.58,0.033724668
24/04/2012,52.77,0.016624057
23/04/2012,51.9,0.007736983
20/04/2012,51.5,-0.015988013
19/04/2012,52.33,-0.001718378
18/04/2012,52.42,-0.002857417
17/04/2012,52.57,0.022312909
16/04/2012,51.41,-0.015632857
13/04/2012,52.22,-0.040530876
12/04/2012,54.38,0.040913944
11/04/2012,52.2,0.002493528
10/04/2012,52.07,-0.029333166
09/04/2012,53.62,0.002240479
05/04/2012,53.5,-0.003172532
04/04/2012,53.67,-0.020288413
03/04/2012,54.77,-0.003463049
02/04/2012,54.96,0.018547956
30/03/2012,53.95,0.0291511
29/03/2012,52.4,-0.014587736
28/03/2012,53.17,-0.02544005
27/03/2012,54.54,-0.008398808
26/03/2012,55,-0.009410131
23/03/2012,55.52,0.013053122
22/03/2012,54.8,-0.033731221
21/03/2012,56.68,-0.020086257
20/03/2012,57.83,-0.022230738
19/03/2012,59.13,-0.003208107
16/03/2012,59.32,0.012041187
15/03/2012,58.61,-0.003406578
14/03/2012,58.81,-0.021697933
13/03/2012,60.1,0.0150883
12/03/2012,59.2,-0.027490278
09/03/2012,60.85,0.006926149
08/03/2012,60.43,0.022423965
07/03/2012,59.09,0.021208252
06/03/2012,57.85,-0.02761853
05/03/2012,59.47,-0.021624262
02/03/2012,60.77,-0.026148465
01/03/2012,62.38,0.017464868
29/02/2012,61.3,-0.001141273
28/02/2012,61.37,-0.01279059
27/02/2012,62.16,-0.00896867
24/02/2012,62.72,0.000318928
23/02/2012,62.7,-0.006359322
22/02/2012,63.1,0.013080423
21/02/2012,62.28,-0.015928976
17/02/2012,63.28,0.0479056
16/02/2012,60.32,0.025011795
15/02/2012,58.83,-0.004409776
14/02/2012,59.09,-0.00371622
13/02/2012,59.31,0.00067465
10/02/2012,59.27,-0.011240786
09/02/2012,59.94,-0.01408124
08/02/2012,60.79,-0.00312064
07/02/2012,60.98,0.000492086
06/02/2012,60.95,-0.010932637
03/02/2012,61.62,-0.003078671
02/02/2012,61.81,0.005027989
01/02/2012,61.5,-0.003408818
31/01/2012,61.71,0.0226165
30/01/2012,60.33,-0.003970229
27/01/2012,60.57,-0.003131957
26/01/2012,60.76,-0.035409083
25/01/2012,62.95,0.0228159
24/01/2012,61.53,0.018701332
23/01/2012,60.39,0.014175173
20/01/2012,59.54,-0.022420602
19/01/2012,60.89,-0.001804907
18/01/2012,61,0.061875404
17/01/2012,57.34,-0.020199219
13/01/2012,58.51,-0.013411626
12/01/2012,59.3,-0.047584909
11/01/2012,62.19,-0.046191057
10/01/2012,65.13,0.012825641
09/01/2012,64.3,0.010631745
06/01/2012,63.62,0.009158441
05/01/2012,63.04,0.007483516
04/01/2012,62.57,0.012544391
03/01/2012,61.79,0.057110815
30/12/2011,58.36,0.001714972
29/12/2011,58.26,0.011740466
28/12/2011,57.58,-0.025378591
27/12/2011,59.06,0.001016432
23/12/2011,59,0.013652089
22/12/2011,58.2,0.008281621
21/12/2011,57.72,-0.006045445
20/12/2011,58.07,0.064550002
19/12/2011,54.44,-0.024316204
16/12/2011,55.78,0.034656031
15/12/2011,53.88,-0.004629209
14/12/2011,54.13,-0.057261042
13/12/2011,57.32,-0.012655105
12/12/2011,58.05,-0.042660097
09/12/2011,60.58,0.030333285
08/12/2011,58.77,-0.013856254
07/12/2011,59.59,-0.002848766
06/12/2011,59.76,0.009583932
05/12/2011,59.19,0.014979003
02/12/2011,58.31,0.007920152
01/12/2011,57.85,0.015504187
30/11/2011,56.96,0.075080787
29/11/2011,52.84,-0.022085869
28/11/2011,54.02,0.063428438
25/11/2011,50.7,0.003160809
23/11/2011,50.54,-0.059902743
22/11/2011,53.66,0.001678635
21/11/2011,53.57,-0.017211492
18/11/2011,54.5,0.006812141
17/11/2011,54.13,-0.021745946
16/11/2011,55.32,0.00362188
15/11/2011,55.12,0.012413449
14/11/2011,54.44,-0.016396797
11/11/2011,55.34,0.03232011
10/11/2011,53.58,0.032820929
09/11/2011,51.85,-0.076996756
08/11/2011,56,0.01947411
07/11/2011,54.92,0.002187387
04/11/2011,54.8,0.007509881
03/11/2011,54.39,0.050722532
02/11/2011,51.7,0.027452704
01/11/2011,50.3,-0.055677309
31/10/2011,53.18,-0.067437193
28/10/2011,56.89,0.010247439
27/10/2011,56.31,0.094351662
26/10/2011,51.24,0.043272627
25/10/2011,49.07,-0.01195193
24/10/2011,49.66,0.03274955
21/10/2011,48.06,0.01340615
20/10/2011,47.42,0.012520057
19/10/2011,46.83,-0.025093568
18/10/2011,48.02,0.047551864
17/10/2011,45.79,-0.057910357
14/10/2011,48.52,0.041663926
13/10/2011,46.54,0.000214892
12/10/2011,46.53,0.020408872
11/10/2011,45.59,0.019043977
10/10/2011,44.73,0.06368934
07/10/2011,41.97,-0.006885935
06/10/2011,42.26,-0.013164271
05/10/2011,42.82,0.07666216
04/10/2011,39.66,0.058939834
03/10/2011,37.39,-0.082364778
30/09/2011,40.6,-0.065538637
