Date,Close,OXY
08/06/2011,102.49,0.010100601
07/06/2011,101.46,-0.004719773
06/06/2011,101.94,-0.021927724
03/06/2011,104.2,0.003942502
02/06/2011,103.79,0.001060394
01/06/2011,103.68,-0.03943214
31/05/2011,107.85,0.011939327
27/05/2011,106.57,0.014936939
26/05/2011,104.99,0.007361058
25/05/2011,104.22,0.016641251
24/05/2011,102.5,0.035248127
23/05/2011,98.95,-0.014547535
20/05/2011,100.4,0.000199223
19/05/2011,100.38,-0.017968694
18/05/2011,102.2,0.007858587
17/05/2011,101.4,0.003952574
16/05/2011,101,-0.013375494
13/05/2011,102.36,-0.007106382
12/05/2011,103.09,-0.00522447
11/05/2011,103.63,-0.031815038
10/05/2011,106.98,-0.004662883
09/05/2011,107.48,0.009911255
06/05/2011,106.42,0.004331865
05/05/2011,105.96,-0.027276534
04/05/2011,108.89,-0.02494121
03/05/2011,111.64,-0.036066887
02/05/2011,115.74,0.012607218
29/04/2011,114.29,0.083541398
28/04/2011,105.13,0.020468691
27/04/2011,103,0.000874168
26/04/2011,102.91,0.024792219
25/04/2011,100.39,-0.00139359
21/04/2011,100.53,-0.003277226
20/04/2011,100.86,0.021547158
19/04/2011,98.71,0.016856914
18/04/2011,97.06,-0.01736332
15/04/2011,98.76,0.012327597
14/04/2011,97.55,0.006788753
13/04/2011,96.89,-0.000103204
12/04/2011,96.9,-0.035681872
11/04/2011,100.42,-0.03233357
08/04/2011,103.72,0.025288143
07/04/2011,101.13,0.00089034
06/04/2011,101.04,-0.016587709
05/04/2011,102.73,-0.007660644
04/04/2011,103.52,-0.007506531
01/04/2011,104.3,-0.001820011
31/03/2011,104.49,0.007010833
30/03/2011,103.76,-0.000289087
29/03/2011,103.79,0.028537068
28/03/2011,100.87,0.000198295
25/03/2011,100.85,0.010566287
24/03/2011,99.79,-0.003101708
23/03/2011,100.1,-0.000599221
22/03/2011,100.16,-0.00815357
21/03/2011,100.98,0.026593309
18/03/2011,98.33,0.004791283
17/03/2011,97.86,0.019919127
16/03/2011,95.93,-0.021042551
15/03/2011,97.97,-0.010660541
14/03/2011,99.02,0.002730446
11/03/2011,98.75,0.013457232
10/03/2011,97.43,-0.034698388
09/03/2011,100.87,-0.000495565
08/03/2011,100.92,-0.025533302
07/03/2011,103.53,0.003677186
04/03/2011,103.15,-0.00251743
03/03/2011,103.41,0.025662525
02/03/2011,100.79,0.005671375
01/03/2011,100.22,-0.017310883
28/02/2011,101.97,-0.011020739
25/02/2011,103.1,0.013082291
24/02/2011,101.76,-0.011723464
23/02/2011,102.96,0.007996142
22/02/2011,102.14,-0.049936392
18/02/2011,107.37,0.014257816
17/02/2011,105.85,0.007872189
16/02/2011,105.02,0.018742439
15/02/2011,103.07,0.017815663
14/02/2011,101.25,0.015025906
11/02/2011,99.74,0.008154271
10/02/2011,98.93,0.017127547
09/02/2011,97.25,-0.005230513
08/02/2011,97.76,0.002252945
07/02/2011,97.54,0.000307613
04/02/2011,97.51,-0.006847592
03/02/2011,98.18,-0.004877067
02/02/2011,98.66,-0.002732934
01/02/2011,98.93,0.023005973
31/01/2011,96.68,0.030135096
28/01/2011,93.81,-0.033130192
27/01/2011,96.97,0.000309422
26/01/2011,96.94,-0.002163945
25/01/2011,97.15,-0.000308753
24/01/2011,97.18,-0.00809638
21/01/2011,97.97,0.016051379
20/01/2011,96.41,-0.019108862
19/01/2011,98.27,-0.002845241
18/01/2011,98.55,0.012559516
14/01/2011,97.32,0.009290869
13/01/2011,96.42,-0.011138729
12/01/2011,97.5,0.005966482
11/01/2011,96.92,0.011727601
10/01/2011,95.79,-0.004167107
07/01/2011,96.19,-0.002803012
06/01/2011,96.46,-0.005788728
05/01/2011,97.02,0.003717476
04/01/2011,96.66,-0.013767812
03/01/2011,98,-0.001019888
31/12/2010,98.1,0.005007419
30/12/2010,97.61,-0.014442887
29/12/2010,99.03,0.013521275
28/12/2010,97.7,0.008531686
27/12/2010,96.87,-0.005866931
23/12/2010,97.44,-0.003278691
22/12/2010,97.76,0.011626243
21/12/2010,96.63,0.01207719
20/12/2010,95.47,0.00283212
17/12/2010,95.2,0.003788681
16/12/2010,94.84,0.000421852
15/12/2010,94.8,0.007411363
14/12/2010,94.1,0.002340676
13/12/2010,93.88,0.008987863
10/12/2010,93.04,0.021401067
09/12/2010,91.07,0.001978457
08/12/2010,90.89,-0.019934215
07/12/2010,92.72,-0.003552784
