Date,Close,WFM
05/04/2012,83.67,0.025296356
04/04/2012,81.58,-0.01677443
03/04/2012,82.96,-0.006128722
02/04/2012,83.47,0.003239938
30/03/2012,83.2,0.007116609
29/03/2012,82.61,-0.035437715
28/03/2012,85.59,0.017086376
27/03/2012,84.14,-0.006161157
26/03/2012,84.66,0.014395585
23/03/2012,83.45,0.006009633
22/03/2012,82.95,-0.012221576
21/03/2012,83.97,-0.003803642
20/03/2012,84.29,-0.011090251
19/03/2012,85.23,0.000939077
16/03/2012,85.15,-0.003985003
15/03/2012,85.49,0.00421991
14/03/2012,85.13,-0.009818898
13/03/2012,85.97,0.025565391
12/03/2012,83.8,-0.000834974
09/03/2012,83.87,0.00035776
08/03/2012,83.84,0.022190973
07/03/2012,82,0.013134664
06/03/2012,80.93,-0.020667198
05/03/2012,82.62,-0.002297045
02/03/2012,82.81,0.007758555
01/03/2012,82.17,0.017556157
29/02/2012,80.74,-0.003215039
28/02/2012,81,-0.007992665
27/02/2012,81.65,0.006758858
24/02/2012,81.1,0.000986923
23/02/2012,81.02,0.007433136
22/02/2012,80.42,-0.001987578
21/02/2012,80.58,-0.007664767
17/02/2012,81.2,0.007416598
16/02/2012,80.6,0.008222296
15/02/2012,79.94,-0.013049337
14/02/2012,80.99,0.000370485
13/02/2012,80.96,-0.008119124
10/02/2012,81.62,-0.00488879
09/02/2012,82.02,0.051152132
08/02/2012,77.93,0.027712695
07/02/2012,75.8,-0.008015285
06/02/2012,76.41,0.002096162
03/02/2012,76.25,0.008561132
02/02/2012,75.6,0.005172082
01/02/2012,75.21,0.015813784
31/01/2012,74.03,0.001216463
30/01/2012,73.94,-0.012766417
27/01/2012,74.89,-0.003997873
26/01/2012,75.19,-0.025733335
25/01/2012,77.15,-0.002071735
24/01/2012,77.31,0.015512271
23/01/2012,76.12,-0.002361896
20/01/2012,76.3,-0.01340904
19/01/2012,77.33,-0.006958791
18/01/2012,77.87,0.014748003
17/01/2012,76.73,0.040425661
13/01/2012,73.69,0.024173681
12/01/2012,71.93,-0.004715681
11/01/2012,72.27,-0.005657138
10/01/2012,72.68,-0.002885212
09/01/2012,72.89,0.000137202
06/01/2012,72.88,0.001785347
05/01/2012,72.75,0.017471326
04/01/2012,71.49,0.026218465
03/01/2012,69.64,0.000861945
30/12/2011,69.58,-0.005160562
29/12/2011,69.94,0.006454874
28/12/2011,69.49,0.00809136
27/12/2011,68.93,0.002760225
23/12/2011,68.74,0.004081638
22/12/2011,68.46,0.000146081
21/12/2011,68.45,-0.003645647
20/12/2011,68.7,0.039185779
19/12/2011,66.06,-0.001512631
16/12/2011,66.16,-0.001963006
15/12/2011,66.29,0.004232811
14/12/2011,66.01,-0.022469489
13/12/2011,67.51,-0.010462042
12/12/2011,68.22,-0.012961661
09/12/2011,69.11,0.030260828
08/12/2011,67.05,-0.021395136
07/12/2011,68.5,-0.019229972
06/12/2011,69.83,0.007330252
05/12/2011,69.32,0.013799333
02/12/2011,68.37,0.007634746
01/12/2011,67.85,-0.003677827
30/11/2011,68.1,0.04367113
29/11/2011,65.19,-0.00520197
28/11/2011,65.53,0.030681055
25/11/2011,63.55,0.005048126
23/11/2011,63.23,-0.029145677
22/11/2011,65.1,0.020484888
21/11/2011,63.78,-0.025388361
18/11/2011,65.42,-0.006703255
17/11/2011,65.86,-0.014920027
16/11/2011,66.85,-0.021897605
15/11/2011,68.33,0.010593008
14/11/2011,67.61,-0.015993298
11/11/2011,68.7,0.023118161
10/11/2011,67.13,0.005227403
09/11/2011,66.78,-0.025576085
08/11/2011,68.51,0.002777171
07/11/2011,68.32,-0.005109873
04/11/2011,68.67,-0.006965635
03/11/2011,69.15,-0.020185354
02/11/2011,70.56,0.014992785
01/11/2011,69.51,-0.036860771
31/10/2011,72.12,-0.020992745
28/10/2011,73.65,-0.007440007
27/10/2011,74.2,0.043380296
26/10/2011,71.05,0.011750684
25/10/2011,70.22,-0.051756018
24/10/2011,73.95,0.02672307
21/10/2011,72,0.015536739
20/10/2011,70.89,-0.001832148
19/10/2011,71.02,0.025527233
18/10/2011,69.23,0.022348115
17/10/2011,67.7,-0.020757945
14/10/2011,69.12,0.020905666
13/10/2011,67.69,-0.011165093
12/10/2011,68.45,0.001023168
11/10/2011,68.38,-0.013797329
10/10/2011,69.33,0.037174632
07/10/2011,66.8,-0.008051333
06/10/2011,67.34,0.031988243
05/10/2011,65.22,0.027198817
04/10/2011,63.47,0.016361258
03/10/2011,62.44,-0.044939068
30/09/2011,65.31,-0.026591686
29/09/2011,67.07,-0.04404328
28/09/2011,70.09,-0.012054319
27/09/2011,70.94,-0.008841542
26/09/2011,71.57,0.048231427
23/09/2011,68.2,0.008392893
22/09/2011,67.63,-0.035157601
21/09/2011,70.05,-0.027456846
20/09/2011,72,-0.001387925
19/09/2011,72.1,0.043223164
16/09/2011,69.05,0.007997135
15/09/2011,68.5,0.023485312
14/09/2011,66.91,0.005244636
13/09/2011,66.56,0.013461596
12/09/2011,65.67,0.018287102
09/09/2011,64.48,-0.019656653
08/09/2011,65.76,-0.016439553
07/09/2011,66.85,0.035321072
06/09/2011,64.53,0.022250996
02/09/2011,63.11,-0.02889246
01/09/2011,64.96,-0.016488923
31/08/2011,66.04,0.034977759
30/08/2011,63.77,-0.008121238
29/08/2011,64.29,0.051219618
26/08/2011,61.08,0.044355024
25/08/2011,58.43,-0.018986839
24/08/2011,59.55,0.010635704
23/08/2011,58.92,0.037172574
22/08/2011,56.77,-0.001056338
19/08/2011,56.83,-0.03475754
18/08/2011,58.84,-0.052957443
17/08/2011,62.04,0.033934901
16/08/2011,59.97,-0.00499003
15/08/2011,60.27,0.033403915
12/08/2011,58.29,0.014689627
11/08/2011,57.44,0.061756878
10/08/2011,54,-0.032610595
09/08/2011,55.79,0.028729249
08/08/2011,54.21,-0.078039937
05/08/2011,58.61,-0.016582444
04/08/2011,59.59,-0.061976087
03/08/2011,63.4,-0.003149609
02/08/2011,63.6,-0.042179563
01/08/2011,66.34,-0.005411919
29/07/2011,66.7,-0.006575039
28/07/2011,67.14,0.025799123
27/07/2011,65.43,-0.022218098
26/07/2011,66.9,0.002694209
25/07/2011,66.72,0.008882256
22/07/2011,66.13,0.010641633
21/07/2011,65.43,-0.005486982
20/07/2011,65.79,-0.001974035
19/07/2011,65.92,0.031279031
18/07/2011,63.89,-0.009812399
15/07/2011,64.52,0.006530889
14/07/2011,64.1,-0.024806757
13/07/2011,65.71,0.012557592
12/07/2011,64.89,0.003550756
11/07/2011,64.66,0.00465045
08/07/2011,64.36,-0.005423427
07/07/2011,64.71,0.014476087
06/07/2011,63.78,-0.000626959
05/07/2011,63.82,-0.00920228
01/07/2011,64.41,0.015016706
30/06/2011,63.45,0
29/06/2011,63.45,-0.00094518
28/06/2011,63.51,0.033461859
27/06/2011,61.42,0.014761626
24/06/2011,60.52,-0.010682984
23/06/2011,61.17,0.0196457
22/06/2011,59.98,-0.007143481
21/06/2011,60.41,0.059859313
20/06/2011,56.9,0.021494744
17/06/2011,55.69,0.007570332
16/06/2011,55.27,0.023616658
15/06/2011,53.98,-0.014528991
14/06/2011,54.77,0.001096091
13/06/2011,54.71,0.008812247
10/06/2011,54.23,-0.016641145
09/06/2011,55.14,0.012776228
08/06/2011,54.44,-0.045776636
07/06/2011,56.99,0.018417379
06/06/2011,55.95,-0.021220955
03/06/2011,57.15,-0.026589964
02/06/2011,58.69,-0.015050593
01/06/2011,59.58,-0.026173434
31/05/2011,61.16,0.00969366
27/05/2011,60.57,-0.000330142
26/05/2011,60.59,0.013458706
25/05/2011,59.78,0.004694844
24/05/2011,59.5,-0.006867124
23/05/2011,59.91,-0.015404031
20/05/2011,60.84,-0.016949558
19/05/2011,61.88,-0.000484692
18/05/2011,61.91,0.005506979
17/05/2011,61.57,0.003905619
16/05/2011,61.33,-0.018737424
13/05/2011,62.49,-0.011772328
12/05/2011,63.23,0.000791077
11/05/2011,63.18,-0.005367022
10/05/2011,63.52,0.039170337
09/05/2011,61.08,-0.007990259
06/05/2011,61.57,0.026663857
05/05/2011,59.95,0.003509069
04/05/2011,59.74,-0.00050205
03/05/2011,59.77,0.002177373
