Date,Close,ALTR
22/11/2011,35.46,0.009065218
21/11/2011,35.14,-0.00199005
18/11/2011,35.21,-0.003968259
17/11/2011,35.35,-0.031191612
16/11/2011,36.47,-0.037405141
15/11/2011,37.86,0.017048895
14/11/2011,37.22,-0.00348666
11/11/2011,37.35,0.020557933
10/11/2011,36.59,0.008232758
09/11/2011,36.29,-0.056254788
08/11/2011,38.39,-0.003120939
07/11/2011,38.51,-0.013924928
04/11/2011,39.05,0.01991531
03/11/2011,38.28,0.03509132
02/11/2011,36.96,-0.014237984
01/11/2011,37.49,-0.011404447
31/10/2011,37.92,-0.051899651
28/10/2011,39.94,-0.008724971
27/10/2011,40.29,0.056676729
26/10/2011,38.07,-0.003408945
25/10/2011,38.2,0.003671654
24/10/2011,38.06,0.02689551
21/10/2011,37.05,0.114852112
20/10/2011,33.03,-0.011738284
19/10/2011,33.42,-0.048476644
18/10/2011,35.08,0.010315278
17/10/2011,34.72,-0.034256711
14/10/2011,35.93,0.017406391
13/10/2011,35.31,0.032525532
12/10/2011,34.18,-0.001169591
11/10/2011,34.22,-0.005536951
10/10/2011,34.41,0.030989642
07/10/2011,33.36,0.012366317
06/10/2011,32.95,0.008227991
05/10/2011,32.68,0.012935197
04/10/2011,32.26,0.044043234
03/10/2011,30.87,-0.021154635
30/09/2011,31.53,-0.047687053
29/09/2011,33.07,-0.033014151
28/09/2011,34.18,-0.046586506
27/09/2011,35.81,0.026026929
26/09/2011,34.89,-0.019583427
23/09/2011,35.58,0.019010361
22/09/2011,34.91,-0.043442448
21/09/2011,36.46,-0.02518752
20/09/2011,37.39,-0.016445994
19/09/2011,38.01,-0.006032805
16/09/2011,38.24,-0.002611649
15/09/2011,38.34,0.024021216
14/09/2011,37.43,0.016159791
13/09/2011,36.83,0.018359195
12/09/2011,36.16,0.043810878
09/09/2011,34.61,-0.014912809
08/09/2011,35.13,-0.001422273
07/09/2011,35.18,0.009137699
06/09/2011,34.86,0.003160468
02/09/2011,34.75,-0.033393029
01/09/2011,35.93,-0.01272141
31/08/2011,36.39,-0.033241812
30/08/2011,37.62,0.004262127
29/08/2011,37.46,0.031455956
26/08/2011,36.3,0.035612904
25/08/2011,35.03,-0.02759184
24/08/2011,36.01,-0.011595933
23/08/2011,36.43,0.066095227
22/08/2011,34.1,0.032486838
19/08/2011,33.01,-0.035707453
18/08/2011,34.21,-0.068622541
17/08/2011,36.64,-0.003813679
16/08/2011,36.78,-0.020186394
15/08/2011,37.53,0.026733062
12/08/2011,36.54,-0.008719401
11/08/2011,36.86,0.054926697
10/08/2011,34.89,-0.022390053
09/08/2011,35.68,0.024685606
08/08/2011,34.81,-0.045213372
05/08/2011,36.42,-0.030555304
04/08/2011,37.55,-0.051133495
03/08/2011,39.52,0.007110238
02/08/2011,39.24,-0.040944311
01/08/2011,40.88,0
29/07/2011,40.88,0.006134236
28/07/2011,40.63,0.007411101
27/07/2011,40.33,-0.036279085
26/07/2011,41.82,0.002873565
25/07/2011,41.7,-0.014285957
22/07/2011,42.3,-0.000236379
21/07/2011,42.31,0.038549702
20/07/2011,40.71,-0.067665536
19/07/2011,43.56,0.023459443
18/07/2011,42.55,-0.002816242
15/07/2011,42.67,0.002111438
14/07/2011,42.58,-0.025047692
13/07/2011,43.66,-0.031562584
12/07/2011,45.06,-0.023902026
11/07/2011,46.15,-0.014840578
08/07/2011,46.84,-0.026960352
07/07/2011,48.12,0.021849609
06/07/2011,47.08,-0.000849257
05/07/2011,47.12,-0.008663551
01/07/2011,47.53,0.025139799
30/06/2011,46.35,0.022252227
29/06/2011,45.33,0.000441306
28/06/2011,45.31,0.016242431
27/06/2011,44.58,0.021540341
24/06/2011,43.63,-0.016818578
23/06/2011,44.37,0.016360283
22/06/2011,43.65,-0.007759053
21/06/2011,43.99,0.024391453
20/06/2011,42.93,0.003500179
17/06/2011,42.78,0.000935454
16/06/2011,42.74,-0.008155702
15/06/2011,43.09,-0.016799383
14/06/2011,43.82,0.011245098
13/06/2011,43.33,-0.007587115
10/06/2011,43.66,-0.009573814
09/06/2011,44.08,-0.005429878
08/06/2011,44.32,-0.039159964
07/06/2011,46.09,0.013323338
06/06/2011,45.48,-0.00175747
03/06/2011,45.56,-0.035363754
02/06/2011,47.2,0.009793563
01/06/2011,46.74,-0.028473926
31/05/2011,48.09,0.021863389
27/05/2011,47.05,-0.003183027
26/05/2011,47.2,0.015156657
25/05/2011,46.49,0.014516559
24/05/2011,45.82,-0.013655788
23/05/2011,46.45,-0.028021362
20/05/2011,47.77,0.009676138
19/05/2011,47.31,-0.015520446
18/05/2011,48.05,0.034296333
17/05/2011,46.43,-0.014963939
16/05/2011,47.13,-0.02452182
13/05/2011,48.3,-0.007014677
12/05/2011,48.64,0.021613476
11/05/2011,47.6,-0.01252626
10/05/2011,48.2,-0.001244039
09/05/2011,48.26,0.002281922
06/05/2011,48.15,0.003120127
05/05/2011,48,0.013634191
04/05/2011,47.35,-0.013842503
03/05/2011,48.01,-0.009123016
02/05/2011,48.45,-0.005146692
29/04/2011,48.7,-0.013866454
28/04/2011,49.38,0.017981686
27/04/2011,48.5,0.040177872
26/04/2011,46.59,0.018412737
25/04/2011,45.74,-0.005450793
21/04/2011,45.99,0.007858587
20/04/2011,45.63,0.064494691
19/04/2011,42.78,0.009866183
18/04/2011,42.36,-0.018941289
15/04/2011,43.17,0.022962583
14/04/2011,42.19,-0.012952024
13/04/2011,42.74,0.024873958
12/04/2011,41.69,-0.020418563
11/04/2011,42.55,-0.006091865
08/04/2011,42.81,-0.006054979
07/04/2011,43.07,-0.009934239
06/04/2011,43.5,0.021376279
05/04/2011,42.58,0.00117495
04/04/2011,42.53,-0.003286388
01/04/2011,42.67,-0.031147979
31/03/2011,44.02,0.005010259
30/03/2011,43.8,-0.001596898
29/03/2011,43.87,0.017707718
28/03/2011,43.1,-0.006706003
25/03/2011,43.39,0.022609051
24/03/2011,42.42,0.013528152
23/03/2011,41.85,0.027126875
22/03/2011,40.73,-0.00587517
21/03/2011,40.97,0.028973179
18/03/2011,39.8,-0.010746074
