Date,Close,URBN
27/06/2012,26.75,-0.01336819
26/06/2012,27.11,0.007776377
25/06/2012,26.9,-0.023876249
22/06/2012,27.55,-0.005068802
21/06/2012,27.69,-0.027428255
20/06/2012,28.46,0.006698421
19/06/2012,28.27,0.022899033
18/06/2012,27.63,0.004352564
15/06/2012,27.51,0.032886762
14/06/2012,26.62,0.008298803
13/06/2012,26.4,-0.04987183
12/06/2012,27.75,0.022595714
11/06/2012,27.13,-0.018623872
08/06/2012,27.64,0.011278999
07/06/2012,27.33,-0.009468388
06/06/2012,27.59,0.032789823
05/06/2012,26.7,0.00224972
04/06/2012,26.64,-0.001875118
01/06/2012,26.69,-0.046843544
31/05/2012,27.97,-0.007834798
30/05/2012,28.19,-0.018626439
29/05/2012,28.72,0.010500622
25/05/2012,28.42,0.013817757
24/05/2012,28.03,-0.005337141
23/05/2012,28.18,0.00284293
22/05/2012,28.1,0.07153805
21/05/2012,26.16,0.02085823
18/05/2012,25.62,0.002344667
17/05/2012,25.56,-0.029680344
16/05/2012,26.33,-0.015451598
15/05/2012,26.74,-0.010416761
14/05/2012,27.02,-0.015788835
11/05/2012,27.45,-0.008705169
10/05/2012,27.69,-0.005402498
09/05/2012,27.84,0.006848107
08/05/2012,27.65,-0.01969625
07/05/2012,28.2,-0.003893121
04/05/2012,28.31,-0.023045713
03/05/2012,28.97,-0.03826436
02/05/2012,30.1,0.04310866
01/05/2012,28.83,-0.004499056
30/04/2012,28.96,-0.008595549
27/04/2012,29.21,0.009977719
26/04/2012,28.92,0.020259163
25/04/2012,28.34,0.016723393
24/04/2012,27.87,-0.00964121
23/04/2012,28.14,-0.02803267
20/04/2012,28.94,-0.004137937
19/04/2012,29.06,-0.003778126
18/04/2012,29.17,0.007916063
17/04/2012,28.94,0.016022635
16/04/2012,28.48,-0.006649193
13/04/2012,28.67,-0.01144455
12/04/2012,29,0.006920443
11/04/2012,28.8,0.010120484
10/04/2012,28.51,-0.033457164
09/04/2012,29.48,-0.018484815
05/04/2012,30.03,-0.004319661
04/04/2012,30.16,-0.001987414
03/04/2012,30.22,0.02275868
02/04/2012,29.54,0.014663519
30/03/2012,29.11,-0.002744427
29/03/2012,29.19,-0.001369394
28/03/2012,29.23,-0.016624641
27/03/2012,29.72,0.007768997
26/03/2012,29.49,0.004077478
23/03/2012,29.37,0.010955262
22/03/2012,29.05,0.01876358
21/03/2012,28.51,0
20/03/2012,28.51,0.024859235
19/03/2012,27.81,-0.006094301
16/03/2012,27.98,0
15/03/2012,27.98,-0.008186556
14/03/2012,28.21,0.009259325
13/03/2012,27.95,-0.054311989
12/03/2012,29.51,0.000338926
09/03/2012,29.5,0.028190248
08/03/2012,28.68,0.015460603
07/03/2012,28.24,0.011038033
06/03/2012,27.93,-0.020904216
05/03/2012,28.52,0.014480211
02/03/2012,28.11,-0.01026376
01/03/2012,28.4,0.000352175
29/02/2012,28.39,-0.027789214
28/02/2012,29.19,-0.015973152
27/02/2012,29.66,0.001349528
24/02/2012,29.62,0.016338008
23/02/2012,29.14,-0.006499082
22/02/2012,29.33,0.029057734
21/02/2012,28.49,0.000351062
17/02/2012,28.48,0.036107586
16/02/2012,27.47,0.006940667
15/02/2012,27.28,0.003672424
14/02/2012,27.18,0.005904076
13/02/2012,27.02,0.000740467
10/02/2012,27,-0.015071044
09/02/2012,27.41,0.009899256
08/02/2012,27.14,0.008882368
07/02/2012,26.9,-0.021332181
06/02/2012,27.48,-0.00761287
03/02/2012,27.69,0.046193322
02/02/2012,26.44,0.001892864
01/02/2012,26.39,-0.004159582
31/01/2012,26.5,-0.000377287
30/01/2012,26.51,-0.017944407
27/01/2012,26.99,0.005945763
26/01/2012,26.83,-0.026118829
25/01/2012,27.54,0.03397668
24/01/2012,26.62,0.034782792
23/01/2012,25.71,0.012130847
20/01/2012,25.4,-0.019879821
19/01/2012,25.91,0.031761148
18/01/2012,25.1,0.011621048
17/01/2012,24.81,-0.012815554
13/01/2012,25.13,0.023350497
12/01/2012,24.55,0.025578952
11/01/2012,23.93,-0.206201851
10/01/2012,29.41,0.021654051
09/01/2012,28.78,0.039331908
06/01/2012,27.67,-0.011141175
05/01/2012,27.98,-0.015251227
04/01/2012,28.41,0.023505356
03/01/2012,27.75,0.006870394
30/12/2011,27.56,0.002543144
29/12/2011,27.49,0.009870305
28/12/2011,27.22,-0.016758134
27/12/2011,27.68,0.004707595
23/12/2011,27.55,0.012785562
22/12/2011,27.2,0.005160351
21/12/2011,27.06,-0.000738825
20/12/2011,27.08,0.03532874
19/12/2011,26.14,-0.016692345
16/12/2011,26.58,-0.010479138
15/12/2011,26.86,-0.009264472
14/12/2011,27.11,-0.027648178
13/12/2011,27.87,0.051916683
12/12/2011,26.46,0.004545462
09/12/2011,26.34,0.011838977
08/12/2011,26.03,-0.033248246
07/12/2011,26.91,-0.009247338
06/12/2011,27.16,-0.019687111
05/12/2011,27.7,0.022267757
02/12/2011,27.09,-0.011378357
01/12/2011,27.4,0.015447163
30/11/2011,26.98,0.033160536
29/11/2011,26.1,0.002301497
28/11/2011,26.04,0.033186727
25/11/2011,25.19,-0.002775027
23/11/2011,25.26,-0.016490362
22/11/2011,25.68,-0.016988826
21/11/2011,26.12,0.006144413
18/11/2011,25.96,-0.008438869
17/11/2011,26.18,-0.019667805
16/11/2011,26.7,-0.005602256
15/11/2011,26.85,0.000745157
14/11/2011,26.83,0.000372787
11/11/2011,26.82,0.024534161
10/11/2011,26.17,0.004595948
09/11/2011,26.05,-0.011070928
08/11/2011,26.34,-0.032495856
07/11/2011,27.21,0.018172204
04/11/2011,26.72,-0.001495887
03/11/2011,26.76,0.005245422
02/11/2011,26.62,0.003009784
01/11/2011,26.54,-0.026400492
31/10/2011,27.25,-0.030716055
28/10/2011,28.1,0.007501375
27/10/2011,27.89,0.061364408
26/10/2011,26.23,0.001526135
25/10/2011,26.19,-0.006849342
24/10/2011,26.37,0.050555088
21/10/2011,25.07,0.057463489
20/10/2011,23.67,0.008059429
19/10/2011,23.48,-0.004673898
18/10/2011,23.59,0.02012485
17/10/2011,23.12,-0.030666798
14/10/2011,23.84,-0.002095119
13/10/2011,23.89,-0.010824419
12/10/2011,24.15,0.025583278
11/10/2011,23.54,-0.005084757
10/10/2011,23.66,0.015761775
07/10/2011,23.29,-0.032526627
06/10/2011,24.06,0.023975912
05/10/2011,23.49,0.043504033
04/10/2011,22.49,0.026584129
03/10/2011,21.9,-0.018548372
30/09/2011,22.31,-0.043847445
29/09/2011,23.31,0.008617029
28/09/2011,23.11,-0.031099418
27/09/2011,23.84,-0.014987791
26/09/2011,24.2,0.033189352
23/09/2011,23.41,0.023337273
22/09/2011,22.87,-0.039439316
21/09/2011,23.79,-0.022855763
20/09/2011,24.34,-0.009812017
19/09/2011,24.58,-0.010119495
16/09/2011,24.83,-0.020726131
15/09/2011,25.35,0.008716378
14/09/2011,25.13,0.018879854
13/09/2011,24.66,-0.007675255
12/09/2011,24.85,0.011738649
09/09/2011,24.56,-0.01615544
08/09/2011,24.96,-0.011947573
07/09/2011,25.26,-0.020376881
06/09/2011,25.78,-0.006957894
02/09/2011,25.96,-0.001539646
01/09/2011,26,-0.006899222
31/08/2011,26.18,0.017338134
30/08/2011,25.73,0.010549033
29/08/2011,25.46,0.02747535
26/08/2011,24.77,0.022867473
25/08/2011,24.21,-0.057387861
24/08/2011,25.64,-0.029589094
23/08/2011,26.41,-0.023204634
22/08/2011,27.03,0.040775751
19/08/2011,25.95,-0.002693863
18/08/2011,26.02,-0.036971393
17/08/2011,27,-0.030636969
