Date,Close,NKE
28/11/2012,99.13,0.021618054
27/11/2012,97.01,-0.006677993
26/11/2012,97.66,0.009361727
23/11/2012,96.75,0.011957512
21/11/2012,95.6,-0.000104597
20/11/2012,95.61,-0.007398564
19/11/2012,96.32,0.039494837
16/11/2012,92.59,0.019191517
15/11/2012,90.83,0.002535414
14/11/2012,90.6,-0.009556837
13/11/2012,91.47,-0.008924744
12/11/2012,92.29,-0.000216685
09/11/2012,92.31,0.004886799
08/11/2012,91.86,-0.029920199
07/11/2012,94.65,-0.015515564
06/11/2012,96.13,0.009091447
05/11/2012,95.26,0.00758697
02/11/2012,94.54,-0.008531307
01/11/2012,95.35,0.042527696
31/10/2012,91.38,0.002520135
26/10/2012,91.15,-0.00175381
25/10/2012,91.31,-0.017155687
24/10/2012,92.89,0.000753864
23/10/2012,92.82,-0.017726038
22/10/2012,94.48,-0.020636567
19/10/2012,96.45,-0.01154533
18/10/2012,97.57,0
17/10/2012,97.57,0.00338792
16/10/2012,97.24,0.016904732
15/10/2012,95.61,0.012524502
12/10/2012,94.42,-0.00507079
11/10/2012,94.9,0.007191232
10/10/2012,94.22,-0.002755699
09/10/2012,94.48,-0.005383451
08/10/2012,94.99,-0.002418381
05/10/2012,95.22,-0.007011697
04/10/2012,95.89,0.022036845
03/10/2012,93.8,-0.012185581
02/10/2012,94.95,-0.006299233
01/10/2012,95.55,0.006720597
28/09/2012,94.91,-0.011419117
27/09/2012,96,0.005326662
26/09/2012,95.49,0.004302887
25/09/2012,95.08,-0.00252101
24/09/2012,95.32,-0.012510589
21/09/2012,96.52,-0.002069966
20/09/2012,96.72,-0.009671852
19/09/2012,97.66,-0.000614188
18/09/2012,97.72,-0.002555063
17/09/2012,97.97,0.013668575
14/09/2012,96.64,-0.02614528
13/09/2012,99.2,-0.016397088
12/09/2012,100.84,0.011570047
11/09/2012,99.68,-0.003605051
10/09/2012,100.04,0.007525245
07/09/2012,99.29,-0.001710692
06/09/2012,99.46,0.021442821
05/09/2012,97.35,0.000924927
04/09/2012,97.26,-0.001027644
31/08/2012,97.36,-0.00399775
30/08/2012,97.75,-0.009570425
29/08/2012,98.69,-0.001822232
28/08/2012,98.87,0.024988499
27/08/2012,96.43,-0.00444928
24/08/2012,96.86,0.014664087
23/08/2012,95.45,-0.003346933
22/08/2012,95.77,-0.000834986
21/08/2012,95.85,0.000834986
20/08/2012,95.77,-0.00510338
17/08/2012,96.26,0.015494447
16/08/2012,94.78,0.005925943
15/08/2012,94.22,-0.007296601
14/08/2012,94.91,-0.009855395
13/08/2012,95.85,0.014184635
10/08/2012,94.5,-0.005908437
09/08/2012,95.06,-0.008797711
08/08/2012,95.9,-0.002811477
07/08/2012,96.17,0.006781809
06/08/2012,95.52,0.009995349
03/08/2012,94.57,0.021699318
02/08/2012,92.54,-0.00495851
01/08/2012,93,-0.003756377
31/07/2012,93.35,-0.0264286
30/07/2012,95.85,-0.01223574
27/07/2012,97.03,0.004648529
26/07/2012,96.58,0.032303298
25/07/2012,93.51,0.005899089
24/07/2012,92.96,0.001184005
23/07/2012,92.85,-0.002474051
20/07/2012,93.08,-0.023150657
19/07/2012,95.26,0.006635445
18/07/2012,94.63,0.019959038
17/07/2012,92.76,-0.002799011
16/07/2012,93.02,-0.010161059
13/07/2012,93.97,0.023145444
12/07/2012,91.82,-0.004780539
11/07/2012,92.26,0.010569426
10/07/2012,91.29,0.011125301
09/07/2012,90.28,-0.012110684
06/07/2012,91.38,-0.008933494
05/07/2012,92.2,0.018831299
03/07/2012,90.48,0.018179277
02/07/2012,88.85,0.01211587
29/06/2012,87.78,-0.09874263
28/06/2012,96.89,-0.012512984
27/06/2012,98.11,-0.003459507
26/06/2012,98.45,0.010106768
25/06/2012,97.46,-0.019710076
22/06/2012,99.4,0.007472518
21/06/2012,98.66,-0.025419161
20/06/2012,101.2,-0.003354053
19/06/2012,101.54,0.001379718
18/06/2012,101.4,-0.003445733
15/06/2012,101.75,0.017148658
14/06/2012,100.02,-0.021757187
13/06/2012,102.22,-0.051293294
12/06/2012,107.6,0.001301962
11/06/2012,107.46,-0.010920979
08/06/2012,108.64,0.011851991
07/06/2012,107.36,0.002704847
06/06/2012,107.07,0.014677091
05/06/2012,105.51,0.007706617
04/06/2012,104.7,0.000955566
01/06/2012,104.6,-0.033652955
31/05/2012,108.18,-0.003966978
30/05/2012,108.61,-0.021045736
29/05/2012,110.92,0.019389802
25/05/2012,108.79,0.012114635
24/05/2012,107.48,-0.000372093
23/05/2012,107.52,-0.00861236
22/05/2012,108.45,0.011313177
21/05/2012,107.23,0.016833989
18/05/2012,105.44,0.010487273
17/05/2012,104.34,-0.025174037
16/05/2012,107,-0.002053964
15/05/2012,107.22,-0.00232894
14/05/2012,107.47,-0.007324003
11/05/2012,108.26,0.00648691
10/05/2012,107.56,-0.005470321
09/05/2012,108.15,-0.005348593
08/05/2012,108.73,-0.0244391
07/05/2012,111.42,-0.003494158
04/05/2012,111.81,-0.022900077
03/05/2012,114.4,0.001049502
02/05/2012,114.28,0.026422319
01/05/2012,111.3,-0.005108225
30/04/2012,111.87,0.011055796
27/04/2012,110.64,0.002624555
26/04/2012,110.35,0.012034059
25/04/2012,109.03,0.021133422
24/04/2012,106.75,-0.0277154
23/04/2012,109.75,-0.009250928
20/04/2012,110.77,0.010527368
19/04/2012,109.61,-0.008629749
18/04/2012,110.56,0.006624644
17/04/2012,109.83,0.003922826
16/04/2012,109.4,0.00210459
13/04/2012,109.17,0.004774594
12/04/2012,108.65,0.00368834
11/04/2012,108.25,0.016674039
10/04/2012,106.46,-0.038964174
09/04/2012,110.69,0.002713951
05/04/2012,110.39,0.008186329
04/04/2012,109.49,0.001096592
03/04/2012,109.37,0.003205278
02/04/2012,109.02,0.005334327
30/03/2012,108.44,0.005455652
29/03/2012,107.85,0.005765313
28/03/2012,107.23,-0.006043438
27/03/2012,107.88,-0.006191398
26/03/2012,108.55,0.010464512
23/03/2012,107.42,-0.032693723
22/03/2012,110.99,0.00496772
21/03/2012,110.44,-0.011702357
20/03/2012,111.74,-0.003484168
19/03/2012,112.13,0.008148691
16/03/2012,111.22,0.004415416
15/03/2012,110.73,0.003890879
14/03/2012,110.3,-0.004161772
13/03/2012,110.76,0.011897874
12/03/2012,109.45,-0.004830707
09/03/2012,109.98,0.019093659
08/03/2012,107.9,0.002970115
07/03/2012,107.58,0.00223339
06/03/2012,107.34,-0.01754593
05/03/2012,109.24,0.004587585
02/03/2012,108.74,0.001840943
01/03/2012,108.54,0.005728557
29/02/2012,107.92,0.004550739
28/02/2012,107.43,0.002423114
27/02/2012,107.17,0.008245151
24/02/2012,106.29,0.00141223
23/02/2012,106.14,0.003870303
22/02/2012,105.73,0.007404628
21/02/2012,104.95,-0.016349653
17/02/2012,106.68,0.004886309
16/02/2012,106.16,-0.004136122
15/02/2012,106.6,-0.000281386
14/02/2012,106.63,0.013311502
13/02/2012,105.22,-0.001804112
10/02/2012,105.41,-0.003314868
09/02/2012,105.76,-0.001606123
08/02/2012,105.93,0.016178503
07/02/2012,104.23,0.007414931
06/02/2012,103.46,-0.000386548
03/02/2012,103.5,0.006591726
02/02/2012,102.82,-0.009004272
01/02/2012,103.75,-0.002310582
31/01/2012,103.99,0.005786495
30/01/2012,103.39,0.012457582
27/01/2012,102.11,-0.001859009
26/01/2012,102.3,-0.008856075
25/01/2012,103.21,0.009736227
24/01/2012,102.21,0.006379764
23/01/2012,101.56,-0.001967343
20/01/2012,101.76,0.001770434
19/01/2012,101.58,0.007113249
18/01/2012,100.86,0.016192258
17/01/2012,99.24,0.009517132
13/01/2012,98.3,-0.008105414
12/01/2012,99.1,0.009734411
11/01/2012,98.14,-0.003356903
10/01/2012,98.47,0.001219388
09/01/2012,98.35,0.003667112
06/01/2012,97.99,-0.001733368
05/01/2012,98.16,-0.00061106
04/01/2012,98.22,0.014459566
03/01/2012,96.81,0.004555345
30/12/2011,96.37,-0.011247088
29/12/2011,97.46,0.010624681
28/12/2011,96.43,-0.013800425
27/12/2011,97.77,0.008938263
23/12/2011,96.9,0.021699161
22/12/2011,94.82,-0.016007037
21/12/2011,96.35,0.02863655
20/12/2011,93.63,0.002673655
19/12/2011,93.38,-0.003100778
16/12/2011,93.67,-0.004367517
15/12/2011,94.08,-0.003289651
14/12/2011,94.39,-0.006967934
13/12/2011,95.05,-0.019792313
12/12/2011,96.95,-0.007501448
09/12/2011,97.68,0.025926994
08/12/2011,95.18,-0.007431865
07/12/2011,95.89,-0.003747272
06/12/2011,96.25,-0.003629768
05/12/2011,96.6,0.003629768
02/12/2011,96.25,0.010443959
01/12/2011,95.25,-0.009716422
30/11/2011,96.18,0.013713902
29/11/2011,94.87,-0.000421541
28/11/2011,94.91,0.050013122
25/11/2011,90.28,-0.007174028
23/11/2011,90.93,-0.007668749
22/11/2011,91.63,0.006240099
21/11/2011,91.06,-0.018389072
18/11/2011,92.75,0.009315492
17/11/2011,91.89,-0.01950598
16/11/2011,93.7,-0.023729033
15/11/2011,95.95,0.002086594
14/11/2011,95.75,-0.004168844
11/11/2011,96.15,0.023466116
10/11/2011,93.92,0.016749372
09/11/2011,92.36,-0.032594216
08/11/2011,95.42,0.017123344
07/11/2011,93.8,-0.00616433
04/11/2011,94.38,-0.013680104
03/11/2011,95.68,0.007764177
02/11/2011,94.94,0.011227742
01/11/2011,93.88,-0.025970024
31/10/2011,96.35,-0.004142937
28/10/2011,96.75,0.009554544
27/10/2011,95.83,0.017049455
26/10/2011,94.21,0.004894668
25/10/2011,93.75,-0.013981798
24/10/2011,95.07,0.007602191
21/10/2011,94.35,0.026419062
20/10/2011,91.89,0.006550957
19/10/2011,91.29,-0.002079117
18/10/2011,91.48,0.005041107
17/10/2011,91.02,-0.021197598
14/10/2011,92.97,0.008208276
13/10/2011,92.21,0.004565225
12/10/2011,91.79,0.021361746
11/10/2011,89.85,-0.009636227
10/10/2011,90.72,0.028737931
07/10/2011,88.15,-0.01273759
06/10/2011,89.28,0.016715998
05/10/2011,87.8,0.023858678
04/10/2011,85.73,0.031759987
03/10/2011,83.05,-0.029190492
30/09/2011,85.51,-0.028589843
29/09/2011,87.99,-0.00544034
28/09/2011,88.47,-0.023569927
27/09/2011,90.58,0.014119974
26/09/2011,89.31,0.007530241
23/09/2011,88.64,0.05162586
22/09/2011,84.18,-0.018362098
21/09/2011,85.74,-0.042472137
20/09/2011,89.46,-0.008237829
19/09/2011,90.2,0.004778583
16/09/2011,89.77,0.019459587
15/09/2011,88.04,0.006266756
14/09/2011,87.49,0.019272422
13/09/2011,85.82,0.017158724
12/09/2011,84.36,0.022295062
09/09/2011,82.5,-0.033727799
08/09/2011,85.33,-0.013733922
07/09/2011,86.51,0.032304448
06/09/2011,83.76,-0.003337309
02/09/2011,84.04,-0.029429406
01/09/2011,86.55,-0.001154735
31/08/2011,86.65,0.003236623
30/08/2011,86.37,-0.024814034
29/08/2011,88.54,0.025740711
26/08/2011,86.29,0.02975815
25/08/2011,83.76,-0.02406344
24/08/2011,85.8,0.026095111
23/08/2011,83.59,0.053316483
22/08/2011,79.25,0.008490199
19/08/2011,78.58,-0.01690892
18/08/2011,79.92,-0.032378036
17/08/2011,82.55,-0.008083533
16/08/2011,83.22,-0.022691796
15/08/2011,85.13,0.010509632
12/08/2011,84.24,0.011821739
