Date,Close,NTRS
21/04/2010,54.73,-0.011625926
20/04/2010,55.37,-0.052764128
19/04/2010,58.37,0.016931987
16/04/2010,57.39,-0.021717503
15/04/2010,58.65,-0.005271673
14/04/2010,58.96,-0.001017122
13/04/2010,59.02,0.004244849
12/04/2010,58.77,0.013016111
09/04/2010,58.01,0.003280673
08/04/2010,57.82,0.015863664
07/04/2010,56.91,-0.009443932
06/04/2010,57.45,0.004885719
05/04/2010,57.17,0.009313836
01/04/2010,56.64,0.02466613
31/03/2010,55.26,0.011100105
30/03/2010,54.65,-0.009832563
29/03/2010,55.19,-0.002894882
26/03/2010,55.35,-0.011317825
25/03/2010,55.98,0.014756431
24/03/2010,55.16,-0.011356589
23/03/2010,55.79,0.002872018
22/03/2010,55.63,0.00324091
19/03/2010,55.45,-0.003061135
18/03/2010,55.62,-0.003231021
17/03/2010,55.8,0.01790121
16/03/2010,54.81,0.010085352
15/03/2010,54.26,0.005358971
12/03/2010,53.97,-0.001481207
11/03/2010,54.05,0.000370096
10/03/2010,54.03,-0.014150746
09/03/2010,54.8,-0.001823155
08/03/2010,54.9,0.000182166
05/03/2010,54.89,0.020801486
04/03/2010,53.76,0.005595986
03/03/2010,53.46,0.000935716
02/03/2010,53.41,-0.000561535
01/03/2010,53.44,0.002810833
26/02/2010,53.29,0.003383462
25/02/2010,53.11,-0.008437286
24/02/2010,53.56,0.00186881
23/02/2010,53.46,-0.022015504
22/02/2010,54.65,0.000915332
19/02/2010,54.6,0.039792305
18/02/2010,52.47,0.012079526
17/02/2010,51.84,0.016532517
16/02/2010,50.99,0.01940655
12/02/2010,50.01,-0.006577004
11/02/2010,50.34,-0.00436076
10/02/2010,50.56,0.009539023
09/02/2010,50.08,0.001798741
08/02/2010,49.99,-0.010942117
05/02/2010,50.54,0.01294452
04/02/2010,49.89,-0.03389487
03/02/2010,51.61,-0.0098333
02/02/2010,52.12,-0.000958865
01/02/2010,52.17,0.03213832
29/01/2010,50.52,-0.020958558
28/01/2010,51.59,-0.01729482
27/01/2010,52.49,0.030170534
26/01/2010,50.93,-0.020599251
25/01/2010,51.99,-0.001537575
22/01/2010,52.07,-0.027279585
21/01/2010,53.51,-0.035432803
20/01/2010,55.44,0.055822408
19/01/2010,52.43,0.016926736
15/01/2010,51.55,0.004861458
14/01/2010,51.3,-0.004861458
13/01/2010,51.55,0.011707451
12/01/2010,50.95,-0.001764879
11/01/2010,51.04,-0.026678559
08/01/2010,52.42,0.004397292
07/01/2010,52.19,0.009433124
06/01/2010,51.7,-0.014593193
05/01/2010,52.46,-0.001333461
04/01/2010,52.53,0.002477844
31/12/2009,52.4,-0.003999624
30/12/2009,52.61,0.006483623
29/12/2009,52.27,-0.001338304
28/12/2009,52.34,0.002678402
24/12/2009,52.2,0.005956402
23/12/2009,51.89,0.011825281
22/12/2009,51.28,0.012756527
21/12/2009,50.63,0.01112226
18/12/2009,50.07,0.024462961
17/12/2009,48.86,-0.0022488
16/12/2009,48.97,0.011914685
15/12/2009,48.39,-0.002888983
14/12/2009,48.53,0.008484272
11/12/2009,48.12,0.009605419
10/12/2009,47.66,0.003573309
09/12/2009,47.49,0.004008867
08/12/2009,47.3,-0.016147986
07/12/2009,48.07,-0.012815388
04/12/2009,48.69,-0.001436634
03/12/2009,48.76,-0.025512621
02/12/2009,50.02,0.012877442
01/12/2009,49.38,-0.002225145
30/11/2009,49.49,0.037048897
27/11/2009,47.69,-0.010844736
25/11/2009,48.21,0.002908187
24/11/2009,48.07,-0.001870519
23/11/2009,48.16,0.01928781
20/11/2009,47.24,-0.009061278
19/11/2009,47.67,-0.020965999
18/11/2009,48.68,0.00185052
17/11/2009,48.59,0.014093498
16/11/2009,47.91,-0.002709746
13/11/2009,48.04,-0.02345304
12/11/2009,49.18,-0.048809529
11/11/2009,51.64,0.013451806
10/11/2009,50.95,-0.000588639
09/11/2009,50.98,0.024825026
06/11/2009,49.73,-0.013779549
05/11/2009,50.42,0.012573761
04/11/2009,49.79,0.0030172
03/11/2009,49.64,-0.020537059
02/11/2009,50.67,0.008323473
30/10/2009,50.25,-0.020875118
29/10/2009,51.31,0.02626274
28/10/2009,49.98,-0.032286269
27/10/2009,51.62,-0.006180012
26/10/2009,51.94,-0.022840734
23/10/2009,53.14,-0.014200538
22/10/2009,53.9,-0.004812151
21/10/2009,54.16,-0.058972376
20/10/2009,57.45,-0.014343977
19/10/2009,58.28,0.000514889
16/10/2009,58.25,-0.027932413
15/10/2009,59.9,0.012261848
14/10/2009,59.17,0.000507142
13/10/2009,59.14,-0.018926953
12/10/2009,60.27,-0.00298211
09/10/2009,60.45,0.015672211
08/10/2009,59.51,0.022259011
07/10/2009,58.2,0.006031901
06/10/2009,57.85,0.00572074
05/10/2009,57.52,0.01824612
02/10/2009,56.48,-0.010742377
01/10/2009,57.09,-0.018568863
30/09/2009,58.16,-0.004973855
29/09/2009,58.45,-0.003927265
28/09/2009,58.68,0.01840279
25/09/2009,57.61,-0.009501669
24/09/2009,58.16,-0.00856023
23/09/2009,58.66,-0.00323377
22/09/2009,58.85,0.009046746
21/09/2009,58.32,-0.007005582
18/09/2009,58.73,-0.001021103
17/09/2009,58.79,-0.02037279
16/09/2009,60,0.01308524
15/09/2009,59.22,-0.001518603
14/09/2009,59.31,0.012384584
11/09/2009,58.58,-0.004428554
10/09/2009,58.84,0.000339963
09/09/2009,58.82,0.001361007
08/09/2009,58.74,0.00614756
04/09/2009,58.38,0.017103293
03/09/2009,57.39,0.010157706
02/09/2009,56.81,0.008307604
01/09/2009,56.34,-0.036937997
31/08/2009,58.46,-0.001367522
28/08/2009,58.54,-0.021128142
27/08/2009,59.79,-0.00117008
26/08/2009,59.86,-0.004167715
25/08/2009,60.11,0.013566911
24/08/2009,59.3,-0.017551642
21/08/2009,60.35,-0.012514571
20/08/2009,61.11,0.01966518
19/08/2009,59.92,-0.007647585
18/08/2009,60.38,0.007981419
17/08/2009,59.9,-0.020980368
14/08/2009,61.17,0.002783009
13/08/2009,61,-0.000819336
12/08/2009,61.05,0.003774518
11/08/2009,60.82,-0.009328273
10/08/2009,61.39,-0.005036975
07/08/2009,61.7,0.014365249
06/08/2009,60.82,-0.008676489
05/08/2009,61.35,0.002611394
04/08/2009,61.19,0.013657144
03/08/2009,60.36,0.009153763
31/07/2009,59.81,-0.003838136
30/07/2009,60.04,0.025300726
29/07/2009,58.54,0.012202609
28/07/2009,57.83,-0.005518207
27/07/2009,58.15,0.007768705
24/07/2009,57.7,-0.019904569
23/07/2009,58.86,0.01575375
22/07/2009,57.94,0.006927634
21/07/2009,57.54,-0.006409723
20/07/2009,57.91,0.003113112
17/07/2009,57.73,-0.012394719
16/07/2009,58.45,-0.002563009
15/07/2009,58.6,0.02680662
14/07/2009,57.05,0.004920059
13/07/2009,56.77,0.044299645
10/07/2009,54.31,-0.019510146
09/07/2009,55.38,0.020799874
08/07/2009,54.24,0.01373699
