Date,Close,TSO
07/01/2013,40.22,-0.056080425
04/01/2013,42.54,-0.027589556
03/01/2013,43.73,-0.03747774
02/01/2013,45.4,0.030186753
31/12/2012,44.05,0.029956157
28/12/2012,42.75,-0.017621601
27/12/2012,43.51,0.003914801
26/12/2012,43.34,-0.001153004
24/12/2012,43.39,-0.006890243
21/12/2012,43.69,-0.01521892
20/12/2012,44.36,0.009285538
19/12/2012,43.95,-0.017591793
18/12/2012,44.73,0.000894654
17/12/2012,44.69,0.023317412
14/12/2012,43.66,0.054118121
13/12/2012,41.36,0.033684807
12/12/2012,39.99,-0.021522167
11/12/2012,40.86,-0.000489357
10/12/2012,40.88,0.030549998
07/12/2012,39.65,0.020125504
06/12/2012,38.86,-0.001799718
05/12/2012,38.93,-0.04691692
04/12/2012,40.8,-0.014357224
03/12/2012,41.39,-0.021274855
30/11/2012,42.28,0.016935408
29/11/2012,41.57,-0.00168249
28/11/2012,41.64,0.003367817
27/11/2012,41.5,0.00096432
26/11/2012,41.46,-0.011033933
23/11/2012,41.92,0.018539113
21/11/2012,41.15,0.02634647
20/11/2012,40.08,0.003749536
19/11/2012,39.93,0.047701351
16/11/2012,38.07,-0.00810992
15/11/2012,38.38,0.020000667
14/11/2012,37.62,0.000797766
13/11/2012,37.59,-0.016359204
12/11/2012,38.21,0.016359204
09/11/2012,37.59,0.005869814
08/11/2012,37.37,-0.016454724
07/11/2012,37.99,-0.025725727
06/11/2012,38.98,0.054024465
05/11/2012,36.93,0.040618928
02/11/2012,35.46,-0.020101179
01/11/2012,36.18,-0.041418831
31/10/2012,37.71,-0.016829217
26/10/2012,38.35,0.025618726
25/10/2012,37.38,0.00455826
24/10/2012,37.21,0.021459468
23/10/2012,36.42,-0.045621004
22/10/2012,38.12,-0.001048768
19/10/2012,38.16,-0.010686926
18/10/2012,38.57,-0.001295505
17/10/2012,38.62,0.00103627
16/10/2012,38.58,0.01409577
15/10/2012,38.04,-0.006550528
12/10/2012,38.29,-0.00780441
11/10/2012,38.59,-0.002846424
10/10/2012,38.7,-0.057488534
