Date,Close,LNC
06/04/2011,30.63,0.009842599
05/04/2011,30.33,-0.011473655
04/04/2011,30.68,0.005556478
01/04/2011,30.51,0.015524672
31/03/2011,30.04,-0.015524672
30/03/2011,30.51,0.010543755
29/03/2011,30.19,-0.001985441
28/03/2011,30.25,-0.002311376
25/03/2011,30.32,0.007947062
24/03/2011,30.08,0.013387081
23/03/2011,29.68,-0.003699348
22/03/2011,29.79,-0.016974946
21/03/2011,30.3,0.024725616
18/03/2011,29.56,0.014653525
17/03/2011,29.13,0
16/03/2011,29.13,-0.02842831
15/03/2011,29.97,0.000333723
14/03/2011,29.96,-0.01062427
11/03/2011,30.28,0.01129205
10/03/2011,29.94,-0.028319311
09/03/2011,30.8,-0.010014621
08/03/2011,31.11,0.020786718
07/03/2011,30.47,-0.014660631
04/03/2011,30.92,-0.00161577
03/03/2011,30.97,0.039853784
02/03/2011,29.76,-0.029141135
01/03/2011,30.64,-0.034641052
28/02/2011,31.72,0.004423388
25/02/2011,31.58,0.021444253
24/02/2011,30.91,0.008773411
23/02/2011,30.64,-0.005208345
22/02/2011,30.8,-0.040094457
18/02/2011,32.06,-0.013323202
17/02/2011,32.49,0.006794344
16/02/2011,32.27,0.019715863
15/02/2011,31.64,0.005069719
14/02/2011,31.48,-0.008540302
11/02/2011,31.75,0.022293917
10/02/2011,31.05,0.00064433
09/02/2011,31.03,0.001289907
08/02/2011,30.99,-0.000967586
07/02/2011,31.02,0.003875974
04/02/2011,30.9,0.030893025
03/02/2011,29.96,0.010063822
02/02/2011,29.66,-0.022008224
01/02/2011,30.32,0.050044248
31/01/2011,28.84,-0.007943402
28/01/2011,29.07,-0.032823112
27/01/2011,30.04,0.021875346
26/01/2011,29.39,0.007856573
25/01/2011,29.16,0.005502077
24/01/2011,29,-0.000344768
21/01/2011,29.01,0.005877286
20/01/2011,28.84,0.005214682
19/01/2011,28.69,-0.023084574
18/01/2011,29.36,0.003070103
14/01/2011,29.27,0.008922503
13/01/2011,29.01,-0.018104679
12/01/2011,29.54,0.009865703
11/01/2011,29.25,0.002053389
10/01/2011,29.19,-0.002053389
07/01/2011,29.25,0.001026167
06/01/2011,29.22,-0.016630283
05/01/2011,29.71,0.004723356
04/01/2011,29.57,0.009855645
03/01/2011,29.28,0.051509021
31/12/2010,27.81,0.011209664
30/12/2010,27.5,-0.009410131
29/12/2010,27.76,-0.005747142
28/12/2010,27.92,-0.013871821
27/12/2010,28.31,0.000353294
23/12/2010,28.3,-0.021671593
22/12/2010,28.92,0.00589563
21/12/2010,28.75,0.0221567
20/12/2010,28.12,-0.010963859
17/12/2010,28.43,0.013456294
16/12/2010,28.05,-0.001425009
15/12/2010,28.09,0.003209131
14/12/2010,28,0.010411151
13/12/2010,27.71,-0.015398693
10/12/2010,28.14,0.011436865
09/12/2010,27.82,0.021068705
08/12/2010,27.24,0.072302306
07/12/2010,25.34,0.010712263
06/12/2010,25.07,-0.005568829
03/12/2010,25.21,0.0035764
02/12/2010,25.12,0.024175231
01/12/2010,24.52,0.026447823
30/11/2010,23.88,0.010524197
