Date,Close,CHK
21/09/2012,19.36,-0.007205384
20/09/2012,19.5,-0.009188426
19/09/2012,19.68,-0.014628256
18/09/2012,19.97,-0.009965205
17/09/2012,20.17,-0.017203668
14/09/2012,20.52,0.030680289
13/09/2012,19.9,0.000502639
12/09/2012,19.89,-0.010502722
11/09/2012,20.1,0.026722034
10/09/2012,19.57,-0.038591609
07/09/2012,20.34,0.031970755
06/09/2012,19.7,0.008154989
05/09/2012,19.54,0.018074337
04/09/2012,19.19,-0.008303109
31/08/2012,19.35,0.01615039
30/08/2012,19.04,-0.024897552
29/08/2012,19.52,0.007714104
28/08/2012,19.37,0.003620382
27/08/2012,19.3,-0.004652373
24/08/2012,19.39,0.004652373
23/08/2012,19.3,-0.031117022
22/08/2012,19.91,0.009081798
21/08/2012,19.73,0.016867254
20/08/2012,19.4,0.01349268
17/08/2012,19.14,0.005763705
16/08/2012,19.03,0.001051525
15/08/2012,19.01,-0.01046582
14/08/2012,19.21,0.007839079
13/08/2012,19.06,-0.032010993
10/08/2012,19.68,-0.031510484
09/08/2012,20.31,0.020393644
08/08/2012,19.9,0.026994254
07/08/2012,19.37,0.090160838
06/08/2012,17.7,-0.010677258
03/08/2012,17.89,-0.00223339
02/08/2012,17.93,-0.04044267
01/08/2012,18.67,-0.008002177
31/07/2012,18.82,0.00639661
30/07/2012,18.7,0.012917295
27/07/2012,18.46,0.016935668
26/07/2012,18.15,0.049120797
25/07/2012,17.28,0.026981109
24/07/2012,16.82,-0.036197764
23/07/2012,17.44,0.013857035
20/07/2012,17.2,-0.060898182
19/07/2012,18.28,-0.049102713
18/07/2012,19.2,-0.002081166
17/07/2012,19.24,0.003123376
16/07/2012,19.18,0.003656311
13/07/2012,19.11,0.023829563
12/07/2012,18.66,-0.022258471
11/07/2012,19.08,0.020652045
10/07/2012,18.69,-0.066743152
09/07/2012,19.98,-0.002998503
06/07/2012,20.04,0.020161973
05/07/2012,19.64,0.014359221
03/07/2012,19.36,0.033082565
02/07/2012,18.73,0.006964936
29/06/2012,18.6,0.045087351
28/06/2012,17.78,-0.008401058
27/06/2012,17.93,0.050325084
26/06/2012,17.05,0.001173709
25/06/2012,17.03,-0.088722576
22/06/2012,18.61,0.02668277
21/06/2012,18.12,-0.049525729
20/06/2012,19.04,0.017483889
19/06/2012,18.71,0.057189854
18/06/2012,17.67,-0.024043652
15/06/2012,18.1,0.043472835
14/06/2012,17.33,0.023351908
13/06/2012,16.93,-0.031397928
12/06/2012,17.47,-0.007981798
11/06/2012,17.61,-0.041707463
08/06/2012,18.36,0.028170877
07/06/2012,17.85,-0.019967386
06/06/2012,18.21,0.06875755
05/06/2012,17,0.028641576
04/06/2012,16.52,0.058583728
01/06/2012,15.58,-0.081325581
31/05/2012,16.9,0.027596232
30/05/2012,16.44,0.005489492
29/05/2012,16.35,0.033585246
25/05/2012,15.81,0.014654611
24/05/2012,15.58,0.031955768
23/05/2012,15.09,0.011329678
22/05/2012,14.92,0.000670466
21/05/2012,14.91,0.037585565
18/05/2012,14.36,0.058060016
17/05/2012,13.55,-0.035523851
16/05/2012,14.04,-0.042529937
15/05/2012,14.65,-0.057689179
14/05/2012,15.52,0.046826886
11/05/2012,14.81,-0.148443288
10/05/2012,17.18,-0.017311454
09/05/2012,17.48,0.031970174
08/05/2012,16.93,-0.011744116
07/05/2012,17.13,-0.015064016
04/05/2012,17.39,0.011567509
03/05/2012,17.19,0.026526754
02/05/2012,16.74,-0.157728501
01/05/2012,19.6,0.061007348
30/04/2012,18.44,0.039828273
27/04/2012,17.72,0.009070357
26/04/2012,17.56,-0.031944437
25/04/2012,18.13,0.020056383
24/04/2012,17.77,-0.012860116
23/04/2012,18,0.031605339
20/04/2012,17.44,-0.031605339
19/04/2012,18,-0.00332779
18/04/2012,18.06,-0.05703536
17/04/2012,19.12,-0.003654402
16/04/2012,19.19,-0.038839833
13/04/2012,19.95,-0.03497032
12/04/2012,20.66,0.028475169
11/04/2012,20.08,-0.029926197
10/04/2012,20.69,-0.03700612
09/04/2012,21.47,-0.031180885
05/04/2012,22.15,-0.003605231
04/04/2012,22.23,-0.021802866
03/04/2012,22.72,-0.025636859
02/04/2012,23.31,0.006024115
30/03/2012,23.17,-0.001724882
29/03/2012,23.21,-0.001721912
28/03/2012,23.25,-0.041699029
27/03/2012,24.24,0.00123839
26/03/2012,24.21,-0.018416727
23/03/2012,24.66,0.009370612
22/03/2012,24.43,-0.030635205
21/03/2012,25.19,-0.015363706
20/03/2012,25.58,0.004702203
19/03/2012,25.46,0.015835644
16/03/2012,25.06,0.025051815
15/03/2012,24.44,0.008216973
14/03/2012,24.24,-0.018799082
13/03/2012,24.7,0.020037473
12/03/2012,24.21,-0.013946083
09/03/2012,24.55,-0.00122125
08/03/2012,24.58,0.020551484
07/03/2012,24.08,0.021831262
06/03/2012,23.56,-0.028041176
05/03/2012,24.23,-0.004118622
02/03/2012,24.33,-0.024361741
01/03/2012,24.93,-0.002803927
29/02/2012,25,-0.001998003
28/02/2012,25.05,-0.002392346
27/02/2012,25.11,-0.01344957
24/02/2012,25.45,0.018640238
23/02/2012,24.98,0.038772455
22/02/2012,24.03,-0.024256071
21/02/2012,24.62,-0.003648899
17/02/2012,24.71,0.038783739
16/02/2012,23.77,0.032060878
15/02/2012,23.02,0.013558047
14/02/2012,22.71,0.002204101
13/02/2012,22.66,0.023667102
10/02/2012,22.13,-0.00944464
09/02/2012,22.34,0.010348799
08/02/2012,22.11,-0.003160987
07/02/2012,22.18,-0.02096887
06/02/2012,22.65,0.015124843
03/02/2012,22.31,0.008552832
02/02/2012,22.12,0.053389332
01/02/2012,20.97,-0.007600987
31/01/2012,21.13,-0.026157493
30/01/2012,21.69,-0.016461277
27/01/2012,22.05,0.006825965
26/01/2012,21.9,-0.065394319
25/01/2012,23.38,0.03881019
24/01/2012,22.49,0.009381351
23/01/2012,22.28,0.061073556
20/01/2012,20.96,0.01344881
19/01/2012,20.68,-0.036557596
18/01/2012,21.45,0.030291005
17/01/2012,20.81,-0.028424462
13/01/2012,21.41,-0.034881921
12/01/2012,22.17,-0.018324535
11/01/2012,22.58,-0.030530064
10/01/2012,23.28,-0.011955736
09/01/2012,23.56,-0.017669791
06/01/2012,23.98,0.015126339
05/01/2012,23.62,-0.010109606
04/01/2012,23.86,0.010956705
03/01/2012,23.6,0.057108565
30/12/2011,22.29,-0.01954749
29/12/2011,22.73,0.003084382
28/12/2011,22.66,-0.037249867
27/12/2011,23.52,-0.008888947
23/12/2011,23.73,0.008888947
22/12/2011,23.52,0.022791784
21/12/2011,22.99,0.007421994
20/12/2011,22.82,0.033871331
19/12/2011,22.06,-0.040858259
16/12/2011,22.98,0.008741314
15/12/2011,22.78,0.009261367
14/12/2011,22.57,-0.037395662
13/12/2011,23.43,-0.012301322
12/12/2011,23.72,-0.038863924
09/12/2011,24.66,0.017590963
08/12/2011,24.23,-0.052262696
07/12/2011,25.53,-0.005858248
06/12/2011,25.68,0.020854582
05/12/2011,25.15,-0.011464842
02/12/2011,25.44,0.005518343
01/12/2011,25.3,-0.001579779
30/11/2011,25.34,0.063539284
29/11/2011,23.78,0.017819733
28/11/2011,23.36,0.04107174
25/11/2011,22.42,-0.012851938
23/11/2011,22.71,-0.040980502
22/11/2011,23.66,-0.017180393
21/11/2011,24.07,-0.010743905
18/11/2011,24.33,-0.015902476
17/11/2011,24.72,-0.029495961
16/11/2011,25.46,-0.000392696
15/11/2011,25.47,-0.007821706
14/11/2011,25.67,-0.029933163
11/11/2011,26.45,0.035010308
10/11/2011,25.54,-0.001173939
09/11/2011,25.57,-0.057744867
08/11/2011,27.09,0.009271344
07/11/2011,26.84,-0.008532792
04/11/2011,27.07,-0.069903674
03/11/2011,29.03,0.035768189
