Date,Close,THC
19/12/2011,4.42,0
16/12/2011,4.42,-0.011248713
15/12/2011,4.47,0.015783868
14/12/2011,4.4,0.016036999
13/12/2011,4.33,-0.034055504
12/12/2011,4.48,0.00671895
09/12/2011,4.45,0.00224972
08/12/2011,4.44,-0.024472857
07/12/2011,4.55,-0.028170877
06/12/2011,4.68,-0.004264399
05/12/2011,4.7,0.117251262
02/12/2011,4.18,-0.112986863
01/12/2011,4.68,0.00643089
30/11/2011,4.65,0.064395162
29/11/2011,4.36,0
28/11/2011,4.36,0.044556022
25/11/2011,4.17,0.012062872
23/11/2011,4.12,-0.038099846
22/11/2011,4.28,-0.006984895
21/11/2011,4.31,-0.043139493
18/11/2011,4.5,-0.008849615
17/11/2011,4.54,-0.061919456
16/11/2011,4.83,-0.04849435
15/11/2011,5.07,-0.011764842
14/11/2011,5.13,-0.011628038
11/11/2011,5.19,0.025367214
10/11/2011,5.06,0.00793655
09/11/2011,5.02,-0.027506646
08/11/2011,5.16,0.039530839
07/11/2011,4.96,0.020367303
04/11/2011,4.86,-0.032391496
03/11/2011,5.02,0.012024193
02/11/2011,4.96,0.039059436
01/11/2011,4.77,0.008421102
31/10/2011,4.73,-0.069415615
28/10/2011,5.07,-0.011764842
27/10/2011,5.13,-0.009699397
26/10/2011,5.18,0.017527226
25/10/2011,5.09,0.013847897
24/10/2011,5.02,0.030335997
21/10/2011,4.87,0.041934865
20/10/2011,4.67,0.057284382
19/10/2011,4.41,-0.013513719
18/10/2011,4.47,0.027212564
17/10/2011,4.35,-0.047146778
14/10/2011,4.56,0.031182927
13/10/2011,4.42,-0.033373509
12/10/2011,4.57,0.017660503
11/10/2011,4.49,0.017978012
10/10/2011,4.41,0.013698844
07/10/2011,4.35,0.011560822
06/10/2011,4.3,0.072320662
05/10/2011,4,0.051293294
04/10/2011,3.8,0.056848864
03/10/2011,3.59,-0.135270826
30/09/2011,4.11,-0.033495954
29/09/2011,4.25,0.053152607
28/09/2011,4.03,-0.062520357
27/09/2011,4.29,0.002333723
26/09/2011,4.28,0.021252276
23/09/2011,4.19,0.0095924
22/09/2011,4.15,-0.028505493
21/09/2011,4.27,-0.043534939
20/09/2011,4.46,-0.033079091
19/09/2011,4.61,-0.038302554
16/09/2011,4.79,0.004184107
15/09/2011,4.77,0.060493603
14/09/2011,4.49,-0.028542003
13/09/2011,4.62,0.021882711
12/09/2011,4.52,-0.10491794
09/09/2011,5.02,-0.035228692
08/09/2011,5.2,-0.04143719
07/09/2011,5.42,0.068729332
06/09/2011,5.06,0.005946499
02/09/2011,5.03,-0.037077418
01/09/2011,5.22,-0.011428696
31/08/2011,5.28,-0.015037877
30/08/2011,5.36,-0.003724399
29/08/2011,5.38,0.047582715
26/08/2011,5.13,0.007827829
25/08/2011,5.09,-0.007827829
24/08/2011,5.13,0.064408575
23/08/2011,4.81,0.040302379
22/08/2011,4.62,-0.006472515
19/08/2011,4.65,-0.019169916
18/08/2011,4.74,-0.075162269
17/08/2011,5.11,0.003921574
16/08/2011,5.09,0.003937013
15/08/2011,5.07,0.023953241
12/08/2011,4.95,0.004048589
11/08/2011,4.93,0.089041835
10/08/2011,4.51,-0.058143393
09/08/2011,4.78,0.031883678
08/08/2011,4.63,-0.066830708
05/08/2011,4.95,0.006079046
04/08/2011,4.92,-0.053425167
03/08/2011,5.19,0.017493157
02/08/2011,5.1,-0.064538521
01/08/2011,5.44,-0.021819047
29/07/2011,5.56,-0.024868067
