Date,Close,ACN
01/04/2013,75.85,-0.00158082
28/03/2013,75.97,0.014451693
27/03/2013,74.88,0.004550938
26/03/2013,74.54,0.015275728
25/03/2013,73.41,-0.006381989
22/03/2013,73.88,-0.005668796
21/03/2013,74.3,-0.029049062
20/03/2013,76.49,0.004061052
19/03/2013,76.18,-0.008235879
18/03/2013,76.81,0.002737763
15/03/2013,76.6,-0.02143954
14/03/2013,78.26,0.004225629
13/03/2013,77.93,-0.001154216
12/03/2013,78.02,-0.003582399
11/03/2013,78.3,-0.000638366
08/03/2013,78.35,0.010005214
07/03/2013,77.57,0.002064783
06/03/2013,77.41,0.00635005
05/03/2013,76.92,0.022082916
04/03/2013,75.24,0.005597776
01/03/2013,74.82,0.006167066
28/02/2013,74.36,-0.000672179
27/02/2013,74.41,0.007825188
26/02/2013,73.83,-0.001082984
25/02/2013,73.91,-0.011969748
22/02/2013,74.8,0.012781876
21/02/2013,73.85,-0.015452105
20/02/2013,75,-0.005319161
19/02/2013,75.4,0.016582354
15/02/2013,74.16,0.013986242
14/02/2013,73.13,-0.00586272
13/02/2013,73.56,0.002586267
12/02/2013,73.37,0.004097247
11/02/2013,73.07,-0.003279139
08/02/2013,73.31,0.00492275
07/02/2013,72.95,0.007291771
06/02/2013,72.42,-0.012896324
05/02/2013,73.36,0.007388185
04/02/2013,72.82,-0.013368089
01/02/2013,73.8,0.026221559
31/01/2013,71.89,-0.006240054
30/01/2013,72.34,0.008886479
29/01/2013,71.7,-0.005563297
28/01/2013,72.1,-0.001524496
25/01/2013,72.21,0.012121361
24/01/2013,71.34,0.001262361
23/01/2013,71.25,0.011149646
22/01/2013,70.46,0.004979736
18/01/2013,70.11,0.00314286
17/01/2013,69.89,0
16/01/2013,69.89,-0.005137731
15/01/2013,70.25,0.005567069
14/01/2013,69.86,-0.000286246
11/01/2013,69.88,0.010212243
10/01/2013,69.17,-0.008780193
09/01/2013,69.78,0.00704684
08/01/2013,69.29,0.005789566
07/01/2013,68.89,-0.004345314
04/01/2013,69.19,0.00550726
03/01/2013,68.81,-0.003626609
02/01/2013,69.06,0.037773744
31/12/2012,66.5,0.012712036
28/12/2012,65.66,-0.00849262
27/12/2012,66.22,-0.001056524
26/12/2012,66.29,-0.00975764
24/12/2012,66.94,-0.007145014
21/12/2012,67.42,-0.023454608
20/12/2012,69.02,-0.019796945
19/12/2012,70.4,-0.010175328
18/12/2012,71.12,-0.002948405
17/12/2012,71.33,0.015826245
14/12/2012,70.21,0.009301062
13/12/2012,69.56,-0.013564854
12/12/2012,70.51,-0.004528096
11/12/2012,70.83,0.018812013
10/12/2012,69.51,0.000431686
07/12/2012,69.48,-0.004595068
06/12/2012,69.8,0.002869442
05/12/2012,69.6,0.014326271
04/12/2012,68.61,0.011433722
03/12/2012,67.83,-0.001325967
30/11/2012,67.92,-0.006311021
29/11/2012,68.35,0.004839784
28/11/2012,68.02,0.009898877
27/11/2012,67.35,-0.004740047
26/11/2012,67.67,-0.007508316
23/11/2012,68.18,0.009135175
21/11/2012,67.56,0.013861165
20/11/2012,66.63,-0.006432814
19/11/2012,67.06,0.013058347
16/11/2012,66.19,0.024469794
15/11/2012,64.59,-0.007096605
14/11/2012,65.05,-0.018731988
13/11/2012,66.28,-0.005416805
12/11/2012,66.64,0.012533195
09/11/2012,65.81,-0.002125077
08/11/2012,65.95,-0.010258047
07/11/2012,66.63,-0.030739822
06/11/2012,68.71,0.012153309
05/11/2012,67.88,-0.000441859
02/11/2012,67.91,-0.013456397
01/11/2012,68.83,0.020846322
31/10/2012,67.41,0.004460311
26/10/2012,67.11,0.006727991
25/10/2012,66.66,0.005113562
24/10/2012,66.32,-0.009603915
23/10/2012,66.96,-0.012909149
22/10/2012,67.83,0.001180115
19/10/2012,67.75,-0.016831718
18/10/2012,68.9,-0.012261243
17/10/2012,69.75,-0.014235116
16/10/2012,70.75,0.008231667
15/10/2012,70.17,0.010745859
12/10/2012,69.42,0
11/10/2012,69.42,-0.001870908
10/10/2012,69.55,-0.012147345
09/10/2012,70.4,-0.009049836
08/10/2012,71.04,0.004231915
05/10/2012,70.74,-0.00914662
04/10/2012,71.39,0.012828822
03/10/2012,70.48,0.003268673
02/10/2012,70.25,0.004279607
01/10/2012,69.95,-0.001143021
28/09/2012,70.03,0.06870732
27/09/2012,65.38,0.015879467
26/09/2012,64.35,-0.008664761
25/09/2012,64.91,-0.013314146
24/09/2012,65.78,0.008089795
21/09/2012,65.25,0.000919963
20/09/2012,65.19,-0.003827609
19/09/2012,65.44,0.002294807
18/09/2012,65.29,-0.004736811
17/09/2012,65.6,-0.004410989
14/09/2012,65.89,0.001366847
13/09/2012,65.8,0.009620598
12/09/2012,65.17,0.004459831
11/09/2012,64.88,0.013343875
10/09/2012,64.02,-0.006539024
07/09/2012,64.44,0.008884791
06/09/2012,63.87,0.040254596
05/09/2012,61.35,0.004738184
04/09/2012,61.06,-0.008804883
31/08/2012,61.6,0.007332008
30/08/2012,61.15,0.002128183
29/08/2012,61.02,0.00278986
28/08/2012,60.85,-0.00655203
27/08/2012,61.25,-0.004561011
24/08/2012,61.53,0.011441772
23/08/2012,60.83,-0.011766764
22/08/2012,61.55,0.009303911
21/08/2012,60.98,0.00312064
20/08/2012,60.79,-0.004759179
17/08/2012,61.08,-0.001145382
16/08/2012,61.15,0.00541118
15/08/2012,60.82,-0.007208419
14/08/2012,61.26,-0.003910073
13/08/2012,61.5,-0.00211159
10/08/2012,61.63,0.001298912
09/08/2012,61.55,-0.004053512
08/08/2012,61.8,0.013849509
07/08/2012,60.95,0.005264036
06/08/2012,60.63,0.004628873
03/08/2012,60.35,0.022115158
02/08/2012,59.03,-0.019626563
01/08/2012,60.2,-0.001659751
31/07/2012,60.3,-0.001325821
30/07/2012,60.38,-0.000827746
27/07/2012,60.43,0.020395224
26/07/2012,59.21,0.026353339
25/07/2012,57.67,0.006960181
24/07/2012,57.27,-0.008346423
23/07/2012,57.75,-0.021414095
20/07/2012,59,-0.005914677
19/07/2012,59.35,0.006932144
18/07/2012,58.94,0.010917884
17/07/2012,58.3,0.004297385
16/07/2012,58.05,-0.00017225
13/07/2012,58.06,0.013700032
12/07/2012,57.27,0.002447554
11/07/2012,57.13,0.002629044
10/07/2012,56.98,-0.014461442
09/07/2012,57.81,-0.010838816
06/07/2012,58.44,-0.030833881
05/07/2012,60.27,-0.013513719
03/07/2012,61.09,0.009870125
02/07/2012,60.49,0.006634624
29/06/2012,60.09,0.059304558
28/06/2012,56.63,0.013511317
27/06/2012,55.87,-0.010327727
26/06/2012,56.45,0
25/06/2012,56.45,-0.019472591
22/06/2012,57.56,0.015759388
21/06/2012,56.66,-0.05041928
20/06/2012,59.59,-0.004019433
19/06/2012,59.83,0.016005733
18/06/2012,58.88,-0.003390983
15/06/2012,59.08,0.02121188
14/06/2012,57.84,0.015858135
13/06/2012,56.93,-0.007350401
12/06/2012,57.35,0.002094607
11/06/2012,57.23,-0.022461207
08/06/2012,58.53,-0.0056223
07/06/2012,58.86,0.007503446
06/06/2012,58.42,0.029178868
05/06/2012,56.74,0.010987174
04/06/2012,56.12,0.015081076
01/06/2012,55.28,-0.032392937
31/05/2012,57.1,-0.010799617
30/05/2012,57.72,-0.011883374
29/05/2012,58.41,0.016746183
25/05/2012,57.44,-0.009529657
24/05/2012,57.99,-0.015740274
23/05/2012,58.91,-0.000339443
22/05/2012,58.93,-0.002372882
21/05/2012,59.07,0.024332935
18/05/2012,57.65,-0.012754396
17/05/2012,58.39,-0.012424634
16/05/2012,59.12,0.003218978
15/05/2012,58.93,0.00203839
14/05/2012,58.81,0.003406578
11/05/2012,58.61,-0.001534396
10/05/2012,58.7,-0.008819596
09/05/2012,59.22,-0.002024292
08/05/2012,59.34,-0.014720908
07/05/2012,60.22,-0.038920487
04/05/2012,62.61,-0.025233952
03/05/2012,64.21,-0.014226311
02/05/2012,65.13,0.001998003
01/05/2012,65,0.000769527
30/04/2012,64.95,-0.001077172
27/04/2012,65.02,0.010513393
26/04/2012,64.34,0.004361378
25/04/2012,64.06,0.01954665
24/04/2012,62.82,-0.003337309
23/04/2012,63.03,-0.005853058
20/04/2012,63.4,0.005535799
19/04/2012,63.05,-0.008056279
18/04/2012,63.56,-0.009707294
17/04/2012,64.18,0.03649461
16/04/2012,61.88,-0.010769211
13/04/2012,62.55,-0.024946036
12/04/2012,64.13,0.007984387
11/04/2012,63.62,0.007415038
10/04/2012,63.15,-0.00929946
09/04/2012,63.74,-0.016338961
05/04/2012,64.79,0.005416712
04/04/2012,64.44,-0.007883185
03/04/2012,64.95,-0.008279716
02/04/2012,65.49,0.015232235
30/03/2012,64.5,0
29/03/2012,64.5,0
28/03/2012,64.5,-0.014774045
27/03/2012,65.46,-0.006547416
26/03/2012,65.89,0.015447275
23/03/2012,64.88,0.021184593
