Date,Close,PFE
19/03/2013,27.99,-0.001784759
18/03/2013,28.04,0.000713521
15/03/2013,28.02,-0.003206844
14/03/2013,28.11,0.003206844
13/03/2013,28.02,0.002859187
12/03/2013,27.94,-0.011034104
11/03/2013,28.25,0.002126152
08/03/2013,28.19,-0.002833867
07/03/2013,28.27,0.005320105
06/03/2013,28.12,0.001779677
05/03/2013,28.07,0.013630053
04/03/2013,27.69,0.010893354
01/03/2013,27.39,0.00073046
28/02/2013,27.37,-0.001460387
27/02/2013,27.41,0.01396055
26/02/2013,27.03,0.007054048
25/02/2013,26.84,-0.019919508
22/02/2013,27.38,-0.00109509
21/02/2013,27.41,-0.005820315
20/02/2013,27.57,-0.005065134
19/02/2013,27.71,0.015273024
15/02/2013,27.29,0.008463712
14/02/2013,27.06,0.002219757
13/02/2013,27,0.000370439
12/02/2013,26.99,-0.005542227
11/02/2013,27.14,0.009626139
08/02/2013,26.88,-0.00297177
07/02/2013,26.96,-0.013264749
06/02/2013,27.32,-0.00693054
05/02/2013,27.51,0.012436151
04/02/2013,27.17,-0.016788715
01/02/2013,27.63,0.012748306
31/01/2013,27.28,-0.008395742
30/01/2013,27.51,-0.006882838
29/01/2013,27.7,0.031539101
28/01/2013,26.84,-0.005943554
25/01/2013,27,0.005571045
24/01/2013,26.85,0.00747667
23/01/2013,26.65,-0.00112507
22/01/2013,26.68,0.005261192
18/01/2013,26.54,-0.010867636
17/01/2013,26.83,0.008233579
16/01/2013,26.61,-0.000375728
15/01/2013,26.62,-0.004497759
14/01/2013,26.74,0.008261406
11/01/2013,26.52,-0.00900907
10/01/2013,26.76,0.010896219
09/01/2013,26.47,0.017146543
08/01/2013,26.02,0.001538462
07/01/2013,25.98,0.000770119
04/01/2013,25.96,0.004246291
03/01/2013,25.85,-0.002318394
02/01/2013,25.91,0.032558279
31/12/2012,25.08,0.007604599
28/12/2012,24.89,-0.009994087
27/12/2012,25.14,-0.003969835
26/12/2012,25.24,0.006359322
24/12/2012,25.08,0
21/12/2012,25.08,-0.013858864
20/12/2012,25.43,0.003150849
19/12/2012,25.35,-0.011374902
18/12/2012,25.64,0.010980502
17/12/2012,25.36,0.007123101
14/12/2012,25.18,-0.005939435
13/12/2012,25.33,-0.007081068
12/12/2012,25.51,-0.0050831
11/12/2012,25.64,0.009010835
10/12/2012,25.41,-0.005885832
07/12/2012,25.56,-0.001954271
06/12/2012,25.61,-0.001170732
05/12/2012,25.64,0.018500823
04/12/2012,25.17,0.003183449
03/12/2012,25.09,0.002793855
30/11/2012,25.02,0.006817752
29/11/2012,24.85,0.007269822
28/11/2012,24.67,0.017171313
27/11/2012,24.25,-0.009848254
26/11/2012,24.49,-0.001631987
23/11/2012,24.53,0.007365009
21/11/2012,24.35,0.002878883
20/11/2012,24.28,0.005782751
19/11/2012,24.14,0.011666799
16/11/2012,23.86,0.008417558
15/11/2012,23.66,-0.006319802
14/11/2012,23.81,-0.010029336
13/11/2012,24.05,-0.002491696
12/11/2012,24.11,-0.002485503
09/11/2012,24.17,0.000413822
08/11/2012,24.16,-0.000413822
07/11/2012,24.17,-0.022095825
06/11/2012,24.71,0.005274916
05/11/2012,24.58,0.00122125
02/11/2012,24.55,0
01/11/2012,24.55,-0.012950404
31/10/2012,24.87,-0.022267322
26/10/2012,25.43,-0.007053321
25/10/2012,25.61,0.011783326
24/10/2012,25.31,0.004752484
23/10/2012,25.19,-0.016145261
22/10/2012,25.6,-0.00623055
19/10/2012,25.76,-0.010810916
18/10/2012,26.04,0.007710138
17/10/2012,25.84,0.001549187
16/10/2012,25.8,0.008954703
15/10/2012,25.57,0.017755448
12/10/2012,25.12,0
11/10/2012,25.12,-0.00159109
10/10/2012,25.16,-0.005944143
09/10/2012,25.31,-0.003549599
08/10/2012,25.4,-0.004713284
05/10/2012,25.52,0.006683728
04/10/2012,25.35,0.001184133
03/10/2012,25.32,0.007930256
02/10/2012,25.12,0.003189795
01/10/2012,25.04,0.007616794
28/09/2012,24.85,-0.004416791
27/09/2012,24.96,0.005221944
26/09/2012,24.83,-0.000402658
25/09/2012,24.84,0.003629768
24/09/2012,24.75,0.009336378
21/09/2012,24.52,0.004496227
20/09/2012,24.41,0.010294511
19/09/2012,24.16,0.006227963
18/09/2012,24.01,-0.000416406
17/09/2012,24.02,0.009201236
14/09/2012,23.8,-0.018731037
13/09/2012,24.25,0.007450366
12/09/2012,24.07,-0.004145943
11/09/2012,24.17,0.002900354
10/09/2012,24.1,-0.005792321
07/09/2012,24.24,-0.004116926
06/09/2012,24.34,0.017406158
05/09/2012,23.92,0.005870038
04/09/2012,23.78,-0.003358525
31/08/2012,23.86,0.000838574
30/08/2012,23.84,-0.005020931
29/08/2012,23.96,0.004601556
28/08/2012,23.85,-0.001675744
27/08/2012,23.89,-0.005010449
24/08/2012,24.01,0.011309021
23/08/2012,23.74,0.001686341
22/08/2012,23.7,0.00042203
21/08/2012,23.69,-0.009243763
20/08/2012,23.91,0.005031457
17/08/2012,23.79,-0.009621492
16/08/2012,24.02,-0.000832293
15/08/2012,24.04,0.00249896
14/08/2012,23.98,0.010901575
13/08/2012,23.72,-0.009232126
10/08/2012,23.94,0.00292826
09/08/2012,23.87,0.001677149
08/08/2012,23.83,0.003783902
07/08/2012,23.74,-0.021667514
06/08/2012,24.26,-0.000824063
03/08/2012,24.28,0.014938037
02/08/2012,23.92,-0.000835771
01/08/2012,23.94,-0.00416841
31/07/2012,24.04,0.01382221
30/07/2012,23.71,-0.005048391
27/07/2012,23.83,0.014370492
26/07/2012,23.49,0.006834713
25/07/2012,23.33,-0.00214087
24/07/2012,23.38,-0.009365756
23/07/2012,23.6,-0.004228336
20/07/2012,23.7,-0.004210533
19/07/2012,23.8,0.005477157
18/07/2012,23.67,0.002114613
17/07/2012,23.62,0.020963335
16/07/2012,23.13,0.01393144
13/07/2012,22.81,0.006156572
12/07/2012,22.67,0.014663671
11/07/2012,22.34,-0.004466287
10/07/2012,22.44,-0.009314771
09/07/2012,22.65,0.004868343
06/07/2012,22.54,-0.005750956
05/07/2012,22.67,-0.008783544
03/07/2012,22.87,-0.005668208
02/07/2012,23,0
29/06/2012,23,0.020646461
28/06/2012,22.53,-0.003544532
27/06/2012,22.61,0.007547206
26/06/2012,22.44,-0.001336006
25/06/2012,22.47,-0.011504552
22/06/2012,22.73,0.005735732
21/06/2012,22.6,-0.003092558
20/06/2012,22.67,-0.001762892
19/06/2012,22.71,0.003970885
18/06/2012,22.62,0.000442184
15/06/2012,22.61,0.00221386
14/06/2012,22.56,0.01653669
13/06/2012,22.19,0
12/06/2012,22.19,0.004064128
11/06/2012,22.1,-0.001808319
08/06/2012,22.14,0.009074472
07/06/2012,21.94,0.001368301
06/06/2012,21.91,0.014249839
05/06/2012,21.6,-0.000462856
04/06/2012,21.61,-0.001387283
01/06/2012,21.64,-0.010572381
31/05/2012,21.87,-0.00774315
30/05/2012,22.04,-0.006331998
29/05/2012,22.18,0.002256828
25/05/2012,22.13,-0.000451773
24/05/2012,22.14,0.00226091
23/05/2012,22.09,-0.012595758
22/05/2012,22.37,-0.007570733
21/05/2012,22.54,-0.001330082
18/05/2012,22.57,0.000443164
17/05/2012,22.56,-0.003539827
16/05/2012,22.64,0.015131575
15/05/2012,22.3,-0.012920652
14/05/2012,22.59,-0.002652521
11/05/2012,22.65,-0.007915609
10/05/2012,22.83,0.016784846
09/05/2012,22.45,0.001337197
08/05/2012,22.42,-0.001337197
07/05/2012,22.45,0.003122911
04/05/2012,22.38,-0.009782203
03/05/2012,22.6,-0.002651349
02/05/2012,22.66,-0.005281702
01/05/2012,22.78,-0.005253953
30/04/2012,22.9,-0.007829531
27/04/2012,23.08,0.000866927
26/04/2012,23.06,0.007836348
25/04/2012,22.88,0.010986707
24/04/2012,22.63,0.011108757
23/04/2012,22.38,-0.008010724
20/04/2012,22.56,0.009799633
19/04/2012,22.34,-0.004911821
18/04/2012,22.45,0.006255606
17/04/2012,22.31,0.014902059
16/04/2012,21.98,0.005932027
13/04/2012,21.85,-0.003198541
12/04/2012,21.92,-0.001367677
11/04/2012,21.95,-0.001820665
10/04/2012,21.99,-0.002724797
09/04/2012,22.05,-0.013066192
