Date,Close,FLIR
27/10/2011,27.68,0.040174925
26/10/2011,26.59,0.008308205
25/10/2011,26.37,-0.033926833
24/10/2011,27.28,0.027124085
21/10/2011,26.55,-0.025289559
20/10/2011,27.23,0.011449802
19/10/2011,26.92,-0.023495941
18/10/2011,27.56,0.04035343
17/10/2011,26.47,-0.033435507
14/10/2011,27.37,0.020672571
13/10/2011,26.81,-0.005950185
12/10/2011,26.97,0.005950185
11/10/2011,26.81,-0.00111836
10/10/2011,26.84,0.034878441
07/10/2011,25.92,-0.021752432
06/10/2011,26.49,0.016749535
05/10/2011,26.05,0.034762336
04/10/2011,25.16,0.028216302
03/10/2011,24.46,-0.023834697
30/09/2011,25.05,-0.043739889
29/09/2011,26.17,0.018511905
28/09/2011,25.69,-0.042300076
27/09/2011,26.8,0.026466573
26/09/2011,26.1,0.024041484
23/09/2011,25.48,0.006694256
22/09/2011,25.31,-0.03874952
21/09/2011,26.31,-0.030691032
20/09/2011,27.13,-0.010997178
19/09/2011,27.43,-0.013758363
16/09/2011,27.81,-0.008236394
15/09/2011,28.04,0.023089049
14/09/2011,27.4,0.052446475
13/09/2011,26,0.026896963
12/09/2011,25.31,0.017939488
09/09/2011,24.86,-0.004014457
08/09/2011,24.96,-0.020226745
07/09/2011,25.47,0.026254491
06/09/2011,24.81,0.00201735
02/09/2011,24.76,-0.013638398
01/09/2011,25.1,-0.03021615
31/08/2011,25.87,0.020699821
30/08/2011,25.34,-0.008644455
29/08/2011,25.56,0.039502443
26/08/2011,24.57,0.043675064
25/08/2011,23.52,-0.018951925
24/08/2011,23.97,0.021932554
23/08/2011,23.45,0.047149719
22/08/2011,22.37,0.009883279
19/08/2011,22.15,-0.007197512
18/08/2011,22.31,-0.066329834
17/08/2011,23.84,-0.003350087
16/08/2011,23.92,-0.004171888
15/08/2011,24.02,0.015100958
12/08/2011,23.66,0.013188874
11/08/2011,23.35,0.029113505
10/08/2011,22.68,-0.05323145
09/08/2011,23.92,0.051469335
08/08/2011,22.72,-0.084367039
05/08/2011,24.72,0.014259765
04/08/2011,24.37,-0.057796518
03/08/2011,25.82,-0.002707408
02/08/2011,25.89,-0.043090567
01/08/2011,27.03,-0.01578304
