Date,Close,PSA
14/10/2011,114.91,0.012346376
13/10/2011,113.5,-0.007548531
12/10/2011,114.36,0.020138465
11/10/2011,112.08,-0.022147638
10/10/2011,114.59,0.057101948
07/10/2011,108.23,-0.032005641
06/10/2011,111.75,0.01614757
05/10/2011,109.96,0.000454814
04/10/2011,109.91,0.038300383
03/10/2011,105.78,-0.051316928
30/09/2011,111.35,-0.020269162
29/09/2011,113.63,0.005382762
28/09/2011,113.02,-0.01927855
27/09/2011,115.22,0.00443614
26/09/2011,114.71,0.008843804
23/09/2011,113.7,-0.008756623
22/09/2011,114.7,-0.018656613
21/09/2011,116.86,-0.031917155
20/09/2011,120.65,0.000995107
19/09/2011,120.53,-0.019797747
16/09/2011,122.94,0.000162694
15/09/2011,122.92,0.00825067
14/09/2011,121.91,0.015374745
13/09/2011,120.05,-0.004819687
12/09/2011,120.63,-0.000248663
09/09/2011,120.66,-0.026094483
08/09/2011,123.85,0.001777922
07/09/2011,123.63,0.039094538
06/09/2011,118.89,0.00252653
02/09/2011,118.59,-0.022099886
01/09/2011,121.24,-0.02032972
31/08/2011,123.73,0.003157003
30/08/2011,123.34,0.007241986
29/08/2011,122.45,0.019294794
26/08/2011,120.11,0.01967442
25/08/2011,117.77,-0.019091451
24/08/2011,120.04,0.004592335
23/08/2011,119.49,0.035695259
22/08/2011,115.3,0.011777672
19/08/2011,113.95,-0.016277506
18/08/2011,115.82,-0.03844999
17/08/2011,120.36,0.000748036
16/08/2011,120.27,0.003748599
15/08/2011,119.82,0.024073125
12/08/2011,116.97,-0.004605945
11/08/2011,117.51,0.069503597
10/08/2011,109.62,-0.028330507
09/08/2011,112.77,0.099691494
08/08/2011,102.07,-0.077635732
05/08/2011,110.31,-0.004612679
04/08/2011,110.82,-0.054950198
03/08/2011,117.08,0.005824927
02/08/2011,116.4,-0.020408872
01/08/2011,118.8,-0.006962239
29/07/2011,119.63,0.00225951
28/07/2011,119.36,0.001425278
27/07/2011,119.19,-0.028534376
26/07/2011,122.64,0.000897337
25/07/2011,122.53,-0.00569663
22/07/2011,123.23,0.002356096
21/07/2011,122.94,0.015575362
20/07/2011,121.04,0.00746334
19/07/2011,120.14,0.017210684
18/07/2011,118.09,-0.009271813
15/07/2011,119.19,0.011391086
14/07/2011,117.84,-0.003642374
13/07/2011,118.27,-0.012269061
12/07/2011,119.73,0.011254948
11/07/2011,118.39,-0.008494942
08/07/2011,119.4,0.004112297
07/07/2011,118.91,0.006750511
06/07/2011,118.11,0.005433412
05/07/2011,117.47,0.014232065
01/07/2011,115.81,0.015664753
30/06/2011,114.01,0.004130966
29/06/2011,113.54,0.01499651
28/06/2011,111.85,0.006818004
27/06/2011,111.09,0.003245878
24/06/2011,110.73,0.017859245
23/06/2011,108.77,-0.026491615
