Date,Close,AME
02/04/2012,49.01,0.010254397
30/03/2012,48.51,0.003510587
29/03/2012,48.34,0.002692907
28/03/2012,48.21,-0.007645455
27/03/2012,48.58,0.001235839
26/03/2012,48.52,0.015787615
23/03/2012,47.76,0.001676446
22/03/2012,47.68,-0.011054446
21/03/2012,48.21,0.001660785
20/03/2012,48.13,-0.009717848
19/03/2012,48.6,-0.001028278
16/03/2012,48.65,-0.001232539
15/03/2012,48.71,0.00061608
14/03/2012,48.68,-0.005122437
13/03/2012,48.93,0.015239175
12/03/2012,48.19,0.00145364
09/03/2012,48.12,0.012757676
08/03/2012,47.51,0.01057987
07/03/2012,47.01,0.011123109
06/03/2012,46.49,-0.018751881
05/03/2012,47.37,-0.002530046
02/03/2012,47.49,-0.013386521
01/03/2012,48.13,0.011072922
29/02/2012,47.6,-0.001888971
28/02/2012,47.69,0.000419463
27/02/2012,47.67,-0.012093559
24/02/2012,48.25,-0.003310576
23/02/2012,48.41,0.001033378
22/02/2012,48.36,-0.005567599
21/02/2012,48.63,-0.002054232
17/02/2012,48.73,-0.007156763
16/02/2012,49.08,0.023292819
15/02/2012,47.95,-0.01346473
14/02/2012,48.6,0.004123717
13/02/2012,48.4,0.013101986
10/02/2012,47.77,-0.015578257
09/02/2012,48.52,0.006824553
08/02/2012,48.19,-0.00145153
07/02/2012,48.26,0.000829187
06/02/2012,48.22,0.000414852
03/02/2012,48.2,0.018848726
02/02/2012,47.3,-0.018433702
01/02/2012,48.18,0.024796395
31/01/2012,47,-0.001913063
30/01/2012,47.09,0.011533661
27/01/2012,46.55,-0.011108852
26/01/2012,47.07,0.005111832
25/01/2012,46.83,0.01095019
24/01/2012,46.32,0.004760883
23/01/2012,46.1,0.009371323
20/01/2012,45.67,-0.010238626
19/01/2012,46.14,0.019698601
18/01/2012,45.24,-0.005730675
17/01/2012,45.5,-0.011363759
13/01/2012,46.02,0.006540246
12/01/2012,45.72,0.031099796
11/01/2012,44.32,0.006564823
10/01/2012,44.03,0.022973673
09/01/2012,43.03,0.000232423
06/01/2012,43.02,-0.012014932
05/01/2012,43.54,0.016441264
04/01/2012,42.83,0.013634438
03/01/2012,42.25,0.003556613
30/12/2011,42.1,0.007629985
29/12/2011,41.78,0.012039635
28/12/2011,41.28,-0.027713193
27/12/2011,42.44,0.009469768
23/12/2011,42.04,0.007161644
22/12/2011,41.74,0.016181974
21/12/2011,41.07,0.001218175
20/12/2011,41.02,0.031449912
19/12/2011,39.75,-0.020172518
16/12/2011,40.56,0.01115668
15/12/2011,40.11,0.002996257
14/12/2011,39.99,-0.02543033
13/12/2011,41.02,-0.019554033
12/12/2011,41.83,-0.023157935
09/12/2011,42.81,0.03590922
08/12/2011,41.3,-0.031461127
07/12/2011,42.62,-0.005615363
06/12/2011,42.86,-0.003958557
05/12/2011,43.03,0.00957392
02/12/2011,42.62,0.006119106
01/12/2011,42.36,-0.011267725
30/11/2011,42.84,0.056911287
29/11/2011,40.47,0.008685996
28/11/2011,40.12,0.057451695
25/11/2011,37.88,-0.009981696
23/11/2011,38.26,-0.031642511
22/11/2011,39.49,-0.00982747
21/11/2011,39.88,-0.011468587
18/11/2011,40.34,-0.00099108
17/11/2011,40.38,-0.0213165
16/11/2011,41.25,-0.024663048
15/11/2011,42.28,0.023693821
14/11/2011,41.29,-0.014904122
11/11/2011,41.91,0.034963503
10/11/2011,40.47,0.025273458
09/11/2011,39.46,-0.04702673
08/11/2011,41.36,0.017315394
07/11/2011,40.65,-0.003438117
04/11/2011,40.79,-0.011214159
03/11/2011,41.25,0.050464292
02/11/2011,39.22,0.031337538
01/11/2011,38.01,-0.03895759
31/10/2011,39.52,-0.036521262
28/10/2011,40.99,-0.001949793
27/10/2011,41.07,0.055569851
26/10/2011,38.85,0.000514933
25/10/2011,38.83,-0.028185184
24/10/2011,39.94,0.038019632
21/10/2011,38.45,0.020494674
20/10/2011,37.67,0.001328198
19/10/2011,37.62,-0.022342893
18/10/2011,38.47,0.038150322
17/10/2011,37.03,-0.030059452
14/10/2011,38.16,0.017446914
13/10/2011,37.5,-0.003992021
12/10/2011,37.65,0.020121403
11/10/2011,36.9,0
10/10/2011,36.9,0.03980625
07/10/2011,35.46,-0.020930023
06/10/2011,36.21,0.031134193
05/10/2011,35.1,0.038924461
04/10/2011,33.76,0.071513819
03/10/2011,31.43,-0.047835206
30/09/2011,32.97,-0.04333022
29/09/2011,34.43,0.005825825
28/09/2011,34.23,-0.033044236
27/09/2011,35.38,-0.003949229
26/09/2011,35.52,0.076015542
23/09/2011,32.92,-0.0180619
22/09/2011,33.52,-0.066922312
21/09/2011,35.84,-0.037244173
20/09/2011,37.2,-0.026003057
19/09/2011,38.18,-0.006786766
16/09/2011,38.44,-0.010609493
15/09/2011,38.85,0.01765821
14/09/2011,38.17,0.025203616
13/09/2011,37.22,0.033605129
12/09/2011,35.99,-0.010778051
09/09/2011,36.38,-0.040404095
08/09/2011,37.88,-0.001582696
07/09/2011,37.94,0.028065453
06/09/2011,36.89,0.005436273
02/09/2011,36.69,-0.04320672
01/09/2011,38.31,-0.019899868
31/08/2011,39.08,0.001536492
30/08/2011,39.02,0.021500634
29/08/2011,38.19,0.03436215
26/08/2011,36.9,0.020811266
25/08/2011,36.14,-0.02189469
24/08/2011,36.94,0.001625576
23/08/2011,36.88,0.046055296
22/08/2011,35.22,0.009987242
19/08/2011,34.87,-0.015367405
18/08/2011,35.41,-0.067692959
17/08/2011,37.89,-0.007886476
16/08/2011,38.19,-0.017134376
15/08/2011,38.85,0.015041777
12/08/2011,38.27,0.008396796
11/08/2011,37.95,0.068992871
10/08/2011,35.42,-0.040392766
09/08/2011,36.88,0.088985322
08/08/2011,33.74,-0.093314333
05/08/2011,37.04,-0.031883678
04/08/2011,38.24,-0.066514209
03/08/2011,40.87,0.004905578
02/08/2011,40.67,-0.043542657
01/08/2011,42.48,-0.000470699
29/07/2011,42.5,-0.005631174
28/07/2011,42.74,-0.021526118
27/07/2011,43.67,-0.033328912
26/07/2011,45.15,0.000886328
25/07/2011,45.11,0.011145902
22/07/2011,44.61,-0.001567925
21/07/2011,44.68,0.016018391
20/07/2011,43.97,0.002732864
19/07/2011,43.85,0.015165732
18/07/2011,43.19,-0.01721608
15/07/2011,43.94,-0.001819009
14/07/2011,44.02,-0.022018414
13/07/2011,45,0.009601503
12/07/2011,44.57,0
11/07/2011,44.57,-0.023723538
08/07/2011,45.64,-0.011112436
07/07/2011,46.15,0.003472979
06/07/2011,45.99,0.008296991
05/07/2011,45.61,-0.000438404
01/07/2011,45.63,0.0161276
30/06/2011,44.9,0.008948606
29/06/2011,44.5,0.022038834
28/06/2011,43.53,0.027245835
27/06/2011,42.36,-0.003770033
