Date,Close,PCL
16/08/2012,40.4,0.004962789
15/08/2012,40.2,-0.010885808
14/08/2012,40.64,0.005923018
13/08/2012,40.4,0.00322301
10/08/2012,40.27,0.002984334
09/08/2012,40.15,-0.004473168
08/08/2012,40.33,-0.00198167
07/08/2012,40.41,0.00297398
06/08/2012,40.29,-0.008157257
03/08/2012,40.62,0.009150552
02/08/2012,40.25,-0.003967275
01/08/2012,40.41,-0.004444452
31/07/2012,40.59,-0.000984979
30/07/2012,40.63,0.002711031
27/07/2012,40.52,0.014417351
26/07/2012,39.94,0.011077656
25/07/2012,39.5,0.001266625
24/07/2012,39.45,-0.013595376
23/07/2012,39.99,0.000750469
20/07/2012,39.96,-0.012434878
19/07/2012,40.46,-0.008123122
18/07/2012,40.79,-0.010001303
17/07/2012,41.2,0.010737048
16/07/2012,40.76,0.004918849
13/07/2012,40.56,0.01440303
12/07/2012,39.98,0.001501878
11/07/2012,39.92,0.010070579
10/07/2012,39.52,-0.0128223
09/07/2012,40.03,0.000749719
06/07/2012,40,0.005012542
05/07/2012,39.8,-0.01347662
03/07/2012,40.34,0.010466081
02/07/2012,39.92,0.005526264
29/06/2012,39.7,0.020871208
28/06/2012,38.88,0.007227703
27/06/2012,38.6,0.017246312
26/06/2012,37.94,0.003696862
25/06/2012,37.8,-0.011311445
22/06/2012,38.23,0.00498231
21/06/2012,38.04,-0.014614039
20/06/2012,38.6,0.001296176
19/06/2012,38.55,0.017796858
18/06/2012,37.87,0.006623418
15/06/2012,37.62,0.005865119
14/06/2012,37.4,0.005899722
13/06/2012,37.18,-0.001880963
12/06/2012,37.25,0.011339214
11/06/2012,36.83,-0.014287883
08/06/2012,37.36,0.010764367
07/06/2012,36.96,-0.002701974
06/06/2012,37.06,0.019068952
05/06/2012,36.36,0.016080191
04/06/2012,35.78,-0.00612986
01/06/2012,36,-0.013793322
31/05/2012,36.5,0.005770039
30/05/2012,36.29,-0.022074748
29/05/2012,37.1,0.010567772
25/05/2012,36.71,-0.00840911
24/05/2012,37.02,-0.006462058
23/05/2012,37.26,0.008354718
22/05/2012,36.95,-0.000270599
21/05/2012,36.96,0.015542235
18/05/2012,36.39,-0.007119417
17/05/2012,36.65,-0.026919526
16/05/2012,37.65,-0.015810606
15/05/2012,38.25,-0.002350177
14/05/2012,38.34,-0.007794272
11/05/2012,38.64,-0.000776096
10/05/2012,38.67,-0.00361384
09/05/2012,38.81,-0.004883701
08/05/2012,39,-0.004349502
07/05/2012,39.17,0.010780392
04/05/2012,38.75,-0.009503089
03/05/2012,39.12,-0.002807915
02/05/2012,39.23,-0.018687413
01/05/2012,39.97,-0.050492373
30/04/2012,42.04,0.003574411
27/04/2012,41.89,-0.000238692
26/04/2012,41.9,0.003825925
25/04/2012,41.74,0.006248518
24/04/2012,41.48,0.01677443
23/04/2012,40.79,-0.014360719
20/04/2012,41.38,0.008494166
19/04/2012,41.03,-0.003163405
18/04/2012,41.16,-0.006538345
17/04/2012,41.43,0.007997135
16/04/2012,41.1,0.006346128
13/04/2012,40.84,-0.014343263
12/04/2012,41.43,0.015078107
11/04/2012,40.81,0.010097364
10/04/2012,40.4,-0.016448143
09/04/2012,41.07,-0.011619593
05/04/2012,41.55,0.001445087
04/04/2012,41.49,-0.003608809
03/04/2012,41.64,-0.007178782
02/04/2012,41.94,0.009101859
30/03/2012,41.56,0.000962927
29/03/2012,41.52,-0.003846159
28/03/2012,41.68,0.005533516
27/03/2012,41.45,-0.00144648
26/03/2012,41.51,0.007496106
23/03/2012,41.2,-0.003875974
22/03/2012,41.36,-0.001449626
21/03/2012,41.42,-0.002411383
20/03/2012,41.52,-0.000962927
19/03/2012,41.56,0.00313291
16/03/2012,41.43,-0.000241342
15/03/2012,41.44,0.002416044
14/03/2012,41.34,0.000968054
13/03/2012,41.3,0.018326719
12/03/2012,40.55,0.008668785
09/03/2012,40.2,0.010251371
08/03/2012,39.79,0.006808752
07/03/2012,39.52,0.001519372
06/03/2012,39.46,-0.008076773
05/03/2012,39.78,0.004030232
02/03/2012,39.62,0.004553512
01/03/2012,39.44,0.007124712
29/02/2012,39.16,0.000255395
28/02/2012,39.15,-0.001276324
27/02/2012,39.2,0.003833871
24/02/2012,39.05,0.003334619
23/02/2012,38.92,0.012149561
22/02/2012,38.45,-0.003893581
21/02/2012,38.6,-0.007741974
17/02/2012,38.9,0.001286174
16/02/2012,38.85,0.009569451
15/02/2012,38.48,-0.025402264
14/02/2012,39.47,-0.004802233
13/02/2012,39.66,0.012176711
10/02/2012,39.18,-0.004329562
09/02/2012,39.35,-0.005322532
08/02/2012,39.56,0.001264702
07/02/2012,39.51,-0.009321141
06/02/2012,39.88,0.005027663
03/02/2012,39.68,0.016260521
02/02/2012,39.04,0.002564762
01/02/2012,38.94,0.00411735
31/01/2012,38.78,-0.032972807
30/01/2012,40.08,-0.009683502
27/01/2012,40.47,0.002721763
26/01/2012,40.36,0.008210022
25/01/2012,40.03,0.007522603
24/01/2012,39.73,0.001511335
23/01/2012,39.67,-0.003271678
20/01/2012,39.8,-0.001506402
19/01/2012,39.86,0.01364002
18/01/2012,39.32,0.012797718
17/01/2012,38.82,0.000257632
13/01/2012,38.81,0.000515464
12/01/2012,38.79,0.007764014
11/01/2012,38.49,0.015711242
10/01/2012,37.89,0.010079661
09/01/2012,37.51,0.001066951
06/01/2012,37.47,0.002137324
05/01/2012,37.39,0.020262749
04/01/2012,36.64,-0.005986412
03/01/2012,36.86,0.008172206
