Date,Close,CMA
03/01/2012,26.72,0.035037857
30/12/2011,25.8,-0.008875227
29/12/2011,26.03,0.014706147
28/12/2011,25.65,-0.015858
27/12/2011,26.06,-0.006502222
23/12/2011,26.23,0.011503194
22/12/2011,25.93,0.026178483
21/12/2011,25.26,0.005557775
20/12/2011,25.12,0.040208462
19/12/2011,24.13,-0.024965487
16/12/2011,24.74,-0.014047993
15/12/2011,25.09,0.002793855
14/12/2011,25.02,-0.001597444
13/12/2011,25.06,-0.029101542
12/12/2011,25.8,-0.026770241
09/12/2011,26.5,0.029098531
08/12/2011,25.74,-0.035118113
07/12/2011,26.66,0.029307521
06/12/2011,25.89,-0.001929385
05/12/2011,25.94,0.028545438
02/12/2011,25.21,0.002780538
01/12/2011,25.14,-0.003177127
30/11/2011,25.22,0.05208663
29/11/2011,23.94,0.00881063
28/11/2011,23.73,0.030376667
25/11/2011,23.02,0.006537395
23/11/2011,22.87,-0.04321528
22/11/2011,23.88,-0.008755528
21/11/2011,24.09,-0.033070987
18/11/2011,24.9,-0.007202912
17/11/2011,25.08,-0.023641763
16/11/2011,25.68,-0.016988826
15/11/2011,26.12,0.009617308
14/11/2011,25.87,-0.02292802
11/11/2011,26.47,0.031858384
10/11/2011,25.64,0.003907781
09/11/2011,25.54,-0.05001997
08/11/2011,26.85,0.029097084
07/11/2011,26.08,0.015456258
04/11/2011,25.68,-0.012384059
03/11/2011,26,0.01863408
02/11/2011,25.52,0.027812679
01/11/2011,24.82,-0.028987537
31/10/2011,25.55,-0.014377555
28/10/2011,25.92,-0.009598845
27/10/2011,26.17,0.041347543
26/10/2011,25.11,0.03443727
25/10/2011,24.26,-0.033640457
24/10/2011,25.09,0.028706236
21/10/2011,24.38,0.055230052
20/10/2011,23.07,-0.002597404
19/10/2011,23.13,-0.111180125
18/10/2011,25.85,0.054862723
17/10/2011,24.47,-0.047485482
14/10/2011,25.66,0.00390473
13/10/2011,25.56,-0.022820561
12/10/2011,26.15,0.032254593
11/10/2011,25.32,0.019944817
10/10/2011,24.82,0.054223917
07/10/2011,23.51,-0.058646035
06/10/2011,24.93,0.04428768
05/10/2011,23.85,0.014358355
04/10/2011,23.51,0.057784126
03/10/2011,22.19,-0.03454728
30/09/2011,22.97,-0.041779307
29/09/2011,23.95,0.056250071
28/09/2011,22.64,-0.033445028
27/09/2011,23.41,-0.000427077
26/09/2011,23.42,0.040519592
23/09/2011,22.49,0.022937817
22/09/2011,21.98,-0.03179135
21/09/2011,22.69,-0.076340572
20/09/2011,24.49,0.003271987
19/09/2011,24.41,-0.021079013
16/09/2011,24.93,-0.002803927
15/09/2011,25,0.024292693
14/09/2011,24.4,0.024897552
13/09/2011,23.8,0.047320656
12/09/2011,22.7,0.017329916
09/09/2011,22.31,-0.009812746
08/09/2011,22.53,-0.043853347
07/09/2011,23.54,0.038099846
06/09/2011,22.66,-0.033842709
02/09/2011,23.44,-0.042595166
01/09/2011,24.46,-0.04516252
31/08/2011,25.59,0.01973229
30/08/2011,25.09,-0.00516797
29/08/2011,25.22,0.04916692
26/08/2011,24.01,0.025307129
25/08/2011,23.41,-0.018201561
24/08/2011,23.84,0.01734759
23/08/2011,23.43,0.037838826
22/08/2011,22.56,-0.000886132
19/08/2011,22.58,-0.031817894
18/08/2011,23.31,-0.0619612
17/08/2011,24.8,0.006472515
16/08/2011,24.64,-0.028013036
15/08/2011,25.34,0.03739129
12/08/2011,24.41,-0.019874919
11/08/2011,24.9,0.027689065
10/08/2011,24.22,-0.101223149
09/08/2011,26.8,0.020355019
08/08/2011,26.26,-0.103721702
05/08/2011,29.13,-0.026424302
04/08/2011,29.91,-0.038693351
03/08/2011,31.09,0.01099623
02/08/2011,30.75,-0.03546131
01/08/2011,31.86,-0.005321659
29/07/2011,32.03,-0.012102553
28/07/2011,32.42,-0.007681709
27/07/2011,32.67,-0.026579638
26/07/2011,33.55,-0.00357037
25/07/2011,33.67,-0.003261678
22/07/2011,33.78,-0.004725348
21/07/2011,33.94,0.0314256
20/07/2011,32.89,0.012544145
19/07/2011,32.48,0.005247735
18/07/2011,32.31,-0.008628713
15/07/2011,32.59,0.00030689
14/07/2011,32.58,-0.015834679
13/07/2011,33.1,0.013076057
12/07/2011,32.67,-0.01035332
11/07/2011,33.01,-0.023354355
08/07/2011,33.79,-0.026574786
07/07/2011,34.7,0.022734876
06/07/2011,33.92,-0.011723464
05/07/2011,34.32,-0.03070102
01/07/2011,35.39,0.02344304
30/06/2011,34.57,0.009591703
29/06/2011,34.24,0.00938974
28/06/2011,33.92,-0.001767305
27/06/2011,33.98,0.007088039
24/06/2011,33.74,-0.004435909
23/06/2011,33.89,-0.007349732
22/06/2011,34.14,-0.013383965
21/06/2011,34.6,0.009291588
20/06/2011,34.28,-0.003785126
17/06/2011,34.41,0.013458366
16/06/2011,33.95,0.00531602
15/06/2011,33.77,-0.01848373
14/06/2011,34.4,0.022638039
13/06/2011,33.63,-0.004450386
10/06/2011,33.78,-0.006197452
09/06/2011,33.99,0.005605561
08/06/2011,33.8,-0.007956429
07/06/2011,34.07,0.004707276
06/06/2011,33.91,-0.006759761
03/06/2011,34.14,-0.009329514
02/06/2011,34.46,-0.001449906
01/06/2011,34.51,-0.045320698
31/05/2011,36.11,0.005554027
27/05/2011,35.91,0.015717416
26/05/2011,35.35,0.00538932
25/05/2011,35.16,-0.017480005
24/05/2011,35.78,-0.000558815
23/05/2011,35.8,-0.018542111
20/05/2011,36.47,-0.015508405
19/05/2011,37.04,-0.008334502
18/05/2011,37.35,0.00348666
17/05/2011,37.22,0.014342013
16/05/2011,36.69,0.008210227
13/05/2011,36.39,-0.016894135
12/05/2011,37.01,-0.001350074
11/05/2011,37.06,-0.010735476
10/05/2011,37.46,0.005621752
09/05/2011,37.25,-0.005888668
06/05/2011,37.47,-0.001866418
05/05/2011,37.54,-0.007695407
04/05/2011,37.83,-0.004483721
03/05/2011,38,0.00237123
02/05/2011,37.91,-0.000527426
29/04/2011,37.93,-0.000790618
28/04/2011,37.96,-0.000789993
27/04/2011,37.99,0.022897699
26/04/2011,37.13,0.020131257
25/04/2011,36.39,0.002200826
21/04/2011,36.31,-0.007955055
20/04/2011,36.6,-0.001092299
19/04/2011,36.64,-0.022133157
18/04/2011,37.46,-0.012732267
15/04/2011,37.94,-0.002106373
14/04/2011,38.02,-0.009684672
13/04/2011,38.39,-0.001301575
12/04/2011,38.44,0.006524883
11/04/2011,38.19,0.009471263
08/04/2011,37.83,-0.013391299
07/04/2011,38.34,0.024555689
06/04/2011,37.41,0.011290443
05/04/2011,36.99,-0.002160411
04/04/2011,37.07,0.00324237
01/04/2011,36.95,0.006244082
31/03/2011,36.72,-0.00081666
30/03/2011,36.75,0.008471153
29/03/2011,36.44,-0.001645188
28/03/2011,36.5,-0.007913809
25/03/2011,36.79,-0.001086661
24/03/2011,36.83,0.000271555
23/03/2011,36.82,-0.012147538
22/03/2011,37.27,-0.010940736
21/03/2011,37.68,-0.002915068
18/03/2011,37.79,0.016004609
17/03/2011,37.19,0.007557391
16/03/2011,36.91,-0.017457137
15/03/2011,37.56,-0.019510242
14/03/2011,38.3,-0.021695066
11/03/2011,39.14,0.006150711
10/03/2011,38.9,-0.006150711
09/03/2011,39.14,0.011305362
08/03/2011,38.7,0.018516633
07/03/2011,37.99,-0.009692283
04/03/2011,38.36,-0.012435393
03/03/2011,38.84,0.017138825
02/03/2011,38.18,0.002097536
01/03/2011,38.1,-0.020779968
28/02/2011,38.9,0.001801107
25/02/2011,38.83,0.012699406
24/02/2011,38.34,0.019489687
23/02/2011,37.6,-0.005305052
22/02/2011,37.8,-0.047781845
18/02/2011,39.65,0.0121798
17/02/2011,39.17,-0.00940167
16/02/2011,39.54,-0.005045419
15/02/2011,39.74,-0.004769684
14/02/2011,39.93,0.002758622
11/02/2011,39.82,0.011619226
10/02/2011,39.36,-0.004815622
09/02/2011,39.55,0.004307621
08/02/2011,39.38,0.005857651
07/02/2011,39.15,0.014148146
04/02/2011,38.6,0.004674119
03/02/2011,38.42,-0.00881063
02/02/2011,38.76,-0.005916416
01/02/2011,38.99,0.020469687
31/01/2011,38.2,0.005512548
28/01/2011,37.99,-0.009952937
27/01/2011,38.37,-0.00182268
26/01/2011,38.44,-0.017023883
25/01/2011,39.1,-0.002043946
24/01/2011,39.18,-0.008134259
21/01/2011,39.5,0.015820692
20/01/2011,38.88,0.018954222
19/01/2011,38.15,-0.0153469
18/01/2011,38.74,-0.086731696
14/01/2011,42.25,0.005696669
13/01/2011,42.01,-0.00023801
12/01/2011,42.02,0.020192994
11/01/2011,41.18,0.005845121
10/01/2011,40.94,-0.001708359
07/01/2011,41.01,-0.007288662
06/01/2011,41.31,-0.044272824
05/01/2011,43.18,-0.004159932
04/01/2011,43.36,0.013700435
03/01/2011,42.77,0.012469283
31/12/2010,42.24,-0.004723674
30/12/2010,42.44,-0.006809936
29/12/2010,42.73,-0.002104034
28/12/2010,42.82,0.008442827
27/12/2010,42.46,0.004721444
23/12/2010,42.26,-0.011060237
22/12/2010,42.73,0.000936549
21/12/2010,42.69,0.022265249
20/12/2010,41.75,0.009868897
17/12/2010,41.34,0.016585746
16/12/2010,40.66,0.010383282
15/12/2010,40.24,-0.013084991
14/12/2010,40.77,0.005657376
13/12/2010,40.54,-0.010550951
10/12/2010,40.97,0.010057732
09/12/2010,40.56,0.012404029
08/12/2010,40.06,0.032989543
07/12/2010,38.76,-0.016884515
06/12/2010,39.42,-0.004050638
03/12/2010,39.58,0.01245726
02/12/2010,39.09,0.045533768
01/12/2010,37.35,0.023294661
30/11/2010,36.49,-0.013338976
29/11/2010,36.98,0.013887221
26/11/2010,36.47,-0.007648221
24/11/2010,36.75,0.007099975
23/11/2010,36.49,-0.01549997
22/11/2010,37.06,-0.001617687
19/11/2010,37.12,-0.00778214
18/11/2010,37.41,0.012643074
17/11/2010,36.94,0.005428895
16/11/2010,36.74,-0.024732443
15/11/2010,37.66,0.01040981
12/11/2010,37.27,-0.019134254
11/11/2010,37.99,-0.007865798
10/11/2010,38.29,0.00812906
09/11/2010,37.98,-0.021875872
08/11/2010,38.82,0.004647568
05/11/2010,38.64,0.016438726
04/11/2010,38.01,0.02693137
03/11/2010,37,0.028788828
02/11/2010,35.95,0.001670379
01/11/2010,35.89,0.003069627
29/10/2010,35.78,0.002238389
28/10/2010,35.7,-0.016391532
27/10/2010,36.29,0.022009525
26/10/2010,35.5,0.007634704
25/10/2010,35.23,-0.028817213
22/10/2010,36.26,0.016124898
21/10/2010,35.68,-0.007260574
20/10/2010,35.94,-0.065946128
19/10/2010,38.39,-0.022154435
18/10/2010,39.25,0.027639626
15/10/2010,38.18,-0.010940458
14/10/2010,38.6,0.00337356
13/10/2010,38.47,-0.010858431
12/10/2010,38.89,0.007484872
11/10/2010,38.6,-0.002587324
08/10/2010,38.7,0.001810423
07/10/2010,38.63,-0.013115785
06/10/2010,39.14,0.012339488
05/10/2010,38.66,0.040918999
04/10/2010,37.11,-0.001346439
01/10/2010,37.16,0.000269143
30/09/2010,37.15,0.017103715
29/09/2010,36.52,-0.002734484
28/09/2010,36.62,0.034730536
27/09/2010,35.37,-0.026779843
24/09/2010,36.33,0.028477636
23/09/2010,35.31,-0.018519048
22/09/2010,35.97,-0.019000985
21/09/2010,36.66,-0.027177779
20/09/2010,37.67,0.021194623
17/09/2010,36.88,-0.007294372
16/09/2010,37.15,-0.017080746
15/09/2010,37.79,0.007703584
14/09/2010,37.5,-0.013771404
13/09/2010,38.02,0.035335582
10/09/2010,36.7,-0.001633542
09/09/2010,36.76,0.004362057
