Date,Close,DGX
14/02/2012,57.49,-0.003126088
13/02/2012,57.67,0.00225675
10/02/2012,57.54,-0.002950111
09/02/2012,57.71,-0.007423426
08/02/2012,58.14,-0.002748198
07/02/2012,58.3,0.006366708
06/02/2012,57.93,-0.012181672
03/02/2012,58.64,0.012009065
02/02/2012,57.94,-0.003101846
01/02/2012,58.12,0.000688468
31/01/2012,58.08,-0.003780723
30/01/2012,58.3,-0.011935351
27/01/2012,59,0.000169506
26/01/2012,58.99,-0.026101532
25/01/2012,60.55,-0.00296834
24/01/2012,60.73,0.072197172
23/01/2012,56.5,-0.011263759
20/01/2012,57.14,-0.009232711
19/01/2012,57.67,0.006785585
18/01/2012,57.28,0.000174596
17/01/2012,57.27,0.00806456
13/01/2012,56.81,-0.005967024
12/01/2012,57.15,0.000174993
11/01/2012,57.14,-0.005410607
10/01/2012,57.45,-0.010045114
09/01/2012,58.03,0.000344709
06/01/2012,58.01,0.009178348
05/01/2012,57.48,-0.002953186
04/01/2012,57.65,-0.002425504
03/01/2012,57.79,-0.004661208
30/12/2011,58.06,-0.002580203
29/12/2011,58.21,0.005512503
28/12/2011,57.89,-0.022038989
27/12/2011,59.18,0.003554807
23/12/2011,58.97,-0.002878674
22/12/2011,59.14,0.017225633
21/12/2011,58.13,0.00933294
20/12/2011,57.59,0.034446574
19/12/2011,55.64,-0.01072588
16/12/2011,56.24,0.001067426
15/12/2011,56.18,0.009119419
14/12/2011,55.67,0.001258201
13/12/2011,55.6,-0.005917708
12/12/2011,55.93,-0.021753444
09/12/2011,57.16,0.011790722
08/12/2011,56.49,-0.022059718
07/12/2011,57.75,0.000866176
06/12/2011,57.7,0.000520066
05/12/2011,57.67,-0.015997589
02/12/2011,58.6,0.014265087
01/12/2011,57.77,-0.015288454
30/11/2011,58.66,0.03734045
29/11/2011,56.51,0.00746007
28/11/2011,56.09,0.030042071
25/11/2011,54.43,-0.014771856
23/11/2011,55.24,-0.010265736
22/11/2011,55.81,0.021552949
21/11/2011,54.62,-0.00947529
18/11/2011,55.14,0.001451906
17/11/2011,55.06,-0.004349409
16/11/2011,55.3,-0.025001302
15/11/2011,56.7,-0.012095861
14/11/2011,57.39,-0.002610286
11/11/2011,57.54,0.005227403
10/11/2011,57.24,0.028350588
09/11/2011,55.64,-0.033925515
08/11/2011,57.56,0.012763527
07/11/2011,56.83,0.017932127
04/11/2011,55.82,0.004128899
03/11/2011,55.59,-0.000359712
02/11/2011,55.61,0.015951036
01/11/2011,54.73,-0.019361864
31/10/2011,55.8,-0.031922294
28/10/2011,57.61,0.011873721
27/10/2011,56.93,0.015221533
26/10/2011,56.07,-0.007639728
25/10/2011,56.5,0.102807239
24/10/2011,50.98,0.021612817
21/10/2011,49.89,0.022090269
20/10/2011,48.8,-0.006332367
19/10/2011,49.11,-0.011942253
18/10/2011,49.7,0.032307042
17/10/2011,48.12,-0.008278193
14/10/2011,48.52,0.012234471
13/10/2011,47.93,-0.009138174
12/10/2011,48.37,0.008303971
11/10/2011,47.97,0.003759403
10/10/2011,47.79,0.016030717
07/10/2011,47.03,0.001915506
06/10/2011,46.94,0.006840557
05/10/2011,46.62,-0.016170565
04/10/2011,47.38,0.023274244
03/10/2011,46.29,-0.064214425
30/09/2011,49.36,-0.02698275
29/09/2011,50.71,0.017104633
28/09/2011,49.85,-0.010178713
27/09/2011,50.36,0.014198819
26/09/2011,49.65,0.032756255
23/09/2011,48.05,0.000208138
22/09/2011,48.04,-0.022435849
21/09/2011,49.13,-0.011535087
20/09/2011,49.7,0.020942109
19/09/2011,48.67,-0.008592524
16/09/2011,49.09,0.010031817
15/09/2011,48.6,-0.015314235
14/09/2011,49.35,-0.001822047
13/09/2011,49.44,0.012619748
12/09/2011,48.82,0.010294511
09/09/2011,48.32,-0.02493487
08/09/2011,49.54,-0.025509554
07/09/2011,50.82,0.033006296
06/09/2011,49.17,0.002239643
02/09/2011,49.06,-0.014770122
01/09/2011,49.79,-0.005607866
31/08/2011,50.07,0.013066826
30/08/2011,49.42,-0.003434
29/08/2011,49.59,0.026150622
26/08/2011,48.31,0.020705539
25/08/2011,47.32,-0.022566775
24/08/2011,48.4,0.017507742
23/08/2011,47.56,0.032915987
22/08/2011,46.02,-0.009946028
19/08/2011,46.48,-0.011338232
18/08/2011,47.01,-0.033674624
17/08/2011,48.62,-0.006355736
16/08/2011,48.93,-0.000408664
15/08/2011,48.95,0.018557234
12/08/2011,48.05,0.013619907
11/08/2011,47.4,0.025426004
10/08/2011,46.21,-0.053303823
09/08/2011,48.74,0.028510931
08/08/2011,47.37,-0.067147528
05/08/2011,50.66,0.015115642
04/08/2011,49.9,-0.026694615
03/08/2011,51.25,0.001366787
02/08/2011,51.18,-0.02069106
01/08/2011,52.25,-0.033129324
