Date,Close,K
15/03/2011,54.07,-0.008654874
14/03/2011,54.54,-0.009125816
11/03/2011,55.04,0.002546845
10/03/2011,54.9,0
09/03/2011,54.9,0.006578971
08/03/2011,54.54,0.006807128
07/03/2011,54.17,-0.002949311
04/03/2011,54.33,0.006648224
03/03/2011,53.97,0.014934009
02/03/2011,53.17,0.003391111
01/03/2011,52.99,-0.010699304
28/02/2011,53.56,0.007684416
25/02/2011,53.15,0.000941177
24/02/2011,53.1,-0.006756782
23/02/2011,53.46,0.005063302
22/02/2011,53.19,0.003389834
18/02/2011,53.01,0.000188661
17/02/2011,53,0.001321628
16/02/2011,52.93,-0.001321628
15/02/2011,53,-0.009015839
14/02/2011,53.48,0.007319166
11/02/2011,53.09,0.00528802
10/02/2011,52.81,-0.005476362
09/02/2011,53.1,-0.003571768
08/02/2011,53.29,0.000750892
07/02/2011,53.25,-0.003187403
