Date,Close,BBT
04/10/2012,33.58,0.012284799
03/10/2012,33.17,0.005138291
02/10/2012,33,0.001212856
01/10/2012,32.96,-0.006049625
28/09/2012,33.16,0.001508979
27/09/2012,33.11,0.01184884
26/09/2012,32.72,-0.013659341
25/09/2012,33.17,-0.004211799
24/09/2012,33.31,0
21/09/2012,33.31,-0.005389235
20/09/2012,33.49,-0.003576755
19/09/2012,33.61,0.004472946
18/09/2012,33.46,-0.003282115
17/09/2012,33.57,-0.012433553
14/09/2012,33.99,0.010945236
13/09/2012,33.62,0.022865015
12/09/2012,32.86,0.009171571
11/09/2012,32.56,-0.000614062
10/09/2012,32.58,-0.008557509
07/09/2012,32.86,0.017498528
06/09/2012,32.29,0.01560581
05/09/2012,31.79,0.002204378
04/09/2012,31.72,0.005690815
31/08/2012,31.54,-0.001900539
30/08/2012,31.6,-0.00315956
29/08/2012,31.7,0.005694416
28/08/2012,31.52,0.010524734
27/08/2012,31.19,0.00256822
24/08/2012,31.11,0.003219578
23/08/2012,31.01,-0.023267982
22/08/2012,31.74,0.002523661
21/08/2012,31.66,-0.005983328
20/08/2012,31.85,-0.003447739
17/08/2012,31.96,0.00564796
16/08/2012,31.78,-0.003141693
15/08/2012,31.88,0.010405265
14/08/2012,31.55,-0.001583532
13/08/2012,31.6,0.001266625
10/08/2012,31.56,-0.004426185
09/08/2012,31.7,0.003476066
08/08/2012,31.59,-0.002529246
07/08/2012,31.67,0.004747596
06/08/2012,31.52,-0.004115884
03/08/2012,31.65,0.018173623
02/08/2012,31.08,-0.00737301
01/08/2012,31.31,-0.001914487
31/07/2012,31.37,-0.010780066
30/07/2012,31.71,-0.021526334
27/07/2012,32.4,0.00992564
26/07/2012,32.08,0.013494634
25/07/2012,31.65,0.000632111
24/07/2012,31.63,0.004436002
23/07/2012,31.49,-0.006015532
20/07/2012,31.68,-0.010050336
19/07/2012,32,0.012262377
18/07/2012,31.61,-0.008505328
17/07/2012,31.88,0.013579871
16/07/2012,31.45,-0.001588563
13/07/2012,31.5,0.023122417
12/07/2012,30.78,-0.007122076
11/07/2012,31,0.010702226
10/07/2012,30.67,-0.005527571
09/07/2012,30.84,-0.00356045
06/07/2012,30.95,0.001616815
05/07/2012,30.9,-0.008058061
03/07/2012,31.15,0.001284934
02/07/2012,31.11,0.008392561
29/06/2012,30.85,0.021294826
28/06/2012,30.2,0.010317948
27/06/2012,29.89,0.015169682
26/06/2012,29.44,-0.005420067
25/06/2012,29.6,-0.026339246
22/06/2012,30.39,0.013916726
21/06/2012,29.97,-0.010290547
20/06/2012,30.28,0.000330306
19/06/2012,30.27,0.007294462
18/06/2012,30.05,0.007683352
15/06/2012,29.82,0.014865139
14/06/2012,29.38,0.01924458
13/06/2012,28.82,-0.006571008
12/06/2012,29.01,0.018438512
11/06/2012,28.48,-0.018438512
08/06/2012,29.01,0.016333986
07/06/2012,28.54,0.005269642
06/06/2012,28.39,0.019204004
05/06/2012,27.85,0.007568967
04/06/2012,27.64,-0.025363031
01/06/2012,28.35,-0.063876927
31/05/2012,30.22,0.001987414
30/05/2012,30.16,-0.015789802
29/05/2012,30.64,0.006877381
25/05/2012,30.43,0.005602256
24/05/2012,30.26,0.003973515
