Date,Close,STJ
13/02/2013,42.84,0.005617992
12/02/2013,42.6,-0.007716629
11/02/2013,42.93,0.007716629
08/02/2013,42.6,0.009197093
07/02/2013,42.21,-0.006376217
06/02/2013,42.48,0.017094433
05/02/2013,41.76,0.02227695
04/02/2013,40.84,-0.008047842
01/02/2013,41.17,0.011481743
31/01/2013,40.7,-0.002699057
30/01/2013,40.81,-0.014595248
29/01/2013,41.41,0.014840316
28/01/2013,40.8,-0.001958864
25/01/2013,40.88,0.023763494
24/01/2013,39.92,0.00754341
23/01/2013,39.62,-0.001261193
22/01/2013,39.67,0.005561187
18/01/2013,39.45,0.005592287
17/01/2013,39.23,0.01748566
16/01/2013,38.55,0.004159091
15/01/2013,38.39,-0.011911068
14/01/2013,38.85,0.014519311
11/01/2013,38.29,0.003400919
10/01/2013,38.16,0.02279452
09/01/2013,37.3,0.003491342
08/01/2013,37.17,-0.007237667
07/01/2013,37.44,0.009931634
04/01/2013,37.07,0.008125722
03/01/2013,36.77,0.004360868
02/01/2013,36.61,0.012921142
31/12/2012,36.14,0.018713016
28/12/2012,35.47,-0.011214023
27/12/2012,35.87,-0.005837404
26/12/2012,36.08,-0.00221484
24/12/2012,36.16,-0.002209946
21/12/2012,36.24,-0.008517705
20/12/2012,36.55,0.011004238
19/12/2012,36.15,0.002492731
18/12/2012,36.06,0.009473462
17/12/2012,35.72,0.010412364
14/12/2012,35.35,-0.001130902
13/12/2012,35.39,-0.003948116
12/12/2012,35.53,0.004230721
11/12/2012,35.38,0.003113944
10/12/2012,35.27,0.008828193
07/12/2012,34.96,0.012376039
06/12/2012,34.53,0.000579374
05/12/2012,34.51,0.008731138
04/12/2012,34.21,0.017099473
03/12/2012,33.63,-0.019143568
30/11/2012,34.28,0.017361036
29/11/2012,33.69,0.0237284
28/11/2012,32.9,0.021506205
27/11/2012,32.2,0.010615148
26/11/2012,31.86,-0.005321659
23/11/2012,32.03,0.020820941
21/11/2012,31.37,-0.129578739
20/11/2012,35.71,-0.001119508
19/11/2012,35.75,0.020345432
16/11/2012,35.03,-0.016140801
15/11/2012,35.6,0.006481635
14/11/2012,35.37,-0.017099225
13/11/2012,35.98,-0.011330783
12/11/2012,36.39,-0.016894135
09/11/2012,37.01,0.003789934
08/11/2012,36.87,-0.01373759
07/11/2012,37.38,-0.034703798
06/11/2012,38.7,-0.000258365
05/11/2012,38.71,0.005180017
02/11/2012,38.51,-0.006728804
01/11/2012,38.77,0.013241788
31/10/2012,38.26,-0.000783801
26/10/2012,38.29,0.000522466
25/10/2012,38.27,-0.036936746
24/10/2012,39.71,0.015736365
23/10/2012,39.09,-0.019255725
22/10/2012,39.85,0.008821733
19/10/2012,39.5,-0.006057565
18/10/2012,39.74,-0.027548584
17/10/2012,40.85,-0.049896971
16/10/2012,42.94,0.008419133
15/10/2012,42.58,-0.000234824
12/10/2012,42.59,-0.002345217
11/10/2012,42.69,0.006580517
10/10/2012,42.41,0.002124396
09/10/2012,42.32,-0.023123768
08/10/2012,43.31,-0.008735688
05/10/2012,43.69,0.006429414
04/10/2012,43.41,0.013684546
03/10/2012,42.82,0.007265941
02/10/2012,42.51,0.006371703
01/10/2012,42.24,0.002607563
28/09/2012,42.13,-0.006388286
27/09/2012,42.4,0.009240677
26/09/2012,42.01,-0.004512536
25/09/2012,42.2,-0.018779895
24/09/2012,43,-0.000697431
21/09/2012,43.03,0.004425301
20/09/2012,42.84,-0.003262646
19/09/2012,42.98,0.001863065
