Date,Close,EXPE
28/08/2012,52.88,0.013325916
27/08/2012,52.18,-0.016724069
24/08/2012,53.06,0.012135151
23/08/2012,52.42,0.013443644
22/08/2012,51.72,0.002129102
21/08/2012,51.61,-0.015954207
20/08/2012,52.44,0.015760465
17/08/2012,51.62,-0.011556369
16/08/2012,52.22,-0.013126794
15/08/2012,52.91,0.0114048
14/08/2012,52.31,-0.028643375
13/08/2012,53.83,-0.011268245
10/08/2012,54.44,-0.027537972
09/08/2012,55.96,-0.003211421
08/08/2012,56.14,-0.047483052
07/08/2012,58.87,0.007673326
06/08/2012,58.42,0.016743293
03/08/2012,57.45,0.011378679
02/08/2012,56.8,0.007067167
01/08/2012,56.4,-0.010406655
31/07/2012,56.99,0.015383559
30/07/2012,56.12,0.021978907
27/07/2012,54.9,0.183196256
26/07/2012,45.71,0.032461721
25/07/2012,44.25,-0.045718462
24/07/2012,46.32,-0.001294499
23/07/2012,46.38,-0.015404669
20/07/2012,47.1,-0.009719071
19/07/2012,47.56,0.021465068
18/07/2012,46.55,0.013408505
17/07/2012,45.93,0.015579031
16/07/2012,45.22,-0.00990216
13/07/2012,45.67,0.035889286
12/07/2012,44.06,-0.034574649
11/07/2012,45.61,-0.002408848
10/07/2012,45.72,-0.037562094
09/07/2012,47.47,-0.005252665
06/07/2012,47.72,-0.012701889
05/07/2012,48.33,-0.007010338
03/07/2012,48.67,-0.010627527
02/07/2012,49.19,0.023032069
29/06/2012,48.07,0.039462057
28/06/2012,46.21,-0.008618886
27/06/2012,46.61,0.004515651
26/06/2012,46.4,0.003237995
25/06/2012,46.25,-0.037764352
22/06/2012,48.03,0.004172758
21/06/2012,47.83,-0.002505744
20/06/2012,47.95,-0.01119879
19/06/2012,48.49,-0.029865094
18/06/2012,49.96,-0.001799821
15/06/2012,50.05,0.051661415
14/06/2012,47.53,0.002106151
13/06/2012,47.43,-0.027039917
12/06/2012,48.73,0.014677266
11/06/2012,48.02,0.003546473
08/06/2012,47.85,0.03877776
07/06/2012,46.03,-0.014236651
06/06/2012,46.69,0.032875498
05/06/2012,45.18,0.005548788
04/06/2012,44.93,0.006251416
01/06/2012,44.65,-0.027392921
31/05/2012,45.89,0.00941441
30/05/2012,45.46,0.003525786
29/05/2012,45.3,0.00909198
