Date,Close,PWR
06/01/2012,21.72,-0.007339482
05/01/2012,21.88,0.012416807
04/01/2012,21.61,0.002316424
03/01/2012,21.56,0.000928074
30/12/2011,21.54,-0.001855288
29/12/2011,21.58,0.00697515
28/12/2011,21.43,-0.015281613
27/12/2011,21.76,-0.004585061
23/12/2011,21.86,0.008268306
22/12/2011,21.68,0.027117136
21/12/2011,21.1,-0.004256332
20/12/2011,21.19,0.033104486
19/12/2011,20.5,-0.019802627
16/12/2011,20.91,0.031085553
15/12/2011,20.27,0.016915826
14/12/2011,19.93,-0.014940517
13/12/2011,20.23,-0.022000398
12/12/2011,20.68,-0.010103526
09/12/2011,20.89,0.034578561
08/12/2011,20.18,-0.032182202
07/12/2011,20.84,-0.001917546
06/12/2011,20.88,-0.005254371
05/12/2011,20.99,0.016330814
02/12/2011,20.65,-0.000968054
01/12/2011,20.67,0.003877853
30/11/2011,20.59,0.057472722
29/11/2011,19.44,-0.017843961
28/11/2011,19.79,0.0476034
25/11/2011,18.87,0.006379607
23/11/2011,18.75,-0.02163102
22/11/2011,19.16,0.005232874
21/11/2011,19.06,-0.015617184
18/11/2011,19.36,-0.004123717
17/11/2011,19.44,-0.013793322
16/11/2011,19.71,0.026736811
15/11/2011,19.19,0.022129459
14/11/2011,18.77,-0.020564922
11/11/2011,19.16,0.011548685
10/11/2011,18.94,-0.036292215
09/11/2011,19.64,-0.064570343
08/11/2011,20.95,-0.003335719
07/11/2011,21.02,-0.041468788
04/11/2011,21.91,-0.023901927
03/11/2011,22.44,0.013007584
02/11/2011,22.15,0.110137395
01/11/2011,19.84,-0.051570474
31/10/2011,20.89,-0.037580749
28/10/2011,21.69,0.003695154
27/10/2011,21.61,0.049322467
26/10/2011,20.57,0.013212818
25/10/2011,20.3,-0.024332101
24/10/2011,20.8,0.019908402
21/10/2011,20.39,0.033918463
20/10/2011,19.71,-0.001014199
19/10/2011,19.73,-0.015589956
18/10/2011,20.04,0.02526663
17/10/2011,19.54,-0.026264136
14/10/2011,20.06,0.017601661
13/10/2011,19.71,-0.018100042
