Date,Close,NEE
02/03/2012,59.8,-0.00016721
01/03/2012,59.81,0.005028505
29/02/2012,59.51,-0.016168366
28/02/2012,60.48,-0.00560595
27/02/2012,60.82,0.000822436
24/02/2012,60.77,0.009257795
23/02/2012,60.21,0.00049838
22/02/2012,60.18,-0.003814583
21/02/2012,60.41,0.003150131
17/02/2012,60.22,-0.003481147
16/02/2012,60.43,0.007641233
15/02/2012,59.97,-0.006813487
14/02/2012,60.38,0.005646918
13/02/2012,60.04,-0.005315627
10/02/2012,60.36,0.001160381
09/02/2012,60.29,-0.000994695
08/02/2012,60.35,0.002820876
07/02/2012,60.18,0.003495634
06/02/2012,59.97,-0.003994014
03/02/2012,60.21,0.001662234
02/02/2012,60.11,0.002665336
01/02/2012,59.95,0.001669449
31/01/2012,59.85,-0.001335782
30/01/2012,59.93,0.000166875
27/01/2012,59.92,0.004180958
26/01/2012,59.67,-0.006348167
25/01/2012,60.05,0.01442494
24/01/2012,59.19,-0.00286799
23/01/2012,59.36,0.000842673
20/01/2012,59.31,0.008806153
19/01/2012,58.79,-0.01200454
18/01/2012,59.5,0.005899722
17/01/2012,59.15,0.000507314
13/01/2012,59.12,-0.004556585
12/01/2012,59.39,0.003035415
11/01/2012,59.21,-0.000675333
10/01/2012,59.25,0.004397842
09/01/2012,58.99,0.001187346
06/01/2012,58.92,-0.010635704
05/01/2012,59.55,0.012674441
04/01/2012,58.8,-0.002547772
03/01/2012,58.95,-0.032215087
30/12/2011,60.88,-0.003279767
29/12/2011,61.08,0.006735138
28/12/2011,60.67,-0.001646904
27/12/2011,60.77,0.008593674
23/12/2011,60.25,0.0088356
22/12/2011,59.72,0.000670017
21/12/2011,59.68,0.01587603
20/12/2011,58.74,0.020466791
19/12/2011,57.55,-0.00554498
16/12/2011,57.87,-0.000690966
15/12/2011,57.91,0.012860796
14/12/2011,57.17,-0.003666525
13/12/2011,57.38,0.006819997
12/12/2011,56.99,-0.008561247
09/12/2011,57.48,0.015074782
08/12/2011,56.62,-0.008091513
07/12/2011,57.08,0.005269642
06/12/2011,56.78,0.004766537
05/12/2011,56.51,0.013360847
02/12/2011,55.76,0.003233342
01/12/2011,55.58,0.002522069
30/11/2011,55.44,0.018937201
