Date,Close,QEP
20/02/2013,29.98,-0.021122898
19/02/2013,30.62,0.024129414
15/02/2013,29.89,0.002344667
14/02/2013,29.82,-0.010010094
13/02/2013,30.12,0.012696462
12/02/2013,29.74,0.007763752
11/02/2013,29.51,-0.004732936
08/02/2013,29.65,0.002701792
07/02/2013,29.57,-0.002701792
06/02/2013,29.65,-0.005046268
05/02/2013,29.8,0.00842465
04/02/2013,29.55,-0.008089023
01/02/2013,29.79,0.01488022
31/01/2013,29.35,-0.009832254
30/01/2013,29.64,-0.017391743
29/01/2013,30.16,0.032005427
28/01/2013,29.21,-0.020332791
25/01/2013,29.81,0.009437212
24/01/2013,29.53,0
23/01/2013,29.53,-0.016123964
22/01/2013,30.01,0.006686752
18/01/2013,29.81,-0.009348983
17/01/2013,30.09,0.011363759
16/01/2013,29.75,0.002692698
15/01/2013,29.67,0.012548918
14/01/2013,29.3,-0.004766778
11/01/2013,29.44,-0.000339616
10/01/2013,29.45,0.00203943
09/01/2013,29.39,-0.009818938
08/01/2013,29.68,-0.003363609
07/01/2013,29.78,-0.052014995
04/01/2013,31.37,0.014125436
03/01/2013,30.93,0.010073196
02/01/2013,30.62,0.011496267
31/12/2012,30.27,0.022044981
28/12/2012,29.61,-0.017741051
27/12/2012,30.14,0.00732604
26/12/2012,29.92,-0.004002674
24/12/2012,30.04,-0.009277734
21/12/2012,30.32,-0.006246938
20/12/2012,30.51,0.005587525
19/12/2012,30.34,-0.02055202
18/12/2012,30.97,0.027165801
17/12/2012,30.14,0.015716759
14/12/2012,29.67,-0.007722046
13/12/2012,29.9,-0.002004678
12/12/2012,29.96,0.008716113
11/12/2012,29.7,0.002022245
10/12/2012,29.64,-0.010404524
07/12/2012,29.95,0.002339964
06/12/2012,29.88,0.010767264
05/12/2012,29.56,0.036518009
04/12/2012,28.5,-0.000701508
03/12/2012,28.52,0.014124529
30/11/2012,28.12,-0.003195458
29/11/2012,28.21,0.00212917
28/11/2012,28.15,-0.00531445
27/11/2012,28.3,-0.010195202
26/11/2012,28.59,-0.003491624
23/11/2012,28.69,0.002093511
21/11/2012,28.63,0.032300945
20/11/2012,27.72,0.003252035
19/11/2012,27.63,0.035362801
16/11/2012,26.67,-0.008215132
15/11/2012,26.89,-0.011094788
14/11/2012,27.19,-0.023265317
13/11/2012,27.83,-0.01285273
12/11/2012,28.19,-0.012689631
09/11/2012,28.55,-0.003496507
08/11/2012,28.65,0.008764298
07/11/2012,28.4,-0.022285045
06/11/2012,29.04,0.017017254
05/11/2012,28.55,-0.000350201
02/11/2012,28.56,-0.028307033
