Date,Close,VTR
17/01/2012,55.5,0.00995934
13/01/2012,54.95,0.010059527
12/01/2012,54.4,-0.004768027
11/01/2012,54.66,0.004951867
10/01/2012,54.39,0.013139821
09/01/2012,53.68,-0.000372509
06/01/2012,53.7,-0.004459316
05/01/2012,53.94,0.002598851
04/01/2012,53.8,-0.032729862
03/01/2012,55.59,0.008309296
30/12/2011,55.13,-0.003078876
29/12/2011,55.3,0.005985327
28/12/2011,54.97,-0.007250349
27/12/2011,55.37,0.00779625
23/12/2011,54.94,0.00785751
22/12/2011,54.51,0.012367486
21/12/2011,53.84,0.003535216
20/12/2011,53.65,0.028165551
19/12/2011,52.16,-0.014087421
16/12/2011,52.9,0.000945627
15/12/2011,52.85,0.022386853
14/12/2011,51.68,0.015207936
13/12/2011,50.9,-0.021380795
12/12/2011,52,-0.026567027
09/12/2011,53.4,0.019476838
08/12/2011,52.37,-0.014972326
07/12/2011,53.16,0.013255259
06/12/2011,52.46,0.01614178
05/12/2011,51.62,0.007388717
02/12/2011,51.24,-0.008743862
01/12/2011,51.69,-0.020488989
30/11/2011,52.76,0.047152007
29/11/2011,50.33,-0.00218319
28/11/2011,50.44,0.017398699
25/11/2011,49.57,0.007492189
23/11/2011,49.2,-0.028650662
22/11/2011,50.63,-0.003745692
21/11/2011,50.82,-0.030807435
18/11/2011,52.41,0.018292606
17/11/2011,51.46,-0.025327524
16/11/2011,52.78,-0.008301934
15/11/2011,53.22,0.008870493
14/11/2011,52.75,-0.028223535
11/11/2011,54.26,0.028792417
10/11/2011,52.72,0.007042953
09/11/2011,52.35,-0.045738257
08/11/2011,54.8,0.010824801
07/11/2011,54.21,-0.001658834
04/11/2011,54.3,-0.012627124
03/11/2011,54.99,0.012258867
02/11/2011,54.32,0.01353
01/11/2011,53.59,-0.037000558
31/10/2011,55.61,-0.00770268
28/10/2011,56.04,0.024750609
27/10/2011,54.67,0.026129533
26/10/2011,53.26,0.004327789
25/10/2011,53.03,-0.020900182
24/10/2011,54.15,0.020900182
21/10/2011,53.03,0.026174003
20/10/2011,51.66,0.002907824
19/10/2011,51.51,0.007795791
18/10/2011,51.11,0.035853273
17/10/2011,49.31,-0.02779901
14/10/2011,50.7,0.028610534
13/10/2011,49.27,-0.016506011
12/10/2011,50.09,0.005204175
11/10/2011,49.83,-0.025949758
10/10/2011,51.14,0.055273789
07/10/2011,48.39,-0.013139175
06/10/2011,49.03,0.011487306
05/10/2011,48.47,0.005793519
04/10/2011,48.19,0.010220133
03/10/2011,47.7,-0.035019026
30/09/2011,49.4,-0.014270165
29/09/2011,50.11,0.014675105
28/09/2011,49.38,-0.029334639
27/09/2011,50.85,0.017257197
26/09/2011,49.98,0.023892613
23/09/2011,48.8,-0.006535971
22/09/2011,49.12,-0.026518227
21/09/2011,50.44,-0.053837636
20/09/2011,53.23,0.010576114
19/09/2011,52.67,-0.022527703
16/09/2011,53.87,0.030533846
15/09/2011,52.25,0.020105065
14/09/2011,51.21,0.003717113
13/09/2011,51.02,0.000196021
12/09/2011,51.01,0.000784468
09/09/2011,50.97,-0.052920379
08/09/2011,53.74,-0.010182445
07/09/2011,54.29,0.045406688
06/09/2011,51.88,0.01085282
02/09/2011,51.32,-0.023684558
01/09/2011,52.55,-0.017542655
31/08/2011,53.48,0.014312862
30/08/2011,52.72,0.000948857
29/08/2011,52.67,0.032220401
