Date,Close,IPG
07/05/2012,11.44,-0.005231049
04/05/2012,11.5,-0.022356907
03/05/2012,11.76,-0.011834458
02/05/2012,11.9,-0.005029348
01/05/2012,11.96,0.012621118
30/04/2012,11.81,0.006796968
27/04/2012,11.73,-0.00255428
26/04/2012,11.76,0.056858339
25/04/2012,11.11,0.020919362
24/04/2012,10.88,0.015748357
23/04/2012,10.71,-0.014828817
20/04/2012,10.87,0.000920387
19/04/2012,10.86,0.003690041
18/04/2012,10.82,-0.015589495
17/04/2012,10.99,0.020221277
16/04/2012,10.77,-0.000928074
13/04/2012,10.78,-0.020202707
12/04/2012,11,0.026717388
11/04/2012,10.71,0.016949558
10/04/2012,10.53,-0.022536165
09/04/2012,10.77,-0.015661306
05/04/2012,10.94,-0.002738477
04/04/2012,10.97,-0.010879527
03/04/2012,11.09,-0.006292156
02/04/2012,11.16,-0.022154207
30/03/2012,11.41,0.004391751
29/03/2012,11.36,-0.013986242
28/03/2012,11.52,-0.012079526
27/03/2012,11.66,0.012079526
26/03/2012,11.52,0.013106348
23/03/2012,11.37,-0.004387896
22/03/2012,11.42,-0.008718451
21/03/2012,11.52,-0.010362787
20/03/2012,11.64,-0.027120306
19/03/2012,11.96,0.013468217
16/03/2012,11.8,-0.002539147
15/03/2012,11.83,-0.004217636
14/03/2012,11.88,-0.007547206
13/03/2012,11.97,0.011764842
12/03/2012,11.83,0.002539147
09/03/2012,11.8,0.00254561
08/03/2012,11.77,0.030187717
07/03/2012,11.42,0.002630427
06/03/2012,11.39,-0.0251422
05/03/2012,11.68,0.009462436
02/03/2012,11.57,-0.006031901
01/03/2012,11.64,-0.006849342
29/02/2012,11.72,-0.000852879
28/02/2012,11.73,-0.006796968
27/02/2012,11.81,0.016218879
24/02/2012,11.62,0.063047952
23/02/2012,10.91,0.007359739
22/02/2012,10.83,-0.008275909
21/02/2012,10.92,0.008275909
17/02/2012,10.83,-0.009191241
16/02/2012,10.93,0.011039671
15/02/2012,10.81,0.01022789
14/02/2012,10.7,-0.004662013
13/02/2012,10.75,0.001862198
10/02/2012,10.73,-0.007428075
09/02/2012,10.81,-0.003693448
08/02/2012,10.85,-0.001841621
07/02/2012,10.87,-0.00091954
06/02/2012,10.88,0.001839927
03/02/2012,10.86,0.025176155
02/02/2012,10.59,0.000944733
01/02/2012,10.58,0.023913143
31/01/2012,10.33,-0.011549695
30/01/2012,10.45,0.024214258
27/01/2012,10.2,-0.004889985
26/01/2012,10.25,-0.022190973
25/01/2012,10.48,0.003824096
24/01/2012,10.44,-0.000957396
23/01/2012,10.45,-0.006676229
20/01/2012,10.52,-0.014157858
19/01/2012,10.67,0.007525906
18/01/2012,10.59,-0.009398565
17/01/2012,10.69,0.015080399
13/01/2012,10.53,-0.005681833
12/01/2012,10.59,0.012351701
11/01/2012,10.46,-0.012351701
10/01/2012,10.59,0.016183123
09/01/2012,10.42,0.008674753
06/01/2012,10.33,0.006799443
05/01/2012,10.26,0.00881063
04/01/2012,10.17,0.000983768
03/01/2012,10.16,0.043244546
30/12/2011,9.73,0.00411947
29/12/2011,9.69,0.022965519
28/12/2011,9.47,-0.022965519
27/12/2011,9.69,0
23/12/2011,9.69,0.017699577
22/12/2011,9.52,0.011621895
21/12/2011,9.41,0.003193191
20/12/2011,9.38,0.038027396
19/12/2011,9.03,-0.006622541
16/12/2011,9.09,0
15/12/2011,9.09,0.021123631
14/12/2011,8.9,-0.046111352
13/12/2011,9.32,-0.014909754
