Date,Close,LH
20/11/2012,82.63,-0.012268617
19/11/2012,83.65,0.015055991
16/11/2012,82.4,-0.007977801
15/11/2012,83.06,0.007128647
14/11/2012,82.47,-0.01683339
13/11/2012,83.87,-0.005943907
12/11/2012,84.37,-0.000829335
09/11/2012,84.44,0.002133966
08/11/2012,84.26,-0.007684615
07/11/2012,84.91,-0.018783729
06/11/2012,86.52,0.002430135
05/11/2012,86.31,0.012122773
02/11/2012,85.27,-0.000820585
01/11/2012,85.34,0.007173548
31/10/2012,84.73,-0.002593118
26/10/2012,84.95,-0.007856053
25/10/2012,85.62,0.004682753
24/10/2012,85.22,0.000352092
23/10/2012,85.19,-0.015375958
22/10/2012,86.51,-0.001386162
19/10/2012,86.63,-0.02485308
18/10/2012,88.81,-0.015641029
17/10/2012,90.21,-0.030136575
16/10/2012,92.97,-0.00664668
15/10/2012,93.59,0.009231495
12/10/2012,92.73,-0.006020876
11/10/2012,93.29,0.009044963
10/10/2012,92.45,-0.00474804
09/10/2012,92.89,-0.012091528
08/10/2012,94.02,0.005973988
05/10/2012,93.46,-0.001924105
04/10/2012,93.64,0.011276498
03/10/2012,92.59,-0.000755736
02/10/2012,92.66,-0.004200103
01/10/2012,93.05,0.006252715
28/09/2012,92.47,0.009343832
27/09/2012,91.61,0.013517432
26/09/2012,90.38,-0.008922238
25/09/2012,91.19,-0.00240964
24/09/2012,91.41,-0.001858026
21/09/2012,91.58,0.00965555
20/09/2012,90.7,-0.00549754
19/09/2012,91.2,-0.000657678
18/09/2012,91.26,-0.000438212
17/09/2012,91.3,0.003401177
14/09/2012,90.99,0.005841846
13/09/2012,90.46,0.016945779
12/09/2012,88.94,-0.000562019
11/09/2012,88.99,0.00067446
10/09/2012,88.93,0.001575512
07/09/2012,88.79,-0.007964594
06/09/2012,89.5,0.007626775
05/09/2012,88.82,0.006324846
04/09/2012,88.26,0.003518533
31/08/2012,87.95,0.005929998
30/08/2012,87.43,-0.010128109
29/08/2012,88.32,0.000226475
28/08/2012,88.3,-0.002262444
27/08/2012,88.5,-0.003834447
24/08/2012,88.84,0.015083926
23/08/2012,87.51,-0.00649242
22/08/2012,88.08,-0.004870048
21/08/2012,88.51,-0.00608247
20/08/2012,89.05,0.000449287
17/08/2012,89.01,-0.001010612
16/08/2012,89.1,0.006756782
15/08/2012,88.5,-0.000790648
14/08/2012,88.57,0.001129688
13/08/2012,88.47,-0.000339041
10/08/2012,88.5,0.000678196
09/08/2012,88.44,-0.006312014
