Date,Close,VFC
04/05/2012,148.61,-0.032831064
03/05/2012,153.57,-0.013838814
02/05/2012,155.71,0.015468062
01/05/2012,153.32,0.008317826
30/04/2012,152.05,-0.014041047
27/04/2012,154.2,0.001297859
26/04/2012,154,0.031195856
25/04/2012,149.27,0.015256135
24/04/2012,147.01,-0.020934363
23/04/2012,150.12,-0.006043518
20/04/2012,151.03,0.01259303
19/04/2012,149.14,0.000939156
18/04/2012,149,-0.006688988
17/04/2012,150,0.006957481
16/04/2012,148.96,-0.000536913
13/04/2012,149.04,0.015688718
12/04/2012,146.72,0.009587801
11/04/2012,145.32,0.005520301
10/04/2012,144.52,-0.029453997
09/04/2012,148.84,-0.010027492
05/04/2012,150.34,0.01110305
04/04/2012,148.68,-0.007638228
03/04/2012,149.82,0.004482063
02/04/2012,149.15,0.021482885
30/03/2012,145.98,-0.016845936
29/03/2012,148.46,-0.002690705
28/03/2012,148.86,-0.013080806
27/03/2012,150.82,-0.003507963
26/03/2012,151.35,0.029162449
23/03/2012,147,-0.013446603
22/03/2012,148.99,0.000335649
21/03/2012,148.94,0.001276496
20/03/2012,148.75,0.00579829
19/03/2012,147.89,0.001150164
16/03/2012,147.72,0.000609446
15/03/2012,147.63,0.00441262
14/03/2012,146.98,-0.009951678
13/03/2012,148.45,0.011449602
12/03/2012,146.76,0.00656278
09/03/2012,145.8,-0.003765194
08/03/2012,146.35,0.009405211
07/03/2012,144.98,0.000897078
06/03/2012,144.85,-0.014393669
05/03/2012,146.95,-0.002107339
02/03/2012,147.26,0.000135823
01/03/2012,147.24,0.00811488
29/02/2012,146.05,-0.009675736
28/02/2012,147.47,-0.004195432
27/02/2012,148.09,0.011340993
24/02/2012,146.42,0.0176386
23/02/2012,143.86,-0.006167512
22/02/2012,144.75,-0.000621568
21/02/2012,144.84,-0.01514298
17/02/2012,147.05,-0.005898922
16/02/2012,147.92,0.032080231
15/02/2012,143.25,-0.002649193
14/02/2012,143.63,0.0061457
13/02/2012,142.75,0.012193124
10/02/2012,141.02,-0.009246581
09/02/2012,142.33,0.019152238
08/02/2012,139.63,0.029507955
07/02/2012,135.57,0.020945125
06/02/2012,132.76,-0.004734181
03/02/2012,133.39,0.026050457
02/02/2012,129.96,-0.004912506
01/02/2012,130.6,-0.006791586
31/01/2012,131.49,0.00373348
30/01/2012,131,0.001451435
27/01/2012,130.81,-0.005565099
26/01/2012,131.54,-0.020169257
25/01/2012,134.22,0.012444872
24/01/2012,132.56,0.00173657
23/01/2012,132.33,-0.009027369
20/01/2012,133.53,0.003300581
19/01/2012,133.09,-0.001351554
18/01/2012,133.27,0.004512304
17/01/2012,132.67,0.005517568
13/01/2012,131.94,-0.007926664
12/01/2012,132.99,0.00959548
11/01/2012,131.72,-0.017086713
10/01/2012,133.99,-0.006472033
09/01/2012,134.86,0.008863127
06/01/2012,133.67,-0.011455049
05/01/2012,135.21,-0.001256514
04/01/2012,135.38,0.043092878
03/01/2012,129.67,0.020884418
30/12/2011,126.99,-0.013142644
29/12/2011,128.67,-0.002716444
28/12/2011,129.02,-0.01186546
27/12/2011,130.56,0.01194297
23/12/2011,129.01,0.018541505
22/12/2011,126.64,-0.013568304
21/12/2011,128.37,-0.006212647
20/12/2011,129.17,-0.002474292
19/12/2011,129.49,0.007830408
16/12/2011,128.48,-0.013528868
15/12/2011,130.23,-0.001304532
14/12/2011,130.4,-0.009084379
13/12/2011,131.59,-0.02883771
12/12/2011,135.44,-0.008894175
09/12/2011,136.65,0.011481689
08/12/2011,135.09,-0.020224914
07/12/2011,137.85,-0.009817447
06/12/2011,139.21,-0.00744296
05/12/2011,140.25,0.012050931
02/12/2011,138.57,0.003759675
01/12/2011,138.05,-0.004625288
30/11/2011,138.69,0.03268648
29/11/2011,134.23,-0.001563256
28/11/2011,134.44,0.062933146
25/11/2011,126.24,-0.014392132
23/11/2011,128.07,-0.002495517
22/11/2011,128.39,-0.000934216
21/11/2011,128.51,-0.024899465
18/11/2011,131.75,-0.00936775
17/11/2011,132.99,-0.009802166
16/11/2011,134.3,-0.013974866
15/11/2011,136.19,0.003309678
14/11/2011,135.74,-0.003015928
11/11/2011,136.15,0.024160253
10/11/2011,132.9,0.014018036
09/11/2011,131.05,-0.036781795
08/11/2011,135.96,0.004275086
07/11/2011,135.38,-0.011603273
04/11/2011,136.96,-0.029354626
03/11/2011,141.04,0.014138043
02/11/2011,139.06,0.025933854
01/11/2011,135.5,-0.019874978
31/10/2011,138.22,-0.014009353
28/10/2011,140.17,0.008525934
27/10/2011,138.98,0.036938099
26/10/2011,133.94,0.007794973
25/10/2011,132.9,-0.030310965
24/10/2011,136.99,0.03189235
21/10/2011,132.69,0.007488972
20/10/2011,131.7,0.02164487
19/10/2011,128.88,-0.022859015
18/10/2011,131.86,0.008377172
17/10/2011,130.76,-0.024103014
14/10/2011,133.95,0.01731971
13/10/2011,131.65,0.006783304
12/10/2011,130.76,-0.004578064
11/10/2011,131.36,-0.012557847
10/10/2011,133.02,0.026973064
07/10/2011,129.48,0.005964617
06/10/2011,128.71,0.019852353
05/10/2011,126.18,0.020416225
04/10/2011,123.63,0.044745939
03/10/2011,118.22,-0.027531563
30/09/2011,121.52,-0.032704874
29/09/2011,125.56,-0.006113799
28/09/2011,126.33,-0.030634922
27/09/2011,130.26,0.022750312
26/09/2011,127.33,0.017748663
23/09/2011,125.09,0.051844628
22/09/2011,118.77,-0.018436393
21/09/2011,120.98,-0.045644206
20/09/2011,126.63,-0.00071048
19/09/2011,126.72,0.016229473
16/09/2011,124.68,0.004018329
15/09/2011,124.18,0.014846336
14/09/2011,122.35,0.026586518
13/09/2011,119.14,0.033369141
12/09/2011,115.23,0.01600874
09/09/2011,113.4,-0.027827883
08/09/2011,116.6,0.002834201
07/09/2011,116.27,0.034830262
06/09/2011,112.29,-0.002312757
02/09/2011,112.55,-0.026565364
01/09/2011,115.58,-0.012723693
31/08/2011,117.06,-0.000512426
30/08/2011,117.12,0.002307989
29/08/2011,116.85,0.024078766
26/08/2011,114.07,0.030801794
25/08/2011,110.61,-0.025439851
24/08/2011,113.46,0.016618912
23/08/2011,111.59,0.056973932
22/08/2011,105.41,0.011449414
19/08/2011,104.21,-0.017313979
18/08/2011,106.03,-0.043192097
17/08/2011,110.71,-0.013279693
16/08/2011,112.19,-0.010286514
15/08/2011,113.35,0.019599737
12/08/2011,111.15,0.017333344
11/08/2011,109.24,0.047235167
10/08/2011,104.2,-0.046410954
09/08/2011,109.15,0.049486696
