Date,Close,SNDK
18/06/2012,36.83,-0.000542888
15/06/2012,36.85,0.035915462
14/06/2012,35.55,-0.013134183
13/06/2012,36.02,0.001945256
12/06/2012,35.95,0.037697534
11/06/2012,34.62,-0.023127369
08/06/2012,35.43,0.008503453
07/06/2012,35.13,0.001139277
06/06/2012,35.09,0.049060933
05/06/2012,33.41,0.053801202
04/06/2012,31.66,0.013674883
01/06/2012,31.23,-0.045995907
31/05/2012,32.7,-0.02774605
30/05/2012,33.62,-0.024387869
29/05/2012,34.45,0.021121348
25/05/2012,33.73,0.044869606
24/05/2012,32.25,-0.020562333
23/05/2012,32.92,0.009154779
22/05/2012,32.62,0.001841056
21/05/2012,32.56,0.032462276
18/05/2012,31.52,-0.025991756
17/05/2012,32.35,-0.033736675
16/05/2012,33.46,-0.046424918
15/05/2012,35.05,-0.020892911
14/05/2012,35.79,0.002517836
11/05/2012,35.7,0.003367007
10/05/2012,35.58,-0.012012995
09/05/2012,36.01,0.015109409
08/05/2012,35.47,-0.011771436
07/05/2012,35.89,-0.001392176
04/05/2012,35.94,-0.019016695
03/05/2012,36.63,-0.021872075
02/05/2012,37.44,0.001068947
01/05/2012,37.4,0.010752792
30/04/2012,37,-0.015554081
27/04/2012,37.58,0.00480129
26/04/2012,37.4,-0.005067353
25/04/2012,37.59,0.029699807
24/04/2012,36.49,0.002744239
23/04/2012,36.39,0.013278203
20/04/2012,35.91,-0.119545151
19/04/2012,40.47,-0.007140249
18/04/2012,40.76,-0.013161292
17/04/2012,41.3,0.00851069
16/04/2012,40.95,-0.003899591
13/04/2012,41.11,-0.025220503
12/04/2012,42.16,0.004755121
11/04/2012,41.96,-0.007124229
10/04/2012,42.26,-0.03350709
09/04/2012,43.7,-0.008884897
05/04/2012,44.09,-0.009480884
04/04/2012,44.51,-0.117308623
03/04/2012,50.05,0.009031672
02/04/2012,49.6,0.000201633
30/03/2012,49.59,-0.012624153
29/03/2012,50.22,-0.002585265
28/03/2012,50.35,0.004578489
27/03/2012,50.12,-0.007949167
26/03/2012,50.52,0.022418873
23/03/2012,49.4,-0.029912499
22/03/2012,50.9,-0.007632878
21/03/2012,51.29,0.026273116
20/03/2012,49.96,-0.005389773
19/03/2012,50.23,-0.000398089
16/03/2012,50.25,0.011005614
15/03/2012,49.7,0.000603804
14/03/2012,49.67,-0.021116322
13/03/2012,50.73,0.017498955
12/03/2012,49.85,-0.007992051
09/03/2012,50.25,0.020710502
08/03/2012,49.22,0.015148703
07/03/2012,48.48,-0.001442853
06/03/2012,48.55,-0.034217327
05/03/2012,50.24,-0.013247846
02/03/2012,50.91,0.007492149
01/03/2012,50.53,0.020998672
29/02/2012,49.48,-0.005843845
28/02/2012,49.77,0.011722042
27/02/2012,49.19,0.001016984
24/02/2012,49.14,0.005918989
23/02/2012,48.85,0.028445809
22/02/2012,47.48,-0.002734253
21/02/2012,47.61,-0.003773589
17/02/2012,47.79,-0.009164821
16/02/2012,48.23,0.011469211
15/02/2012,47.68,0.01457721
14/02/2012,46.99,0.007690702
13/02/2012,46.63,0.004082954
10/02/2012,46.44,-0.016232736
09/02/2012,47.2,0.007656354
08/02/2012,46.84,0.02005458
07/02/2012,45.91,-0.035309114
06/02/2012,47.56,0.00042061
03/02/2012,47.54,0.021259304
02/02/2012,46.54,0.001290045
01/02/2012,46.48,0.01299282
31/01/2012,45.88,-0.008896663
30/01/2012,46.29,-0.00881821
27/01/2012,46.7,0.006660246
26/01/2012,46.39,-0.120676978
25/01/2012,52.34,0.022216697
24/01/2012,51.19,-0.011845949
23/01/2012,51.8,-0.013232526
20/01/2012,52.49,-0.003613202
19/01/2012,52.68,0.01164691
18/01/2012,52.07,0.041366282
17/01/2012,49.96,0.001402103
13/01/2012,49.89,-0.011756636
12/01/2012,50.48,-0.001385727
11/01/2012,50.55,-0.004539631
10/01/2012,50.78,-0.000984155
09/01/2012,50.83,0.017864707
06/01/2012,49.93,0.016559344
05/01/2012,49.11,0.016631119
04/01/2012,48.3,0.014808906
03/01/2012,47.59,-0.0334742
30/12/2011,49.21,-0.004460672
29/12/2011,49.43,0.006291243
28/12/2011,49.12,-0.019754724
27/12/2011,50.1,-0.008348289
23/12/2011,50.52,0.017169517
22/12/2011,49.66,0.031086348
21/12/2011,48.14,-0.014436217
20/12/2011,48.84,0.040531974
19/12/2011,46.9,-0.021306575
16/12/2011,47.91,-0.00083455
15/12/2011,47.95,-0.008307421
14/12/2011,48.35,-0.030351653
13/12/2011,49.84,-0.004004811
12/12/2011,50.04,-0.006970057
09/12/2011,50.39,0.00977174
08/12/2011,49.9,-0.009374757
07/12/2011,50.37,0
06/12/2011,50.37,-0.010860014
05/12/2011,50.92,0.011853161
02/12/2011,50.32,0.009183534
01/12/2011,49.86,0.011092178
30/11/2011,49.31,0.066229939
29/11/2011,46.15,-0.03387266
28/11/2011,47.74,0.046739482
25/11/2011,45.56,-0.005035588
23/11/2011,45.79,-0.043169096
22/11/2011,47.81,0.007558298
21/11/2011,47.45,-0.026413098
18/11/2011,48.72,-0.016287005
17/11/2011,49.52,-0.030820612
16/11/2011,51.07,-0.004493512
15/11/2011,51.3,0.004297721
14/11/2011,51.08,-0.011290757
11/11/2011,51.66,0.044328587
10/11/2011,49.42,0.00710735
09/11/2011,49.07,-0.048722232
08/11/2011,51.52,-0.005806093
07/11/2011,51.82,0.00989051
04/11/2011,51.31,0.017696097
03/11/2011,50.41,0.025109283
02/11/2011,49.16,0.002851907
01/11/2011,49.02,-0.033105641
31/10/2011,50.67,-0.052102124
28/10/2011,53.38,0.026000136
27/10/2011,52.01,0.033232143
26/10/2011,50.31,0.00938599
25/10/2011,49.84,-0.021830595
24/10/2011,50.94,0.023437021
21/10/2011,49.76,0.089499122
20/10/2011,45.5,0.007057815
19/10/2011,45.18,-0.037576361
18/10/2011,46.91,0.020241863
17/10/2011,45.97,-0.017680495
14/10/2011,46.79,0.018551007
13/10/2011,45.93,0.032753536
12/10/2011,44.45,-0.000224947
11/10/2011,44.46,-0.010293221
10/10/2011,44.92,0.040432489
07/10/2011,43.14,-0.011752641
06/10/2011,43.65,0.019898852
05/10/2011,42.79,0.051305594
04/10/2011,40.65,0.043490579
03/10/2011,38.92,-0.036330938
30/09/2011,40.36,-0.006421361
29/09/2011,40.62,-0.02839652
28/09/2011,41.79,-0.033877622
27/09/2011,43.23,0.008362418
26/09/2011,42.87,0.01575206
23/09/2011,42.2,0.018656365
22/09/2011,41.42,-0.029732241
21/09/2011,42.67,0.000468823
20/09/2011,42.65,-0.023634094
19/09/2011,43.67,0.020590664
16/09/2011,42.78,-0.006988149
15/09/2011,43.08,0.009797139
14/09/2011,42.66,0.040909903
13/09/2011,40.95,0.022972481
12/09/2011,40.02,0.032764836
09/09/2011,38.73,0.005436907
08/09/2011,38.52,0.023375982
07/09/2011,37.63,0.056299019
06/09/2011,35.57,0.017870281
02/09/2011,34.94,-0.037358649
01/09/2011,36.27,-0.010422475
31/08/2011,36.65,-0.011933963
30/08/2011,37.09,-0.008055897
29/08/2011,37.39,0.071785902
26/08/2011,34.8,0.026497401
25/08/2011,33.89,-0.029939745
24/08/2011,34.92,0.016457712
23/08/2011,34.35,0.059369951
22/08/2011,32.37,-0.004008021
19/08/2011,32.5,-0.034475746
