Date,Close,BHI
25/01/2012,48.16,0.015063046
24/01/2012,47.44,-0.006094376
23/01/2012,47.73,-0.031958188
20/01/2012,49.28,0.01040295
19/01/2012,48.77,0.004315223
18/01/2012,48.56,0.017868749
17/01/2012,47.7,-0.006686193
13/01/2012,48.02,-0.005606909
12/01/2012,48.29,-0.03898971
11/01/2012,50.21,-0.034067507
10/01/2012,51.95,0.007147717
09/01/2012,51.58,0.00622328
06/01/2012,51.26,0.008620743
05/01/2012,50.82,-0.013874184
04/01/2012,51.53,0.00994645
03/01/2012,51.02,0.047771475
30/12/2011,48.64,0.009709817
29/12/2011,48.17,0.004786192
28/12/2011,47.94,-0.030809584
27/12/2011,49.44,-0.009060769
23/12/2011,49.89,0.00120337
22/12/2011,49.83,0.021706908
21/12/2011,48.76,0.015084489
20/12/2011,48.03,0.066720093
19/12/2011,44.93,-0.022012775
16/12/2011,45.93,0.02446403
15/12/2011,44.82,-0.025116985
14/12/2011,45.96,-0.040926428
13/12/2011,47.88,-0.01492565
12/12/2011,48.6,-0.036169212
09/12/2011,50.39,0.027972445
08/12/2011,49,-0.034500012
07/12/2011,50.72,-0.040190881
06/12/2011,52.8,-0.035352519
05/12/2011,54.7,0.019941577
02/12/2011,53.62,-0.029946208
01/12/2011,55.25,0.011651324
30/11/2011,54.61,0.067999303
29/11/2011,51.02,-0.004888073
28/11/2011,51.27,0.047942075
25/11/2011,48.87,-0.00224834
23/11/2011,48.98,-0.04608375
22/11/2011,51.29,-0.020838107
21/11/2011,52.37,-0.031575636
18/11/2011,54.05,-0.029352212
17/11/2011,55.66,-0.038245916
16/11/2011,57.83,0.020615685
15/11/2011,56.65,-0.011059535
14/11/2011,57.28,-0.015933832
11/11/2011,58.2,0.0166324
10/11/2011,57.24,0.026016864
09/11/2011,55.77,-0.062721379
08/11/2011,59.38,0.044421144
07/11/2011,56.8,0.011509645
04/11/2011,56.15,-0.012389539
03/11/2011,56.85,0.030722188
02/11/2011,55.13,0.029264995
01/11/2011,53.54,-0.079841544
31/10/2011,57.99,-0.048798376
28/10/2011,60.89,0.001972711
27/10/2011,60.77,0.073209653
26/10/2011,56.48,0.01912651
25/10/2011,55.41,-0.019657531
24/10/2011,56.51,0.036400415
21/10/2011,54.49,0.011814795
20/10/2011,53.85,-0.008321823
19/10/2011,54.3,-0.025814922
18/10/2011,55.72,0.04177962
17/10/2011,53.44,-0.058685441
14/10/2011,56.67,0.059808826
13/10/2011,53.38,-0.001871608
12/10/2011,53.48,0.004685605
11/10/2011,53.23,0.021457198
10/10/2011,52.1,0.05483527
07/10/2011,49.32,-0.004652582
06/10/2011,49.55,0.015047051
05/10/2011,48.81,0.076174626
04/10/2011,45.23,0.016945779
03/10/2011,44.47,-0.037082156
30/09/2011,46.15,-0.051520787
29/09/2011,48.59,-0.003492556
28/09/2011,48.76,-0.055253858
27/09/2011,51.53,0.012694243
26/09/2011,50.88,0.025277493
23/09/2011,49.61,-0.028613118
22/09/2011,51.05,-0.062271016
21/09/2011,54.33,-0.063122555
20/09/2011,57.87,0.002422147
19/09/2011,57.73,-0.024299621
16/09/2011,59.15,-0.007746755
15/09/2011,59.61,0.027380335
14/09/2011,58,0.004146516
13/09/2011,57.76,0.001039321
12/09/2011,57.7,0.01589692
09/09/2011,56.79,-0.040039861
08/09/2011,59.11,-0.021423413
07/09/2011,60.39,0.047995646
06/09/2011,57.56,-0.012259499
02/09/2011,58.27,-0.026419826
01/09/2011,59.83,-0.021168312
31/08/2011,61.11,0.026363128
30/08/2011,59.52,0.012340618
29/08/2011,58.79,0.038139481
26/08/2011,56.59,0.042044984
25/08/2011,54.26,-0.032099954
24/08/2011,56.03,0.003575902
23/08/2011,55.83,0.049193255
22/08/2011,53.15,-0.030936986
19/08/2011,54.82,-0.06120389
18/08/2011,58.28,-0.089396428
17/08/2011,63.73,0.021250403
16/08/2011,62.39,-0.034344901
15/08/2011,64.57,0.044494001
12/08/2011,61.76,0.01615966
11/08/2011,60.77,0.036532213
10/08/2011,58.59,-0.036861268
09/08/2011,60.79,0.054250017
08/08/2011,57.58,-0.114109901
05/08/2011,64.54,-0.028261256
04/08/2011,66.39,-0.080702923
03/08/2011,71.97,-0.020355537
02/08/2011,73.45,-0.026600171
01/08/2011,75.43,-0.025523275
29/07/2011,77.38,-0.010157593
28/07/2011,78.17,0.000639836
27/07/2011,78.12,-0.020650636
26/07/2011,79.75,-0.002379612
25/07/2011,79.94,0.000500501
22/07/2011,79.9,0.005018831
21/07/2011,79.5,0.011894358
20/07/2011,78.56,-0.001272103
19/07/2011,78.66,0.021329345
18/07/2011,77,0.019805225
15/07/2011,75.49,0.025355171
14/07/2011,73.6,-0.016573848
13/07/2011,74.83,0.032598296
12/07/2011,72.43,-0.006742372
11/07/2011,72.92,-0.029058062
08/07/2011,75.07,-0.004120976
07/07/2011,75.38,0.018206661
06/07/2011,74.02,0.001757826
05/07/2011,73.89,0.013077424
01/07/2011,72.93,0.005086271
30/06/2011,72.56,0.015275953
29/06/2011,71.46,0.010126669
28/06/2011,70.74,0.037446772
27/06/2011,68.14,0.01285004
24/06/2011,67.27,-0.043345936
23/06/2011,70.25,-0.006526697
22/06/2011,70.71,0.000990449
21/06/2011,70.64,0.019295961
20/06/2011,69.29,-0.000865551
17/06/2011,69.35,-0.007040765
16/06/2011,69.84,-0.00770222
15/06/2011,70.38,-0.027468095
14/06/2011,72.34,0.019260889
13/06/2011,70.96,-0.015799
10/06/2011,72.09,-0.035564754
09/06/2011,74.7,0.027276269
08/06/2011,72.69,0.001514422
07/06/2011,72.58,0.00483393
06/06/2011,72.23,-0.032016903
03/06/2011,74.58,0.013227349
02/06/2011,73.6,0.02239566
01/06/2011,71.97,-0.026869334
31/05/2011,73.93,0.006377659
27/05/2011,73.46,-0.014058085
26/05/2011,74.5,0.009711433
25/05/2011,73.78,0.048458151
24/05/2011,70.29,0.023171505
23/05/2011,68.68,-0.020750024
20/05/2011,70.12,-0.006397065
19/05/2011,70.57,-0.003536322
18/05/2011,70.82,0.028065989
17/05/2011,68.86,0.001307855
16/05/2011,68.77,-0.007244309
13/05/2011,69.27,-0.016181351
12/05/2011,70.4,0.011859823
11/05/2011,69.57,-0.037798887
10/05/2011,72.25,0.008339173
09/05/2011,71.65,0.033781242
06/05/2011,69.27,-0.006762129
05/05/2011,69.74,-0.034942975
04/05/2011,72.22,-0.010331382
03/05/2011,72.97,-0.018062554
02/05/2011,74.3,-0.041005019
29/04/2011,77.41,-0.007592855
28/04/2011,78,0.009273637
27/04/2011,77.28,0.042559614
26/04/2011,74.06,0.004330183
25/04/2011,73.74,-0.00998524
21/04/2011,74.48,0.00646554
20/04/2011,74,0.013331717
19/04/2011,73.02,0.032146371
18/04/2011,70.71,0.003258024
15/04/2011,70.48,0.016739786
14/04/2011,69.31,0.014533027
13/04/2011,68.31,0.011188104
12/04/2011,67.55,-0.025721132
11/04/2011,69.31,-0.032086796
08/04/2011,71.57,0.004902314
07/04/2011,71.22,0
06/04/2011,71.22,-0.024685763
05/04/2011,73,0.005219075
04/04/2011,72.62,0.002895955
01/04/2011,72.41,-0.01398816
31/03/2011,73.43,-0.006380256
30/03/2011,73.9,-0.003512093
29/03/2011,74.16,0.005408342
28/03/2011,73.76,0.037010576
25/03/2011,71.08,-0.00337079
24/03/2011,71.32,0.001262715
23/03/2011,71.23,0.0087423
22/03/2011,70.61,0
21/03/2011,70.61,0.030338032
18/03/2011,68.5,-0.014780736
17/03/2011,69.52,0.030524458
16/03/2011,67.43,-0.043387291
15/03/2011,70.42,0.010994614
14/03/2011,69.65,0.009521134
11/03/2011,68.99,0.033007269
10/03/2011,66.75,-0.023394612
09/03/2011,68.33,-0.009177718
08/03/2011,68.96,-0.007224421
07/03/2011,69.46,-0.003879594
04/03/2011,69.73,-0.00686011
03/03/2011,70.21,0.020141668
02/03/2011,68.81,-0.005796278
01/03/2011,69.21,-0.026238494
28/02/2011,71.05,-0.006313595
25/02/2011,71.5,0.036460889
24/02/2011,68.94,-0.02280159
23/02/2011,70.53,0.023672291
22/02/2011,68.88,-0.02791678
18/02/2011,70.83,-0.005069719
17/02/2011,71.19,0.021869659
16/02/2011,69.65,0.038790081
15/02/2011,67,-0.011869576
14/02/2011,67.8,0.009931157
11/02/2011,67.13,-0.000595681
10/02/2011,67.17,0.007471643
09/02/2011,66.67,-0.015921771
08/02/2011,67.74,-0.010718846
07/02/2011,68.47,0.009686016
04/02/2011,67.81,-0.010561929
03/02/2011,68.53,0.001606426
02/02/2011,68.42,-0.001898226
01/02/2011,68.55,0.000583686
31/01/2011,68.51,0.017968083
28/01/2011,67.29,0.009256561
27/01/2011,66.67,0.010251861
26/01/2011,65.99,0.057220814
25/01/2011,62.32,0.063255647
24/01/2011,58.5,-0.008002086
21/01/2011,58.97,0.00783116
20/01/2011,58.51,-0.003923246
19/01/2011,58.74,-0.00948838
18/01/2011,59.3,-0.004710641
14/01/2011,59.58,0.018977188
13/01/2011,58.46,-0.005118592
12/01/2011,58.76,0.017164857
11/01/2011,57.76,0.030587725
10/01/2011,56.02,-0.010300215
07/01/2011,56.6,0.031771496
06/01/2011,54.83,-0.020935614
05/01/2011,55.99,0.001429848
04/01/2011,55.91,-0.024382833
03/01/2011,57.29,0.002096803
31/12/2010,57.17,0.006140909
30/12/2010,56.82,-0.000527844
29/12/2010,56.85,0.01577907
28/12/2010,55.96,-0.004279607
27/12/2010,56.2,-0.009386414
23/12/2010,56.73,-0.000528681
22/12/2010,56.76,0.00070497
21/12/2010,56.72,0.014383627
20/12/2010,55.91,-0.006062786
17/12/2010,56.25,0.014144001
16/12/2010,55.46,0.012154345
15/12/2010,54.79,-0.006911632
14/12/2010,55.17,0.002177464
13/12/2010,55.05,0.020740397
10/12/2010,53.92,-0.000556225
09/12/2010,53.95,0.009685306
