Date,Close,NWL
16/03/2012,18.47,-0.013444677
15/03/2012,18.72,0.003746325
14/03/2012,18.65,0.010239917
13/03/2012,18.46,0.043737943
12/03/2012,17.67,-0.014049121
09/03/2012,17.92,-0.001672707
08/03/2012,17.95,0.026532745
07/03/2012,17.48,0.011507607
06/03/2012,17.28,-0.041932489
05/03/2012,18.02,-0.00828963
02/03/2012,18.17,-0.018539244
01/03/2012,18.51,0.011410067
29/02/2012,18.3,0.000546597
28/02/2012,18.29,-0.003275112
27/02/2012,18.35,-0.001633542
24/02/2012,18.38,-0.00704801
23/02/2012,18.51,-0.016609008
22/02/2012,18.82,-0.008992391
21/02/2012,18.99,-0.014117882
17/02/2012,19.26,0.008342071
16/02/2012,19.1,0.020095864
15/02/2012,18.72,-0.010098412
14/02/2012,18.91,-0.003167901
13/02/2012,18.97,0.004755623
10/02/2012,18.88,-0.022001935
09/02/2012,19.3,0.014088415
08/02/2012,19.03,-0.007329876
07/02/2012,19.17,0.014184635
06/02/2012,18.9,0.009569451
03/02/2012,18.72,0.017785432
02/02/2012,18.39,-0.00866275
01/02/2012,18.55,0.004321995
31/01/2012,18.47,-0.007013787
30/01/2012,18.6,-0.011758553
27/01/2012,18.82,0.076727275
26/01/2012,17.43,0.005753756
25/01/2012,17.33,0.015116567
24/01/2012,17.07,-0.007005283
23/01/2012,17.19,-0.006378682
20/01/2012,17.3,-0.009206049
19/01/2012,17.46,0.015584731
18/01/2012,17.19,0.01465013
17/01/2012,16.94,-0.01465013
13/01/2012,17.19,-0.01386504
12/01/2012,17.43,0.00402415
11/01/2012,17.36,0.00984089
10/01/2012,17.19,0.000581903
09/01/2012,17.18,0.010532572
06/01/2012,17,0.020202707
05/01/2012,16.66,0.023687716
04/01/2012,16.27,0.00246154
03/01/2012,16.23,0.004941332
30/12/2011,16.15,-0.016580054
29/12/2011,16.42,0.027788142
28/12/2011,15.97,-0.005619746
27/12/2011,16.06,-0.001244555
23/12/2011,16.08,0.013776048
22/12/2011,15.86,0.004423388
21/12/2011,15.79,0.026959271
20/12/2011,15.37,0.046612965
19/12/2011,14.67,-0.02157872
16/12/2011,14.99,-0.003994679
15/12/2011,15.05,0.015400371
14/12/2011,14.82,-0.017391743
13/12/2011,15.08,-0.020348585
12/12/2011,15.39,-0.013552966
09/12/2011,15.6,0.026633598
08/12/2011,15.19,-0.030472374
07/12/2011,15.66,0.022603481
06/12/2011,15.31,0.00261609
05/12/2011,15.27,0.016507473
02/12/2011,15.02,-0.013227706
01/12/2011,15.22,-0.005242476
30/11/2011,15.3,0.016474837
29/11/2011,15.05,0.024211001
28/11/2011,14.69,0.030410083
25/11/2011,14.25,-0.001402525
23/11/2011,14.27,-0.028326592
22/11/2011,14.68,-0.005434796
21/11/2011,14.76,-0.026079713
18/11/2011,15.15,-0.007889587
17/11/2011,15.27,-0.033486709
16/11/2011,15.79,-0.018199435
15/11/2011,16.08,-0.008668785
14/11/2011,16.22,0.001233806
11/11/2011,16.2,0.02373628
10/11/2011,15.82,0.017214324
09/11/2011,15.55,-0.033515625
08/11/2011,16.08,0.016933613
07/11/2011,15.81,-0.006305191
04/11/2011,15.91,0.008204527
03/11/2011,15.78,-0.005056901
02/11/2011,15.86,0.057084238
01/11/2011,14.98,0.012088797
31/10/2011,14.8,-0.037139547
28/10/2011,15.36,0.105649909
27/10/2011,13.82,0.022686666
26/10/2011,13.51,0.022456033
25/10/2011,13.21,-0.024674149
24/10/2011,13.54,0.007412932
21/10/2011,13.44,0.024860037
20/10/2011,13.11,-0.002285715
19/10/2011,13.14,0
18/10/2011,13.14,0.019985292
17/10/2011,12.88,-0.016172859
14/10/2011,13.09,0.021622464
13/10/2011,12.81,0.0015625
12/10/2011,12.79,0.020537847
11/10/2011,12.53,0.002397125
10/10/2011,12.5,0.024292693
07/10/2011,12.2,0
06/10/2011,12.2,0.020704673
05/10/2011,11.95,0.023709832
04/10/2011,11.67,0.046479212
03/10/2011,11.14,-0.063471974
