Date,Close,R
16/07/2013,60.39,-0.016097588
15/07/2013,61.37,0.009002434
12/07/2013,60.82,-0.001478683
11/07/2013,60.91,0.011060781
10/07/2013,60.24,-0.007442356
09/07/2013,60.69,0.009436375
08/07/2013,60.12,-0.001994019
05/07/2013,60.24,0.007163712
03/07/2013,59.81,-0.004004677
02/07/2013,60.05,-0.008126755
01/07/2013,60.54,-0.004120998
28/06/2013,60.79,-0.011449258
27/06/2013,61.49,0.0122721
26/06/2013,60.74,0.006275826
25/06/2013,60.36,0.0253348
24/06/2013,58.85,-0.027486228
21/06/2013,60.49,0.006468221
20/06/2013,60.1,-0.023352484
19/06/2013,61.52,-0.010027579
18/06/2013,62.14,0.00500122
17/06/2013,61.83,-0.004196262
14/06/2013,62.09,-0.00337648
13/06/2013,62.3,0.015366255
12/06/2013,61.35,-0.00292969
11/06/2013,61.53,-0.018358003
10/06/2013,62.67,-0.001753687
07/06/2013,62.78,0.02614317
06/06/2013,61.16,0.015488858
05/06/2013,60.22,-0.025251383
04/06/2013,61.76,-0.0122306
03/06/2013,62.52,-0.00828294
31/05/2013,63.04,-0.004905461
30/05/2013,63.35,0.003162058
29/05/2013,63.15,-0.006471493
28/05/2013,63.56,0.015378821
24/05/2013,62.59,-0.007956757
23/05/2013,63.09,0.004447982
22/05/2013,62.81,-0.019081238
21/05/2013,64.02,0.004226351
20/05/2013,63.75,0.019482678
17/05/2013,62.52,0.022483762
16/05/2013,61.13,-0.018798155
15/05/2013,62.29,0.012113529
14/05/2013,61.54,0.020686996
13/05/2013,60.28,-0.015146816
10/05/2013,61.2,0.006557401
09/05/2013,60.8,-0.003284075
08/05/2013,61,0.001804907
07/05/2013,60.89,0.018899767
06/05/2013,59.75,0.021826431
03/05/2013,58.46,0.029334743
02/05/2013,56.77,0.001586602
01/05/2013,56.68,-0.024227765
30/04/2013,58.07,0.009864232
29/04/2013,57.5,0.011016986
26/04/2013,56.87,-0.004386357
25/04/2013,57.12,0.003156236
24/04/2013,56.94,0.065874151
23/04/2013,53.31,-0.071652996
22/04/2013,57.27,0.002097536
19/04/2013,57.15,0.018900148
18/04/2013,56.08,-0.009406405
17/04/2013,56.61,-0.03523141
16/04/2013,58.64,0.031352702
15/04/2013,56.83,-0.076856761
12/04/2013,61.37,0.013451646
11/04/2013,60.55,-0.015079781
10/04/2013,61.47,0.043557417
09/04/2013,58.85,-0.005760775
08/04/2013,59.19,0.023244937
05/04/2013,57.83,0.005722724
04/04/2013,57.5,-0.007105133
03/04/2013,57.91,-0.006712012
02/04/2013,58.3,-0.00632643
01/04/2013,58.67,-0.018240668
28/03/2013,59.75,0.005874964
27/03/2013,59.4,-0.013211999
26/03/2013,60.19,0.001330009
25/03/2013,60.11,0.00049921
22/03/2013,60.08,0.031619846
21/03/2013,58.21,-0.023430613
20/03/2013,59.59,-0.004353657
19/03/2013,59.85,-0.015748357
18/03/2013,60.8,-0.003284075
15/03/2013,61,-0.006861651
14/03/2013,61.42,0.017408881
13/03/2013,60.36,0.029421303
12/03/2013,58.61,-0.012041187
11/03/2013,59.32,0.007954684
08/03/2013,58.85,0.010076082
07/03/2013,58.26,0.005335182
06/03/2013,57.95,0.021806359
05/03/2013,56.7,0.019950786
04/03/2013,55.58,0.002702461
01/03/2013,55.43,-0.013795793
28/02/2013,56.2,0.008039347
27/02/2013,55.75,0.029673607
26/02/2013,54.12,-0.005344157
25/02/2013,54.41,-0.029517761
22/02/2013,56.04,0.008062393
