Date,Close,LO
09/04/2013,41.25,0.002184202
08/04/2013,41.16,0.014438034
05/04/2013,40.57,-0.012492508
04/04/2013,41.08,0.008556463
03/04/2013,40.73,-0.011958654
02/04/2013,41.22,0.021827967
01/04/2013,40.33,-0.000495786
28/03/2013,40.35,-0.002227999
27/03/2013,40.44,0
26/03/2013,40.44,0.010440065
25/03/2013,40.02,-0.001747597
22/03/2013,40.09,0.000499002
21/03/2013,40.07,-0.001247038
20/03/2013,40.12,0.019124891
19/03/2013,39.36,0.003563251
18/03/2013,39.22,-0.004325156
15/03/2013,39.39,-0.006831146
14/03/2013,39.66,0.022954336
13/03/2013,38.76,-0.009245058
12/03/2013,39.12,0.018316003
11/03/2013,38.41,-0.005452435
08/03/2013,38.62,0.009888189
07/03/2013,38.24,-0.001045478
06/03/2013,38.28,-0.005730675
05/03/2013,38.5,0.007822726
04/03/2013,38.2,0
01/03/2013,38.2,-0.008861147
28/02/2013,38.54,-0.00775398
27/02/2013,38.84,-0.03067803
26/02/2013,40.05,-0.018553408
25/02/2013,40.8,-0.008541846
22/02/2013,41.15,-0.038379159
21/02/2013,42.76,0.011525472
20/02/2013,42.27,-0.003306569
19/02/2013,42.41,0.022655076
15/02/2013,41.46,0.016537342
14/02/2013,40.78,-0.021829632
13/02/2013,41.68,0.048166558
12/02/2013,39.72,-0.008523491
11/02/2013,40.06,-0.004234656
08/02/2013,40.23,0.004234656
07/02/2013,40.06,0.008523491
06/02/2013,39.72,0
05/02/2013,39.72,0.012923023
04/02/2013,39.21,-0.007875057
01/02/2013,39.52,0.011451964
31/01/2013,39.07,-0.001534527
30/01/2013,39.13,-0.014461751
29/01/2013,39.7,-0.000755382
28/01/2013,39.73,0.001763447
25/01/2013,39.66,0.002019183
24/01/2013,39.58,0.00888218
23/01/2013,39.23,-0.010649188
22/01/2013,39.65,0.003537144
18/01/2013,39.51,0.001266304
17/01/2013,39.46,0.016351923
16/01/2013,38.82,-1.106480957
15/01/2013,117.38,0.002729911
14/01/2013,117.06,0.000341764
11/01/2013,117.02,0.007979108
10/01/2013,116.09,0.009346671
09/01/2013,115.01,0.009347087
08/01/2013,113.94,-0.014809923
07/01/2013,115.64,-0.019100405
04/01/2013,117.87,-0.008700481
03/01/2013,118.9,-0.015273844
02/01/2013,120.73,0.034207211
31/12/2012,116.67,0.011378452
28/12/2012,115.35,0.006435924
27/12/2012,114.61,-0.011537755
26/12/2012,115.94,-0.00704773
24/12/2012,116.76,-0.001112776
21/12/2012,116.89,-0.011905915
20/12/2012,118.29,0.007041386
19/12/2012,117.46,0.011732098
18/12/2012,116.09,-0.02290729
17/12/2012,118.78,-0.005373649
14/12/2012,119.42,-0.001589759
13/12/2012,119.61,-0.001420277
12/12/2012,119.78,-0.001334891
11/12/2012,119.94,-0.002997005
10/12/2012,120.3,-0.009761017
07/12/2012,121.48,0.015011686
06/12/2012,119.67,-0.002837118
05/12/2012,120.01,-0.002080993
04/12/2012,120.26,-0.00613448
03/12/2012,121,-0.001321441
30/11/2012,121.16,0.0062094
29/11/2012,120.41,-8.30461E-05
28/11/2012,120.42,-0.009751337
27/11/2012,121.6,-0.001725484
26/11/2012,121.81,-0.011914618
23/11/2012,123.27,0.015698139
21/11/2012,121.35,0.013439724
20/11/2012,119.73,0.004268682
19/11/2012,119.22,0.033606574
16/11/2012,115.28,0.018826352
15/11/2012,113.13,0.003364622
14/11/2012,112.75,-0.015489177
13/11/2012,114.51,0.016909254
12/11/2012,112.59,0
09/11/2012,112.59,-8.88139E-05
08/11/2012,112.6,0.000977387
07/11/2012,112.49,-0.030380975
06/11/2012,115.96,0.005707877
05/11/2012,115.3,-0.000433557
02/11/2012,115.35,-0.009491012
01/11/2012,116.45,0.003785602
31/10/2012,116.01,0.012490404
26/10/2012,114.57,-0.004093904
25/10/2012,115.04,0.029463188
24/10/2012,111.7,-0.035875133
