Date,Close,ABC
24/12/2012,43.46,-0.004133186
21/12/2012,43.64,-0.003659656
20/12/2012,43.8,0.003430535
19/12/2012,43.65,-0.005938802
18/12/2012,43.91,0.002964992
17/12/2012,43.78,0.009639735
14/12/2012,43.36,0.011831712
13/12/2012,42.85,0.00327256
12/12/2012,42.71,-0.009553842
11/12/2012,43.12,0.020856058
10/12/2012,42.23,-0.000946746
07/12/2012,42.27,-0.00683723
06/12/2012,42.56,0.007073833
05/12/2012,42.26,-0.011528183
04/12/2012,42.75,0.007985012
03/12/2012,42.41,0.004490141
30/11/2012,42.22,0.016718804
29/11/2012,41.52,0.007736983
28/11/2012,41.2,-0.000485319
27/11/2012,41.22,-0.005564306
26/11/2012,41.45,0.001690209
23/11/2012,41.38,0.012890851
21/11/2012,40.85,0.00122474
20/11/2012,40.8,0.002699719
19/11/2012,40.69,0.010623942
16/11/2012,40.26,0.002486945
15/11/2012,40.16,-0.001244246
14/11/2012,40.21,-0.012358042
13/11/2012,40.71,0.016095432
12/11/2012,40.06,-0.010182629
09/11/2012,40.47,0.00346535
08/11/2012,40.33,-0.010605599
07/11/2012,40.76,0.009862013
06/11/2012,40.36,0.002480775
05/11/2012,40.26,-0.005943554
02/11/2012,40.5,-0.010316967
01/11/2012,40.92,0.036838411
31/10/2012,39.44,0.002538717
26/10/2012,39.34,-0.010619569
25/10/2012,39.76,0.002518259
24/10/2012,39.66,-0.006784798
23/10/2012,39.93,-0.012444163
22/10/2012,40.43,0.003717016
19/10/2012,40.28,-0.009881503
18/10/2012,40.68,0.003694131
17/10/2012,40.53,-0.005413399
16/10/2012,40.75,0.020828921
15/10/2012,39.91,0.010326247
12/10/2012,39.5,0.000759782
11/10/2012,39.47,0.002028913
10/10/2012,39.39,-0.007335305
09/10/2012,39.68,-0.002516991
08/10/2012,39.78,0.006557401
05/10/2012,39.52,0.004056801
04/10/2012,39.36,0.007651147
03/10/2012,39.06,0.000768344
02/10/2012,39.03,0.001025378
01/10/2012,38.99,0.007207238
28/09/2012,38.71,-0.007976371
27/09/2012,39.02,0.00952756
26/09/2012,38.65,-0.005161302
25/09/2012,38.85,-0.013041995
24/09/2012,39.36,0.009957953
21/09/2012,38.97,0.01655924
20/09/2012,38.33,0.004183013
19/09/2012,38.17,-0.003661092
18/09/2012,38.31,0.007598622
17/09/2012,38.02,0.017511724
14/09/2012,37.36,-0.018563249
13/09/2012,38.06,0.00421275
12/09/2012,37.9,0.003435975
11/09/2012,37.77,-0.006860185
10/09/2012,38.03,-0.003936496
07/09/2012,38.18,-0.011976191
06/09/2012,38.64,0.011976191
05/09/2012,38.18,-0.015592832
04/09/2012,38.78,0.006727063
31/08/2012,38.52,0.010963305
30/08/2012,38.1,0.011881328
29/08/2012,37.65,0.003992021
28/08/2012,37.5,-0.011665032
27/08/2012,37.94,-0.004208318
24/08/2012,38.1,0.003154577
23/08/2012,37.98,0.001581028
22/08/2012,37.92,0.009539023
21/08/2012,37.56,-0.003985657
20/08/2012,37.71,0.00451828
17/08/2012,37.54,-0.001064963
16/08/2012,37.58,-0.011640343
15/08/2012,38.02,-0.007076428
14/08/2012,38.29,-0.00780441
13/08/2012,38.59,-0.002587993
10/08/2012,38.69,0
09/08/2012,38.69,-0.000258431
08/08/2012,38.7,-0.016402213
07/08/2012,39.34,0.003054992
06/08/2012,39.22,-0.004325156
03/08/2012,39.39,0.013289232
02/08/2012,38.87,-0.012019068
01/08/2012,39.34,-0.009109375
31/07/2012,39.7,0.029914029
30/07/2012,38.53,-0.003368315
27/07/2012,38.66,0.0182725
26/07/2012,37.96,0.00026347
25/07/2012,37.95,-0.006566012
24/07/2012,38.2,-0.011711259
23/07/2012,38.65,-0.014385041
20/07/2012,39.21,-0.013174754
19/07/2012,39.73,-0.000503271
18/07/2012,39.75,-0.001005783
17/07/2012,39.79,0.009596033
16/07/2012,39.41,-0.005819118
13/07/2012,39.64,0.012182892
12/07/2012,39.16,-0.003314216
11/07/2012,39.29,0.008948034
10/07/2012,38.94,0.001027749
09/07/2012,38.9,0.003605464
06/07/2012,38.76,-0.017898714
05/07/2012,39.46,-0.008076773
03/07/2012,39.78,-0.001758132
02/07/2012,39.85,0.01262643
29/06/2012,39.35,0.015623317
28/06/2012,38.74,0.015871284
27/06/2012,38.13,0.011076063
26/06/2012,37.71,-0.001060164
25/06/2012,37.75,-0.00475688
22/06/2012,37.93,0.006347548
21/06/2012,37.69,-0.007138166
20/06/2012,37.96,-0.002105264
19/06/2012,38.04,0.00606462
18/06/2012,37.81,0.013848424
15/06/2012,37.29,0.008888947
14/06/2012,36.96,0.013894788
13/06/2012,36.45,-0.014976454
12/06/2012,37,0.014702143
11/06/2012,36.46,-0.016322452
08/06/2012,37.06,0.002160995
07/06/2012,36.98,-0.008347968
06/06/2012,37.29,0.014586969
05/06/2012,36.75,0.009294763
04/06/2012,36.41,0.003576837
01/06/2012,36.28,-0.019380981
31/05/2012,36.99,0.003791987
30/05/2012,36.85,0.009269423
29/05/2012,36.51,-0.010625355
25/05/2012,36.9,0.011995782
24/05/2012,36.46,0.004122584
23/05/2012,36.31,0.001653804
22/05/2012,36.25,0.004700686
21/05/2012,36.08,0.002497573
18/05/2012,35.99,-0.01242595
17/05/2012,36.44,-0.007109683
16/05/2012,36.7,0.00820798
15/05/2012,36.4,-0.006844654
14/05/2012,36.65,0.000818889
11/05/2012,36.62,0.001092896
10/05/2012,36.58,0.015704965
09/05/2012,36.01,-0.004156858
08/05/2012,36.16,0.005824451
07/05/2012,35.95,-0.006100962
04/05/2012,36.17,-0.01045114
03/05/2012,36.55,-0.017896356
02/05/2012,37.21,-0.002415784
01/05/2012,37.3,0.002415784
30/04/2012,37.21,0.008365991
27/04/2012,36.9,-0.001895222
26/04/2012,36.97,-0.023524207
25/04/2012,37.85,0.009290047
24/04/2012,37.5,0.000266702
23/04/2012,37.49,-0.006911245
20/04/2012,37.75,0.007178018
19/04/2012,37.48,0.000800747
18/04/2012,37.45,-0.020352229
17/04/2012,38.22,0.019551481
16/04/2012,37.48,-0.001333156
13/04/2012,37.53,-0.033537332
12/04/2012,38.81,0.000773296
11/04/2012,38.78,0.010107641
10/04/2012,38.39,-0.001301575
09/04/2012,38.44,0.005739645
05/04/2012,38.22,-0.006779687
04/04/2012,38.48,-0.005184045
03/04/2012,38.68,-0.013098942
02/04/2012,39.19,-0.011921511
30/03/2012,39.66,0.011666376
29/03/2012,39.2,0.00306592
28/03/2012,39.08,-0.010183387
27/03/2012,39.48,-0.003034904
26/03/2012,39.6,0.016293639
23/03/2012,38.96,0.017346713
22/03/2012,38.29,-0.007026704
21/03/2012,38.56,-0.006462476
20/03/2012,38.81,0.006462476
19/03/2012,38.56,0.006243517
16/03/2012,38.32,0.010757024
15/03/2012,37.91,-0.008667159
14/03/2012,38.24,0.005769751
13/03/2012,38.02,0.007391797
12/03/2012,37.74,-0.003174606
09/03/2012,37.86,0.010888436
08/03/2012,37.45,0.016151091
07/03/2012,36.85,0.015588993
06/03/2012,36.28,-0.007414561
05/03/2012,36.55,-0.001093793
02/03/2012,36.59,-0.019218348
01/03/2012,37.3,-0.001874917
29/02/2012,37.37,-0.008791851
28/02/2012,37.7,0
27/02/2012,37.7,0
24/02/2012,37.7,0.006920443
23/02/2012,37.44,0.017241806
22/02/2012,36.8,0.016715008
21/02/2012,36.19,-0.01344881
17/02/2012,36.68,-0.007604599
16/02/2012,36.96,0.006787049
15/02/2012,36.71,-0.022624181
14/02/2012,37.55,0.009095836
13/02/2012,37.21,-0.036674734
10/02/2012,38.6,-0.009539843
09/02/2012,38.97,-0.009703856
08/02/2012,39.35,0.01227323
07/02/2012,38.87,-0.002825949
06/02/2012,38.98,-0.006393066
03/02/2012,39.23,-0.002800053
02/02/2012,39.34,-0.011876324
01/02/2012,39.81,0.021326018
31/01/2012,38.97,0.003856542
30/01/2012,38.82,-0.004113116
27/01/2012,38.98,-0.000512952
26/01/2012,39,-0.018293193
25/01/2012,39.72,0.004289145
24/01/2012,39.55,-0.006301218
23/01/2012,39.8,-0.007260014
20/01/2012,40.09,0.01736111
19/01/2012,39.4,0.009179055
18/01/2012,39.04,0.019136865
17/01/2012,38.3,0.013140794
13/01/2012,37.8,-0.027141541
12/01/2012,38.84,0.005939333
11/01/2012,38.61,-0.010306713
10/01/2012,39.01,0.011343251
09/01/2012,38.57,-0.000518403
06/01/2012,38.59,0.002594708
05/01/2012,38.49,0.007562952
04/01/2012,38.2,0.003408945
03/01/2012,38.07,0.023386662
30/12/2011,37.19,-0.003757385
29/12/2011,37.33,0.013484562
28/12/2011,36.83,-0.023612581
27/12/2011,37.71,0.00771999
23/12/2011,37.42,0.00912758
22/12/2011,37.08,0.001079331
21/12/2011,37.04,-0.00161856
20/12/2011,37.1,0.017126965
19/12/2011,36.47,-0.007648221
16/12/2011,36.75,0.026190332
15/12/2011,35.8,0.006445307
14/12/2011,35.57,-0.008119882
13/12/2011,35.86,0.00055788
12/12/2011,35.84,-0.014679671
09/12/2011,36.37,0.002477634
08/12/2011,36.28,-0.008508354
07/12/2011,36.59,0.004107907
06/12/2011,36.44,-0.004654355
05/12/2011,36.61,-0.010866719
02/12/2011,37.01,-0.006195306
01/12/2011,37.24,0.002419681
30/11/2011,37.15,0.020944598
29/11/2011,36.38,-0.001647899
