Date,Close,SEE
30/03/2012,19.31,-0.00773798
29/03/2012,19.46,-0.002053389
28/03/2012,19.5,-0.011218884
27/03/2012,19.72,0.005593709
26/03/2012,19.61,0.002552976
23/03/2012,19.56,-0.00509945
22/03/2012,19.66,-0.012636003
21/03/2012,19.91,0.000502386
20/03/2012,19.9,-0.012980711
19/03/2012,20.16,-0.00790518
16/03/2012,20.32,0.01237946
15/03/2012,20.07,0.009511962
14/03/2012,19.88,0.007067167
13/03/2012,19.74,0.026175474
12/03/2012,19.23,-0.013942906
09/03/2012,19.5,0.002053389
08/03/2012,19.46,-0.005636705
07/03/2012,19.57,-0.001531785
06/03/2012,19.6,-0.001019888
05/03/2012,19.62,-0.008121872
02/03/2012,19.78,0.003037977
01/03/2012,19.72,0.004574341
29/02/2012,19.63,-0.015668756
28/02/2012,19.94,-0.000501379
27/02/2012,19.95,0.006033201
24/02/2012,19.83,-0.005030192
23/02/2012,19.93,0.001506402
22/02/2012,19.9,-0.036026595
21/02/2012,20.63,-0.019679061
17/02/2012,21.04,0.021619867
16/02/2012,20.59,0.041145829
15/02/2012,19.76,0.023036596
14/02/2012,19.31,-0.016945206
13/02/2012,19.64,-0.022155992
10/02/2012,20.08,-0.033303763
09/02/2012,20.76,0.015045176
08/02/2012,20.45,-0.000977517
07/02/2012,20.47,-0.004873304
06/02/2012,20.57,-0.006782972
03/02/2012,20.71,0.033884902
02/02/2012,20.02,-0.012410187
01/02/2012,20.27,0.016915826
31/01/2012,19.93,0.018228353
30/01/2012,19.57,-0.01672195
27/01/2012,19.9,-0.006511418
26/01/2012,20.03,-0.004483196
25/01/2012,20.12,0.010492227
24/01/2012,19.91,0.025949052
23/01/2012,19.4,0.00516797
20/01/2012,19.3,-0.001553197
19/01/2012,19.33,0.011446535
18/01/2012,19.11,0.015291624
17/01/2012,18.82,0.045660105
13/01/2012,17.98,-0.002777008
12/01/2012,18.03,0.023570115
11/01/2012,17.61,0.007409552
10/01/2012,17.48,-0.002285715
09/01/2012,17.52,-0.001140901
06/01/2012,17.54,0.008588659
05/01/2012,17.39,-0.006876818
04/01/2012,17.51,0.007452026
03/01/2012,17.38,0.00982951
30/12/2011,17.21,0.008754068
29/12/2011,17.06,0.011792589
28/12/2011,16.86,-0.012378584
27/12/2011,17.07,0.001172333
23/12/2011,17.05,0.000586682
22/12/2011,17.04,0.017165263
21/12/2011,16.75,-0.023016655
20/12/2011,17.14,0.027804216
19/12/2011,16.67,-0.044008275
16/12/2011,17.42,0.012128361
15/12/2011,17.21,0.009340406
14/12/2011,17.05,-0.019745125
13/12/2011,17.39,-0.014840455
